dev,address,district,sale_price,rent_price,internal_feature_keys,internal_feature_values,external_feature_keys,exteranal_feature_values,description,detail,amenity_keys,amenity_values,neighbor_cats,neighbor_names,neighbor_distances,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year
Siamese Exclusive Queens,"141 Soi Phai Singto, Khwaeng Khlong Toei, Khet Khlong Toei",Khlong Toei,13800000.0,,Bedrooms|Bathrooms|Internal area,2|1|76.47,Floors|Towers,33|1,A new condo for sale near MRT Queen Sirikit Center is available in the Siamese Exclusive Queens luxury condo.,"2 bedroom
2 bathroom
76.47 sqm
corner unit
low floor (10-)
fully fitted - built-in furniture is included",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|False|True|False|False,marker marker-mrt|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-bts|marker marker-expressway,Queen Sirikit National Convention Centre|Khlong Toei|Rama 4-1 Toll Plaza|Rama 4-2 Toll Plaza|Phrom Phong|Tha Ruea 1 Toll Plaza,1 km / 7 minutes by car|1.3 km / 15 minutes by car|1.4 km / 11 minutes by car|1.4 km / 15 minutes by car|2 km / 9 minutes by car|2 km / 8 minutes by car,"202,205",0,-8.42,4.21,-5.21
Trapezo Sukhumvit 16,"298 Soi Sukhumvit 16, Khwaeng Khlong Toei, Khet Khlong Toei",Khlong Toei,6100000.0,,Bedrooms|Bathrooms|Internal area,1|1|45,Floors|Towers|Project Area|Year built,"7|1|1,224 m2|2014",This modern 1-bedroom condo in a low-rise project is available now in Trapezo Sukhumvit 16 condominium near MRT Queen Sirikit,"modern condo in a low-rise condominium
new apartment - nobody lived before
1-bedroom
1-bathroom
balcony
area: 45 sqm
facing direction: North
car parking slot
fully furnished
fully equipped kitchen
full set of electrical appliances: flat TV, refrigerator, washing machine, microwave
foreign freehold ownership quota",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|False|False|False|True,marker marker-mrt|marker marker-mrt|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Queen Sirikit National Convention Centre|Khlong Toei|Phrom Phong|Rama 4-1 Toll Plaza|Rama 4-2 Toll Plaza|Tha Ruea 1 Toll Plaza,1.4 km / 6 minutes by car|1.6 km / 15 minutes by car|1.6 km / 10 minutes by car|1.7 km / 10 minutes by car|1.7 km / 15 minutes by car|2.2 km / 9 minutes by car,"148,360",0,14.57,4.76,-4.85
Noble Remix,"772 Sukhumvit Rd, Khlong Tan Nuea, Khet Khlong Toei",Khlong Toei,9843619.0,,Bedrooms|Bathrooms|Internal area,1|1|94.84,Floors|Towers|Project Area|Year built,"33|1|8,008 m2|2008","Noble Remix Sukhumvit Thonglor condo for sale with direct access to BTS Thonglor was developed by Noble Development Public Company in 2008.
Noble Development is also known as the developer behind Noble Ploenchit, Noble Be 19, Noble Recole, Noble Refine, Noble Be33, and many other condominiums in Bangkok.
Noble Remix mix-use project comprises a retail podium of 3 floors and a condominium.
The condominium has 2 buildings:","Noble Remix 1: 504 apartments on 33 floors
Noble Remix 2: 152 apartments on 11 floors",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|True|True|True|False,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Thong Lo|Phrom Phong|Ekkamai|At Narong Toll Plaza|Tha Ruea 2 Toll Plaza|Tha Ruea 1 Toll Plaza,280 m / 4 minutes by foot|1.1 km / 7 minutes by car|1.1 km / 8 minutes by car|2.8 km / 10 minutes by car|3.2 km / 11 minutes by car|3.3 km / 12 minutes by car,"165,459",0,-0.58,3.94,-6.54
Hyde Sukhumvit 11,"No27, ซอย สุขุมวิท 11 แขวง คลองเตยเหนือ เขตวัฒนา",Watthana,14000000.0,,Bedrooms|Bathrooms|Internal area,2|2|63,Towers,1,This Bangkok condo near BTS Nana is available for sale in Hyde Sukhumvit 11 luxury condominium on Sukhumvit 11,"this Bangkok condo features large windows from floor to ceilings with nice unblocked city views
this new condo is located in Sukhumvit Soi 11
sale with a tenant paying 40,000 per month until mid-2022
2-bedroom
2-bathroom
balcony
area: 63 sqm
high floor: 15+
facing direction: East with a nice unblocked city view
fully furnished: new furniture
fully equipped kitchen
foreign freehold ownership quota is available",Parking|24-hours Security|Swimming Pool|Garden / BBQ,True|True|True|True,,,,"180,795",0,-3.01,4.54,-14.93
Rhythm Asoke,"299 Rhythm Asoke1 Dindaeng Rd, Khwaeng Makkasan, Khet Ratchathewi",Huai Khwang,3490000.0,,Bedrooms|Bathrooms|Internal area,1|1|22,Floors|Towers|Project Area|Year built,"37|1|2,744 m2|2016",This affordable Bangkok condo in Rama 9 is available now for sale in Rhythm Asoke 1 condominium. The fully furnished studio flat is decorated in a modern style.,"this cheap Bangkok apartment features an unblocked view and peaceful surroundings
this cheap condo is currently rented out until April 2022 and is available for sale with the tenant
studio
balcony
area: 22 sqm
high floor: 15+
fixed parking slot
fully furnished
open kitchen
full set of electrical appliances
foreign freehold quota is available for this cheap Bangkok apartment in Rama 9",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|False|False|False,marker marker-expressway|marker marker-mrt|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-mrt,Asok 2 Toll Plaza|Phra Ram 9|Phetchaburi|Asok 4 Toll Plaza|Asok 3 Toll Plaza|Thailand Cultural Centre,150 m / 2 minutes by foot|830 m / 4 minutes by car|910 m / 6 minutes by car|990 m / 12 minutes by car|1.2 km / 12 minutes by car|1.8 km / 4 minutes by car,"149,723",0,-11,4.78,-1.32
BEATNIQ Sukhumvit 32,"21-58 Sukhumvit Rd, Khwaeng Khlong Tan, Khet Khlong Toei",Khlong Toei,26000000.0,,Bedrooms|Bathrooms|Internal area,2|2|83,Floors|Towers|Year built,34|1|2018,This modern luxury condo for sale near BTS Thonglor with 2 bedrooms is available now in BEATNIQ Sukhumvit 32,"this luxury Bangkok apartment features high ceilings of 3.5 m
this condo is a corner unit
2-bedroom
2-bathroom
patio
balcony
area: 83 sqm
high floor: 20+
facing direction: North-East with unblocked city views
fully furnished with a luxury design
fully equipped kitchen
full set of electrical appliances
foreign freehold quota available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|False|False|True,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Thong Lo|Phrom Phong|Ekkamai|At Narong Toll Plaza|Tha Ruea 2 Toll Plaza|Tha Ruea 1 Toll Plaza,500 m / 6 minutes by foot|800 m / 4 minutes by car|1.4 km / 8 minutes by car|3 km / 10 minutes by car|3.1 km / 13 minutes by car|3.2 km / 13 minutes by car,"311,573",0,9.72,4.38,16.6
The Address Asoke,"Phetchaburi Road, Khwaeng Makkasan, Khet Ratchathewi",Watthana,7324467.0,,Bedrooms|Bathrooms|Internal area,1|1|63.76,Floors|Towers|Project Area|Year built,"44|1|6,308 m2|2012","The Address Asoke Phetchaburi condo for sale in Bangkok near Makkasan Airport Rail Link is a high-rise luxury apartment building located near Phetchaburi MRT.
""The Address"" is a brand of AP Thai - Asian Property Development Public Company that features very central locations and luxury standards for all units, which are sold fully equipped and furnished. Other condominiums of this brand include Rhythm Ekkamai, Life Asoke, Vittorio Sukhumvit 39, and many others.
The Address Asoke apartment building was built in 2012 and comprises a single building, having 574 apartments on 44 floors.
Facilities at The Address Asoke Phetchaburi condo for sale in Bangkok
Facilities at The Address Asoke are doubled:","elevators - 7
parking slots
24-hours security and 24/7 security guards and reception desk
key card with access to a specific floor
CCTV
2 swimming pools
2 saunas
2 steams
2 gym rooms
2 gardens / BBQ
playground/kid's area
Library
Cinema
Wi-Fi in the public area",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|False|False,marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-mrt|marker marker-mrt,Phetchaburi|Asok 2 Toll Plaza|Asok 4 Toll Plaza|Asok 1 Toll Plaza|Phraram Kao 9|Phra Ram 9,220 m / 3 minutes by foot|800 m / 2 minutes by car|820 m / 14 minutes by car|890 m / 4 minutes by car|1.1 km / 8 minutes by car|1.2 km / 8 minutes by car,"156,451",0,-0.38,4.48,5.99
The Rich Nana,"5 Soi Sukhumvit 3, Khwaeng Khlong Toei Nuea, Khet Watthana",Khlong Toei,15945461.0,,Bedrooms|Bathrooms|Internal area,1|1|71.22,Towers,1,"The Rich Ploenchit Nana Sukhumvit 3 is a luxury Bangkok condo for sale developed by Richy Place 2002 Public Company.
Richy developed a broad spectrum of residential real estate projects to meet the diversified needs of buyers, including condominiums, detached homes, and townhomes with a focus on locations nearby BTS and MRT stations aiming to reduce commuting time and provide convenience to customers.
The Rich Ploenchit Nana combines elements of health and modernity into one place, to be the perfect residential building in the heart of Bangkok. Leave the troubles of the city behind and open up to wellness living surrounded by nature and comprehensive facilities, where people aspire to live.
Nana is one of the most unique areas in Bangkok where two cultures merge to create a new and distinctive culture with is rich and diverse. Located in the heart of Bangkok, full of commercial and investment potential, this place is surrounded by Thailand's most luxurious malls, world-class hospitals, as well as hundreds of restaurants, and entertainment places, which makes The Rich Nana so special.
Facts: Luxury Bangkok condo for sale near Bumrungrad Hospital",,,,marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-bts|marker marker-bts|marker marker-bts,Bang Mueang Toll Plaza-Outbound 4|Bang Mueang Toll Plaza-Outbound 1|Bang Mueang Toll Plaza-Inbound 1|Bearing|Bang Na|Udom Suk,3.7 km / 9 minutes by car|4.1 km / 7 minutes by car|4.3 km / 7 minutes by car|7.6 km / 16 minutes by car|8.4 km / 17 minutes by car|9.9 km / 20 minutes by car,,,,,
Turnberry,"Soi Phrom Chit, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,18000000.0,,Bedrooms|Bathrooms|Internal area,3|3|132.61,Floors|Towers|Year built,8|1|2006,This large apartment with 5 balconies  on Sukhumvit 33 is available now in Turnberry condominium in Bangkok CBD,"this Bangkok condo features large living rooms
this condo for sale in Sukhumvit 33 features 5 balconies
3-bedroom
3-bathroom
5 balconies - including 1 - service balcony
large area: 132.62 sqm
fixed car parking slot
low floor: low-rise building
fully furnished
fully equipped kitchen
full set of electrical appliances
a new owner may need some renovation
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|False|False|False|False|False,marker marker-bts|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phrom Phong|Asok|Sukhumvit|Asok 3 Toll Plaza|Asok 4 Toll Plaza|Asok 1 Toll Plaza,1 km / 4 minutes by car|1.4 km / 9 minutes by car|1.5 km / 12 minutes by car|2.6 km / 18 minutes by car|2.6 km / 18 minutes by car|2.6 km / 12 minutes by car,"104,515",0,-7.79,3.81,6.07
President Park Sukhumvit 24,"370-709 Soi Sukhumvit 22, Khwaeng Khlong Tan, Khet Khlong Toei",Khlong Toei,17000000.0,,Bedrooms|Bathrooms|Internal area,3|3|223,Floors|Towers|Year built,11|1|1996,A large Bangkok apartment with a river view is available for sale at President Park Sukhumvit 24 condominium in Phrom Phong,"this large Bangkok condo features a river view from the windows
this condo for sale in Phrom Phong was recently renovated
large living room
3-bedroom
3-bathroom
maids' quarter
area: 223 sqm
very high floor: 30+
facing directions: West and South-East
fully furnished
the separated kitchen is fully equipped
full set of electrical appliances
foreign freehold ownership quota is available for this apartment",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|False|False|False|True|True,marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-mrt|marker marker-expressway|marker marker-expressway,Phrom Phong|Queen Sirikit National Convention Centre|Tha Ruea 2 Toll Plaza|Khlong Toei|Tha Ruea 1 Toll Plaza|Rama 4-1 Toll Plaza,1.2 km / 6 minutes by car|1.3 km / 7 minutes by car|1.4 km / 6 minutes by car|1.5 km / 15 minutes by car|1.6 km / 6 minutes by car|1.7 km / 10 minutes by car,"77,068",0,-1.83,4.05,-2.62
