dev,address,district,sale_price,rent_price,internal_feature_keys,internal_feature_values,external_feature_keys,exteranal_feature_values,description,detail,amenity_keys,amenity_values,neighbor_cats,neighbor_names,neighbor_distances,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year
Celes Asoke,"10 Asok Montri Rd, Khwaeng Khlong Toei Nuea, Khet Watthana",Khlong Toei,12900000.0,,Bedrooms|Bathrooms|Internal area,1|1|50.16,Floors|Towers|Year built,40|1|2020,This luxury new condo is available now on Sukhumvit 21 in Celes Asoke condominium,"this luxury condo is a new unit (directly from the developer) and is available at a promotion price by RE/MAX Condodee
this condo is a luxury property with high ceilings and modern facilities in the project
1-bedroom
1-bathroom
fully furnished
mid-floor with city views
open and equipped kitchen
full set of quality branded electrical appliances
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|False|False|False|False,marker marker-mrt|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Sukhumvit|Asok|Nana|Sukhumvit Toll Plaza|Asok 2 Toll Plaza|Asok 1 Toll Plaza,110 m / 2 minutes by foot|380 m / 5 minutes by foot|1 km / 3 minutes by car|1.8 km / 12 minutes by car|2 km / 4 minutes by car|2.9 km / 6 minutes by car,"309,123",0,15.65,3.66,8.52
Watthana Heights,"Sukhumvit 21 Soi 1, Khwaeng Khlong Toei Nuea, Khet Watthana",Watthana,35000000.0,,Bedrooms|Bathrooms|Internal area,4|4|336.31,Floors|Towers|Year built,39|1|1994,A large condo in Wattana Heights for sale is a unique opportunity to purchase an apartment in this condominium,"confidential sale - serious inquiries only, please
only 2 units on the floor
huge living room with a bar and 2 balconies towards North and South
4-bedroom - a rare layout for this building
4-bathroom
4 balconies - large and long
high floor (20+) with an unblocked view of Bangkok
this condo features numerous stock areas and a built-in wardrobe
the condo is very well maintained and is for sale with a full set of furniture
large separated kitchen - fully equipped
large maids' quarter with a separate entrance and service balcony
2 fixed car parking lots
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|False|False|False|False|False,marker marker-mrt|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Sukhumvit|Asok|Nana|Sukhumvit Toll Plaza|Asok 2 Toll Plaza|Asok 1 Toll Plaza,340 m / 4 minutes by foot|690 m / 9 minutes by foot|870 m / 8 minutes by car|1.6 km / 12 minutes by car|1.7 km / 6 minutes by car|1.8 km / 8 minutes by car,"89,146",0,25.72,3.78,-41.46
D.S. Tower 2 Sukhumvit 39,"Soi Phon Si, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,10600000.0,,Bedrooms|Bathrooms|Internal area,3|2|137,Floors|Towers|Project Area|Year built,"30|1|4,860 m2|1996",This large apartment was recently renovated and is available now on a high floor in D.S. Tower 2 Sukhumvit 39 condominium.,"this Bangkok apartment is currently rented out and is available for sale with the tenant
the tenant pays 45,000 per month until February 2023
3-bedroom
2-bathroom
balcony
area: 137 sqm
high floor: 25+
facing direction: West towards Asoke
fully furnished: classical style
fully equipped kitchen
full set of electrical appliances: flat TV, refrigerator, washing machine, microwave
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|False|True|False|False|False,marker marker-bts|marker marker-mrt|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phrom Phong|Phetchaburi|Sukhumvit|Asok 3 Toll Plaza|Asok 4 Toll Plaza|Asok 1 Toll Plaza,1.5 km / 9 minutes by car|2 km / 5 minutes by car|2.2 km / 14 minutes by car|2.5 km / 14 minutes by car|2.5 km / 14 minutes by car|2.6 km / 8 minutes by car,"89,882",0,15.18,4.23,-5.65
Magnolias Waterfront Residences,"215 Charoen Nakhon Rd, Khwaeng Khlong Ton Sai, Khet Khlong San",Khlong San,34975650.0,,Bedrooms|Bathrooms|Internal area,1|1|164.87,Floors|Towers|Project Area|Year built,"70|2|12,252 m2|2017","Magnolias Waterfront Residences at ICONSIAM is a super-luxury Bangkok condo for sale that was built in 2018 by MQDC Magnolia Quality Development Corp.
This luxury condominium is located on Charoen Nakhon Road on the banks of the Chao Phraya river on the Thonburi side.
Magnolias Waterfront Residences at ICONSIAM comprises a single tower of 70 floors with a total of 379 apartments
Apartment types:","Unit types:  1-4 bedroom
Unit sizes: 50-350 sqm
All units have a ceiling height of 3 m",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|False|False,marker marker-expressway|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-bts|marker marker-bts,Surawong Toll Plaza|Hua Lamphong|Saphan Sawang Toll Plaza|Hua Lamphong Toll Plaza|Krung Thon Buri|Saphan Taksin,1.4 km / 8 minutes by car|2 km / 12 minutes by car|2.1 km / 13 minutes by car|2.2 km / 13 minutes by car|2.6 km / 8 minutes by car|2.8 km / 12 minutes by car,"393,369",0,26.85,3.06,-4.02
The ESSE Asoke,"48/1 Thanon Asok Montri, Khwaeng Khlong Toei Nuea, Khet Watthana",Watthana,21000000.0,,Bedrooms|Bathrooms|Internal area,2|2|75.5,Floors|Towers|Project Area|Year built,"55|1|3,674 m2|2018",This luxury Sukhumvit apartment with 2 bedrooms is available now on a high floor in The Esse Asoke condominium in Bangkok.,"2-bedroom
2-bathrooms
area: 75.5 sqm
balcony
facing direction: West
very high floor: 35+ with an amazing view
fully furnished - premium furniture
open kitchen - fully equipped
full electrical appliances, including flat TV, refrigerator, washing machine, microwave
foreign freehold ownership quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|False|True,marker marker-mrt|marker marker-mrt|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Sukhumvit|Phetchaburi|Asok|Asok 4 Toll Plaza|Asok 2 Toll Plaza|Asok 1 Toll Plaza,540 m / 7 minutes by foot|630 m / 8 minutes by foot|890 m / 4 minutes by car|1.3 km / 17 minutes by car|1.3 km / 5 minutes by car|1.4 km / 6 minutes by car,"259,459",-8.57,-5.98,4.3,3.68
The Lumpini 24,"92 Soi Sukhumvit 24, Khwaeng Khlong Tan, Khet Khlong Toei",Khlong Toei,47500000.0,,Bedrooms|Bathrooms|Internal area,3|2|126,Floors|Towers|Year built,46|1|2013,This mini-penthouse in Sukhumvit 24 is available now in The Lumpini 24  luxury condominium in Phrom Phong,"this luxury Bangkok condo features a nice decoration and an amazing view from the top floor to the Chao Phraya River.
3-bedroom
3-bathroom
very high floor: 40+
2 balconies
facing direction: South and West
area: 110 sqm
2 fixed parking slot
fully and nicely furnished
separated kitchen
full set of electrical appliances including flat TV, refrigerator, washing machine, and microwave
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|True|True|True,marker marker-bts|marker marker-mrt|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phrom Phong|Queen Sirikit National Convention Centre|Khlong Toei|Tha Ruea 2 Toll Plaza|Rama 4-1 Toll Plaza|Tha Ruea 1 Toll Plaza,1.5 km / 8 minutes by car|1.7 km / 10 minutes by car|1.9 km / 17 minutes by car|2 km / 9 minutes by car|2.1 km / 12 minutes by car|2.1 km / 9 minutes by car,"225,906",0,-1.63,4.41,6.68
Millennium Residence,"132 สุขุมวิท Khwaeng Khlong Toei, Khet Khlong Toei",Khlong Toei,16900000.0,,Bedrooms|Bathrooms|Internal area,2|2|90,Floors|Towers|Project Area|Year built,"51|4|20,424 m2|2009",This luxury condo in Bangkok CBD is available in Millennium Residence on Sukhumvit 20. This 2-bedroom 2-bathroom apartment features an area of 90 sqm and is located on a high floor.,"2 bedrooms
2 bathrooms
1 parking slot
1 balcony
area: 90 sqm
high floor (25+) with a fantastic city view
fully furnished
fully equipped kitchen
electrical appliances include flat TV, refrigerator, washing machine, microwave, La-Z-Boy recliner, Siemens oven
foreign freehold quota",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|True|True|True,marker marker-bts|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Asok|Phrom Phong|Queen Sirikit National Convention Centre|Sukhumvit Toll Plaza|Rama 4-1 Toll Plaza|Rama 4-2 Toll Plaza,1.2 km / 7 minutes by car|1.4 km / 11 minutes by car|1.6 km / 7 minutes by car|2.5 km / 16 minutes by car|2.6 km / 10 minutes by car|3.1 km / 14 minutes by car,"177,500",0,-3.84,3.86,-0.35
The Lakes,"Opposite Sukhumvit 16, Baimai Raroeng Asok, Khwaeng Khlong Toei, Khet Khlong Toei",Khlong Toei,29000000.0,,Bedrooms|Bathrooms|Internal area,2|2|176,Floors|Towers|Project Area,"36|1|2,760 m2",This large apartment near Asoke BTS with 2 bedrooms is available on a high floor in The Lakes condominium,"this apartment features a very large master bedroom and a good-sized living room
this condominium allows pets
2-bedroom
2-bathroom
jacuzzi in the master bedroom
balcony
high floor
facing direction: East
fixed parking slot
fully and nicely furnished
open and fully equipped kitchen
full set of electrical appliances, including flat TV, refrigerator, washing machine, microwave
foreign freehold quota",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|False|False|True,marker marker-bts|marker marker-mrt|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Asok|Sukhumvit|Nana|Sukhumvit Toll Plaza|Rama 4-1 Toll Plaza|Rama 4-2 Toll Plaza,390 m / 5 minutes by foot|590 m / 8 minutes by foot|1 km / 2 minutes by car|1.9 km / 13 minutes by car|2.5 km / 7 minutes by car|2.9 km / 11 minutes by car,"226,480",0,9.38,3.44,9.44
Royal Castle Sukhumvit 39,"30 Soi Sukhumvit 39, Khlong Toei Nuea, Khet Watthana",Watthana,15250000.0,,Bedrooms|Bathrooms|Internal area,3|2|129,Towers,1,This 3-bedroom apartment for sale in Prompong is available on a mid-floor at Royal Castle Sukhumvitb 39 condominium,"large apartment with 2 balconies
3-bedroom
2-bathroom
large living room with a dining area
facing direction: East
area: 129 sqm
fully furnished
full set of electrical appliances
foreign freehold ownership quota available
the apartment is rented out until the end of September 2020",,,marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-bts|marker marker-bts|marker marker-bts,Bang Mueang Toll Plaza-Outbound 4|Bang Mueang Toll Plaza-Outbound 1|Bang Mueang Toll Plaza-Inbound 1|Bearing|Bang Na|Udom Suk,3.7 km / 9 minutes by car|4.1 km / 7 minutes by car|4.3 km / 7 minutes by car|7.6 km / 16 minutes by car|8.4 km / 17 minutes by car|9.9 km / 20 minutes by car,"150,376",44.03,46.45,4.2,54.25
XT Ekkamai,"257/2 สุขุมวิท Khwaeng Khlong Tan Nuea, Khet Watthana",Watthana,9490000.0,,Bedrooms|Bathrooms|Internal area,2|2|46.5,Floors|Towers|Year built,38|1|2020,"This Bangkok new condo on Sukhumvit 63 with 2 bedrooms and amazing views is available now in XT Ekkamai condominium with luxury facilities
This new condo for sale in Sukhumvit 63 is available now at a discounted price","this condo is a new apartment in a project with luxury facilities
this new Bangkok condo features amazing unblocked city views
2-bedroom
2-bathroom
area: 46.5 sqm
balcony
very high floor - 30+
fully furnished
open and fully equipped kitchen
no electrical appliances
foreign freehold quota available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|True|False|True,marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-bts|marker marker-expressway,Ekkamai|Thong Lo|Phatthanakan 1 Toll Plaza|Phatthanakan 2 Toll Plaza|Phrom Phong|Ramkhamhaeng Toll Plaza,1.7 km / 12 minutes by car|2 km / 7 minutes by car|2.5 km / 9 minutes by car|2.6 km / 8 minutes by car|3 km / 16 minutes by car|3.1 km / 18 minutes by car,"156,820",0,-26.74,4.45,7.99
