dev,address,district,sale_price,rent_price,internal_feature_keys,internal_feature_values,external_feature_keys,exteranal_feature_values,description,detail,amenity_keys,amenity_values,neighbor_cats,neighbor_names,neighbor_distances,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year
Avenue 61,"34 Soi Setthabut, Khwaeng Khlong Tan Nuea, Khet Watthana",Watthana,15195534.0,,Bedrooms|Bathrooms|Internal area,1|1|178.18,Floors|Towers|Project Area|Year built,"7|2|3,568 m2|2005","Avenue 61 Sukhumvit 61 condo for sale in Bangkok near Ekamai BTS is a low-rise apartment building.
This Bangkok condo for sale on Sukhumvit 61 was built in 2005 and it includes 2 buildings 7 floors each. There are 79 apartments in this Bangkok condominium project.
Located in Sukhumvit 61, only 5 minutes from BTS Ekamai, the location offers residents superior commuting convenience for both leisure and business.
Apartment types","1-Bedroom: 63 sqm
2-Bedroom: 101 - 107 sqm
3-bedroom: 107 - 196 sqm
4-bedroom: 270 sqm",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|False|False|True|False|False|False,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Ekkamai|Thong Lo|Phra Khanong|At Narong Toll Plaza|Phra Khanong Toll Plaza|Tha Ruea 2 Toll Plaza,760 m / 10 minutes by foot|1 km / 4 minutes by car|1.6 km / 7 minutes by car|2.6 km / 11 minutes by car|3.2 km / 10 minutes by car|3.9 km / 13 minutes by car,"118,101",0,-4.72,4.45,-6.61
The Bangkok Thonglor,"42 Soi Thong Lo 1, Khwaeng Khlong Tan Nuea, Khet Watthana",Watthana,26598830.0,,Bedrooms|Bathrooms|Internal area,1|1|90.49,Floors|Towers|Year built,31|1|2019,The Bangkok Thonglor Sukhumvit 55 is a super-luxury condo for sale that Land and Houses Public Company developed in 2019.,"Completion date - Q3 2019
The Bangkok Thonglor high-end condominium contains 148 units on 31 floors
Land 1-3 Rai",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|False|False|False|False,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Thong Lo|Ekkamai|Phrom Phong|At Narong Toll Plaza|Tha Ruea 2 Toll Plaza|Tha Ruea 1 Toll Plaza,480 m / 6 minutes by foot|1.2 km / 11 minutes by car|1.6 km / 10 minutes by car|2.8 km / 13 minutes by car|3.6 km / 16 minutes by car|3.7 km / 15 minutes by car,"386,482",0,-0.15,4.02,-6.03
The Waterford Diamond,"PHGF+Q99, Sukhumvit 30/1 Alley, Khwaeng Khlong Tan, Khet Khlong Toei",Khlong Toei,7302312.0,,Bedrooms|Bathrooms|Internal area,1|1|89.2,Floors|Towers|Project Area|Year built,"46|1|3,320 m2|1999","The Waterford Diamond Sukhumvit 30/1 condo for sale in Bangkok CBD near BTS Phrom Phong and BTS Thonglor was built in 1998.
This Bangkok condo for sale comprises a single building, having 498 apartments on 46 floors.
Waterford Diamond Tower is a pet-friendly Bangkok condominium near BTS Phrom Phong (pets are allowed only in one building - the lower one)
Apartment types","Unit types: studio - 3-bedroom
Unit sizes: 50 - 150 sqm",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|True|False|False,marker marker-bts|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phrom Phong|Asok|Sukhumvit|Asok 1 Toll Plaza|Asok 4 Toll Plaza|Asok 3 Toll Plaza,1 km / 3 minutes by car|1.3 km / 7 minutes by car|1.3 km / 7 minutes by car|2.4 km / 8 minutes by car|2.5 km / 17 minutes by car|2.8 km / 15 minutes by car,"107,767",0,3.2,5.37,21.72
Sukhumvit Suite,"21 Soi Sukhumvit 13, Khwaeng Khlong Toei Nuea, Khet Watthana",Watthana,15000000.0,,Bedrooms|Bathrooms|Internal area,2|2|208,Floors|Towers|Year built,44|1|1994,This large balcony condo in Nana is available on the top floor at Sukhumvit Suite condominium on Sukhumvit 13 in Bangkok CBD,"this condo is located on one of the top floors
price reduced from 17M
2 bedroom
2 bathroom
maids' quarter
large balcony
area: 208 sqm
2 parking slots - 1 is fixed
facing direction: West
partially furnished
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|False|False|True|True|True,marker marker-bts|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Nana|Asok|Sukhumvit|Sukhumvit Toll Plaza|Phetchaburi Toll Plaza|Asok 2 Toll Plaza,610 m / 8 minutes by foot|840 m / 7 minutes by car|1.2 km / 6 minutes by car|1.3 km / 10 minutes by car|1.7 km / 14 minutes by car|2 km / 11 minutes by car,"72,194",0,-7.97,4.69,-16.32
Downtown Forty Nine,"Soi Raruen Chit, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,20400000.0,,Bedrooms|Bathrooms|Internal area,2|2|135.55,Floors|Towers|Project Area|Year built,"8|2|2,888 m2|2013",This large 2-bedroom Bangkok apartment is available in pet-friendly Downtown 49 condominium,"this pet-friendly Bangkok condo features a private rooftop relaxation area
this Bangkok apartment is beautifully decorated, no renovations are required
 2-bedroom
2-bathroom
large long balcony
large area: 135.55 sqm
facing direction: North
low floor: low-rise Bangkok condominium
fully furnished: nicely decorated
fully equipped kitchen
full set of electrical appliances
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|False|False|False|False,marker marker-bts|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phrom Phong|Thong Lo|Sukhumvit|Asok 4 Toll Plaza|Asok 1 Toll Plaza|Rama 9 Toll Plaza,1.9 km / 9 minutes by car|2.2 km / 10 minutes by car|3 km / 17 minutes by car|4.1 km / 17 minutes by car|4.1 km / 17 minutes by car|4.6 km / 18 minutes by car,"167,071",0,9.83,4.7,10.29
LAKE AVENUE Sukhumvit 16,"1 Soi Sukhumvit 16, Khwaeng Khlong Toei, Khet Khlong Toei",Khlong Toei,9991416.0,,Bedrooms|Bathrooms|Internal area,1|1|138.6,Towers,1,"Lake Avenue Sukhumvit 16 condo for sale near Asoke BTS and Sukhumvit MRT was built in 1985.
This Bangkok condo for sale near Asoke BTS comprises two buildings, having 160 larger units on 26 floors.
Lake Avenue is a popular Bangkok condominium because of its exceptional location right in Asoke junction, larger apartment sizes, and quality of construction and management.
Facilities at Lake Avenue Sukhumvit 15 Bangkok condo for sale","elegant lobby
reception desk
elevator
parking
24-hours security and 24/7 security guards and reception desk
key card access
CCTV
swimming pool
gym/fitness room
meeting room",,,marker marker-mrt|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Sukhumvit|Asok|Phrom Phong|Sukhumvit Toll Plaza|Rama 4-1 Toll Plaza|Rama 4-2 Toll Plaza,850 m / 6 minutes by car|860 m / 5 minutes by car|1.7 km / 8 minutes by car|2.2 km / 12 minutes by car|2.3 km / 7 minutes by car|2.8 km / 10 minutes by car,"107,356",0,6.62,4.25,-2.56
CitiSmart Sukhumvit 18,"Soi Sukhumvit 18, Khwaeng Khlong Toei, Khet Khlong Toei",Khlong Toei,9500000.0,,Bedrooms|Bathrooms|Internal area,2|2|74.24,Floors|Towers|Year built,21|1|2005,This condo near BTS Asoke is available at a good price in CitiSmart Sukhumvit 18 condominium in Bangkok CBD,"good-sized living room
2-bedroom
2-bathroom
balcony
low floor: 10-
facing direction: West
fully furnished
fully equipped kitchen
full set of electrical appliances
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|True|False|True,marker marker-bts|marker marker-mrt|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Asok|Sukhumvit|Phrom Phong|Sukhumvit Toll Plaza|Rama 4-1 Toll Plaza|Rama 4-2 Toll Plaza,390 m / 5 minutes by foot|530 m / 7 minutes by foot|980 m / 6 minutes by car|1.7 km / 8 minutes by car|3.1 km / 9 minutes by car|3.2 km / 13 minutes by car,"148,877",0,0.47,4.55,4.83
Le Nice Ekamai,"Soi Ekkamai, Phra Khanong Nuea, Vadhana, Bangkok 10110",Watthana,6836030.0,,Bedrooms|Bathrooms|Internal area,1|1|77.11,Floors|Towers|Project Area|Year built,"8|1|4,776 m2|2010","Le Nice Ekamai Sukhumvit 63 pet-friendly condo for sale in Bangkok was built in 2010.
This Bangkok condominium comprises a single building, having 79 apartments on 8 floors.
Le Nice Ekamai is a pet-friendly Bangkok condo for sale on main Ekkamai (Sukhumvit 63) Road.
Apartment types at this Sukhumvit condo for sale near BTS Ekkamai","apartment types: 1 - 3 bedroom
apartment sizes: 36 - 116 sqm",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|True|False|False|False,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Ekkamai|Thong Lo|Phra Khanong|At Narong Toll Plaza|Phatthanakan 1 Toll Plaza|Phra Khanong Toll Plaza,770 m / 10 minutes by foot|1.4 km / 4 minutes by car|1.6 km / 5 minutes by car|2.6 km / 10 minutes by car|3 km / 11 minutes by car|3.2 km / 8 minutes by car,"109,475",0,-1.24,5.61,5.13
Villa Asoke,"1596 Phetchaburi Rd, Khwaeng Makkasan, Khet Ratchathewi",Watthana,6900000.0,,Bedrooms|Bathrooms|Internal area,1|1|48,Floors|Towers|Project Area|Year built,"42|1|6,860 m2|2013",This Bangkok condo on the high floor is available now in the popular Villa Asoke condominium.,"this Bangkok apartment was recently renovated so that it's a clean and nice flat
this Bangkok condo is located on a high floor in the Villa Asoke condominium and so features and nice city view.
area: 48 sqm
1-bedroom
1-bathroom
1 parking slots
1 balcony
facing direction: North
fully furnished
open kitchen - fully equipped
high floor: 20+
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|False|False,marker marker-mrt|marker marker-expressway|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-bts,Phetchaburi|Asok 2 Toll Plaza|Phra Ram 9|Asok 1 Toll Plaza|Asok 4 Toll Plaza|Nana,210 m / 3 minutes by foot|1.1 km / 5 minutes by car|1.8 km / 10 minutes by car|2 km / 10 minutes by car|2 km / 16 minutes by car|2 km / 8 minutes by car,"145,719",0,9.57,4.03,1.24
Edge Sukhumvit 23,"6 Sukhumvit Road, Khlong Toei Nuea, Watthana",Khlong Toei,7500000.0,,Bedrooms|Bathrooms|Internal area,1|1|33,Floors|Towers|Project Area|Year built,"35|1|4,068 m2|2013",This Sukhumvit condo near MRT Sukhumvit station is available now in Edge Sukhumvit 23 condominium.,"1-bedroom
1-bathroom
balcony
area: 33 sqm
facing direction: East
car parking slot
mid floor: 10+
fully furnished
open and equipped kitchen
full set of electrical appliances, including flat TV, refrigerator, washing machine, microwave
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|False|False|False|True,marker marker-bts|marker marker-mrt|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Asok|Sukhumvit|Nana|Sukhumvit Toll Plaza|Asok 4 Toll Plaza|Asok 1 Toll Plaza,420 m / 6 minutes by foot|430 m / 5 minutes by foot|1 km / 6 minutes by car|1.7 km / 10 minutes by car|2.2 km / 19 minutes by car|2.2 km / 12 minutes by car,"221,440",0,-2.99,4.34,1.14
