dev,address,district,sale_price,rent_price,internal_feature_keys,internal_feature_values,external_feature_keys,exteranal_feature_values,description,detail,amenity_keys,amenity_values,neighbor_cats,neighbor_names,neighbor_distances,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year
The Address Asoke,"Phetchaburi Road, Khwaeng Makkasan, Khet Ratchathewi",Watthana,6500000.0,,Bedrooms|Bathrooms|Internal area,1|1|36,Floors|Towers|Project Area|Year built,"44|1|6,308 m2|2012",This condo with 1 bedroom in Asoke is available now in The Address Asoke condominium with double facilities (2 gym rooms and 2 swimming pools). It is located on one of the top floors and features a nice city view.,"1-bedroom, 1-bathroom, 1 balcony
36 sq.m.
one of the top floors (35+)
facing West
Jacuzzi in bathroom
fully furnished, built-in closet
fully equipped kitchen, washing machine, 2 flat TVs",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|False|False,marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-mrt|marker marker-mrt,Phetchaburi|Asok 2 Toll Plaza|Asok 4 Toll Plaza|Asok 1 Toll Plaza|Phraram Kao 9|Phra Ram 9,220 m / 3 minutes by foot|800 m / 2 minutes by car|820 m / 14 minutes by car|890 m / 4 minutes by car|1.1 km / 8 minutes by car|1.2 km / 8 minutes by car,"156,451",0,-0.38,4.48,5.99
Baan Suanpetch,"9 Soi Sukhumvit 39, Khwaeng Khlong Tan Nuea, Khet Watthana",Khlong Toei,17350000.0,,Bedrooms|Bathrooms|Internal area,3|3|129.21,Floors|Towers|Year built,33|1|1993,This renovated large apartment near BTS Phrom Phong is available now at Baan Suanpetch Sukhumvit 39 condominium,"this condo was recently renovated
the owner takes good care of this large apartment for sale
3-bedroom
3-bathroom
long balcony
area: 129.21 sqm
fixed car parking slot
low floor: 10-
facing direction: West
fully furnished: new furniture, Japanese design
fully equipped kitchen
full set of electrical appliances
foreign freehold ownership quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|False|False,marker marker-bts|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phrom Phong|Thong Lo|Sukhumvit|Rama 4-2 Toll Plaza|Rama 4-1 Toll Plaza|At Narong Toll Plaza,350 m / 4 minutes by foot|1.4 km / 7 minutes by car|1.8 km / 17 minutes by car|3.2 km / 22 minutes by car|3.2 km / 17 minutes by car|3.5 km / 13 minutes by car,"140,982",0,-3.89,4.04,9.95
The Address Asoke,"Phetchaburi Road, Khwaeng Makkasan, Khet Ratchathewi",Watthana,10000000.0,,Bedrooms|Bathrooms|Internal area,2|2|64.96,Floors|Towers|Project Area|Year built,"44|1|6,308 m2|2012",Bangkok condo near MRT is available in The Address Asoke luxury condominium near Makkasan Airport Railink,"this Bangkok condo near MRT is a corner unit
this Bangkok apartment for sale features thick window glass for soundproof
2-bedroom
2-bathroom
balcony
area: 64.96 sqm
high floor: 20+
facing direction: South with an unblocked view of Asoke
fully furnished
fully equipped kitchen
full set of electrical appliances
foreign freehold ownership quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|False|False,marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-mrt|marker marker-mrt,Phetchaburi|Asok 2 Toll Plaza|Asok 4 Toll Plaza|Asok 1 Toll Plaza|Phraram Kao 9|Phra Ram 9,220 m / 3 minutes by foot|800 m / 2 minutes by car|820 m / 14 minutes by car|890 m / 4 minutes by car|1.1 km / 8 minutes by car|1.2 km / 8 minutes by car,"156,451",0,-0.38,4.48,5.99
Siamese Exclusive Sukhumvit 31,"31-39 Soi Sukhumvit 31, Khwaeng Khlong Toei Nuea, Khet Watthana",Watthana,26500000.0,,Bedrooms|Bathrooms|Internal area,3|3|145.27,Floors|Towers|Project Area|Year built,"21|1|2,800 m2|2017",This new luxury duplex is available now in luxury condominium Siamese Exclusive Sukhumvit 31,"this Bangkok condo is a duplex: a bedroom of 23.11 sqm on the 2nd floor
brand new luxury Bangkok property: directly from the developer
3-bedroom
3 bathroom
balcony
facing direction: West-North
living area: 145.27 (inclusive of 23.11 sqm of 2nd floor that is not included in the title deed)
private lift
car parking slot
fully fitted: not furnished
foreign freehold ownership quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|False|False|True|False|False,marker marker-bts|marker marker-mrt|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Asok|Sukhumvit|Phrom Phong|Sukhumvit Toll Plaza|Asok 4 Toll Plaza|Asok 1 Toll Plaza,850 m / 5 minutes by car|980 m / 9 minutes by car|1.1 km / 4 minutes by car|2.2 km / 18 minutes by car|2.4 km / 19 minutes by car|2.5 km / 12 minutes by car,"201,632",0,-3.28,4.49,3.71
Edge Sukhumvit 23,"6 Sukhumvit Road, Khlong Toei Nuea, Watthana",Khlong Toei,10500000.0,,Bedrooms|Bathrooms|Internal area,1|1|43.7,Floors|Towers|Project Area|Year built,"35|1|4,068 m2|2013",This condo in Asoke near MRT Sukhumvit is available now in Edge Sukhumvit 23 luxury condinium,"this Bangkok condo features an area of 43 sqm, which is larger than other new 1-bedroom units in this project and in the Bangkok center
this Bangkok apartment is a corner unit so that it features an unblocked view
1-bedroom
1-bathroom
balcony
car parking slot
area: 43.7 sqm
fully furnished
mid floor: 10+
facing direction: West with an unblocked view
open kitchen
full electrical appliances: refrigerator, flat TV, washing machine, and microwave
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|False|False|False|True,marker marker-bts|marker marker-mrt|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Asok|Sukhumvit|Nana|Sukhumvit Toll Plaza|Asok 4 Toll Plaza|Asok 1 Toll Plaza,420 m / 6 minutes by foot|430 m / 5 minutes by foot|1 km / 6 minutes by car|1.7 km / 10 minutes by car|2.2 km / 19 minutes by car|2.2 km / 12 minutes by car,"221,440",0,-2.99,4.34,1.14
Royal Castle Sukhumvit 39,"30 Soi Sukhumvit 39, Khlong Toei Nuea, Khet Watthana",Watthana,13300000.0,,Bedrooms|Bathrooms|Internal area,3|2|140,Towers,1,This 3-bedroom apartment in Prompong is available now on a low floor at Royal Castle Sukhumvit 39 condominium,"this Bangkok apartment features large rooms
3 bedrooms
2 bathrooms
area: 140 sqm
large balcony
facing direction: West
fixed parking slot
low floor
fully furnished
separated and fully equipped kitchen
electrical appliances: TV, refrigerator, washing machine, microwave
foreign freehold ownership quota is available",,,marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-bts|marker marker-bts|marker marker-bts,Bang Mueang Toll Plaza-Outbound 4|Bang Mueang Toll Plaza-Outbound 1|Bang Mueang Toll Plaza-Inbound 1|Bearing|Bang Na|Udom Suk,3.7 km / 9 minutes by car|4.1 km / 7 minutes by car|4.3 km / 7 minutes by car|7.6 km / 16 minutes by car|8.4 km / 17 minutes by car|9.9 km / 20 minutes by car,"150,376",44.03,46.45,4.2,54.25
Crystal Garden,"Soi Nana Tai, Khlong Toei, Bangkok 10110",Khlong Toei,16000000.0,,Bedrooms|Bathrooms|Internal area,2|2|229,Floors|Towers|Year built,26|1|1992,This Bangkok apartment with a large balcony on Soi Nana (Sukhumvit 4) is available now for sale in Crystal Garden condominium,"this Bangkok condo in Soi Nana (Sukhumvit 4) features a very big balcony
this large apartment requires a full renovation
2-bedroom
2-bathroom
2 balconies
maids' quarter with a separate entrance
large area: 229 sqm
2 fixed parking slots
facing directions: West and South with a nice city and pool view
the separate kitchen of a very good size
partially furnished
foreign freehold ownership quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|False|False|False,marker marker-bts|marker marker-expressway|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway,Nana|Sukhumvit Toll Plaza|Asok|Sukhumvit|Rama 4-2 Toll Plaza|Rama 4-1 Toll Plaza,930 m / 16 minutes by car|1.2 km / 6 minutes by car|1.5 km / 15 minutes by car|1.9 km / 18 minutes by car|3.5 km / 14 minutes by car|3.5 km / 13 minutes by car,"85,235",0,-13.01,3.32,4.42
Siamese Gioia,"Soi Thawi Suk, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,5000000.0,,Bedrooms|Bathrooms|Internal area,1|1|49,Floors|Towers|Project Area|Year built,"7|2|3,168 m2|2012",This condo for sale in Sukhumvit 31 is available now at Siamese Gioia condominium in Bangkok CBD,"Bangkok condo for sale in a low-rise condominium near Sukhumvit 39
1-bedroom
1-bathroom
balcony
facing direction: East with a nice greenery view
car parking slot
fully furnished
fully equipped kitchen
full set of electrical appliances: flat TV, refrigerator, washing machine, microwave
foreign freehold ownership quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|True|True|True,marker marker-mrt|marker marker-mrt|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phetchaburi|Sukhumvit|Asok|Asok 3 Toll Plaza|Asok 4 Toll Plaza|Asok 1 Toll Plaza,1.7 km / 5 minutes by car|1.9 km / 14 minutes by car|1.9 km / 11 minutes by car|2.4 km / 14 minutes by car|2.4 km / 14 minutes by car|2.5 km / 8 minutes by car,"110,885",0,-2.8,5.69,-0.75
Edge Sukhumvit 23,"6 Sukhumvit Road, Khlong Toei Nuea, Watthana",Khlong Toei,8700000.0,,Bedrooms|Bathrooms|Internal area,1|1|43.24,Floors|Towers|Project Area|Year built,"35|1|4,068 m2|2013",This corner condo near Sukhumvit MRT is available now in Edge Sukhumvit 23 luxury condominium built by Sansiri PCL,"corner unit: a nice city view
1-bedroom
1-bathroom
balcony
area: 43.24 sqm
mid-floor: 10+
facing direction: West
car parking slot
fully furnishes: modern style with nice decorations
fully equipped kitchen
full set of electrical appliances: flat TV, refrigerator, washing machine, microwave
foreign freehold ownership quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|False|False|False|True,marker marker-bts|marker marker-mrt|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Asok|Sukhumvit|Nana|Sukhumvit Toll Plaza|Asok 4 Toll Plaza|Asok 1 Toll Plaza,420 m / 6 minutes by foot|430 m / 5 minutes by foot|1 km / 6 minutes by car|1.7 km / 10 minutes by car|2.2 km / 19 minutes by car|2.2 km / 12 minutes by car,"221,440",0,-2.99,4.34,1.14
The Address Sukhumvit 42,"Soi Barbot 1, Khwaeng Phra Khanong, Khet Khlong Toei",Khlong Toei,9000000.0,,Bedrooms|Bathrooms|Internal area,2|2|89.47,Floors|Towers|Project Area|Year built,"8|2|3,200 m2|2009",This condo for sale near BTS Ekkamai is available now at a very good price in The Address Sukhumvit 42 condominium near BTS Ekkamai and Gateway Ekkamai,"this condo is for sale at the best price for this location and condominium
large living room
2-bedroom
2-bathroom
low-floor - low-rise condominium
area: 89.47 sqm
parking slot
partly furnished
equipped kitchen
some electrical appliances are available
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|False|False|True,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Ekkamai|Phra Khanong|Thong Lo|At Narong Toll Plaza|At Narong 2 Toll Plaza|Phra Khanong Toll Plaza,360 m / 4 minutes by foot|1.2 km / 6 minutes by car|1.2 km / 6 minutes by car|1.7 km / 12 minutes by car|2.4 km / 19 minutes by car|2.8 km / 9 minutes by car,"107,073",0,-3.71,5.47,18.73
