dev,address,district,sale_price,rent_price,internal_feature_keys,internal_feature_values,external_feature_keys,exteranal_feature_values,description,detail,amenity_keys,amenity_values,neighbor_cats,neighbor_names,neighbor_distances,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year
Beverly 33,"Soi Daeng Udom, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,6583442.0,,Bedrooms|Bathrooms|Internal area,1|1|47.5,Floors|Towers|Project Area|Year built,"8|1|1,232 m2|2012",Beverly 33 Sukhumvit 33 condo for sale in Bangkok near BTS Phrom Phong was constructed in 2012.,"This Bangkok condo in Sukhumvit 33 comprises a single building having 99 apartments on 8 floors.
All apartments are 1-bedroom units of around 40 sqm.
Facilities at Beverly 33 Sukhumvit 33 condo for sale in Bangkok CBD",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|False|False|False|False|False,marker marker-bts|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phrom Phong|Asok|Sukhumvit|Asok 3 Toll Plaza|Asok 4 Toll Plaza|Asok 1 Toll Plaza,660 m / 8 minutes by foot|1.2 km / 9 minutes by car|1.4 km / 12 minutes by car|2.8 km / 19 minutes by car|2.8 km / 19 minutes by car|2.9 km / 12 minutes by car,"163,696",0,7.34,4.65,33.68
Oriental Towers,"Soi Charoen Chai, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,33703013.0,,Bedrooms|Bathrooms|Internal area,1|1|445.09,Floors|Towers|Year built,33|1|1995,"Oriental Towers Ekkamai 12 condo for sale in Bangkok was built in 1995.
This older Bangkok condominium comprises a single building, having 70 larger apartments on 33 floors.
Apartment types","unit types: 3-4 bedrooms
unit sizes: 315 - 350 sqm",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|False|False|False,marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-bts|marker marker-expressway|marker marker-expressway,Ekkamai|Thong Lo|Phatthanakan 1 Toll Plaza|Phra Khanong|Phatthanakan 2 Toll Plaza|Phra Khanong Toll Plaza,1.6 km / 11 minutes by car|1.9 km / 8 minutes by car|2.1 km / 9 minutes by car|2.4 km / 8 minutes by car|2.7 km / 8 minutes by car|3.2 km / 10 minutes by car,"96,597",0,2.19,2.92,2.62
Saranjai Mansion,"Sukhumvit Soi 6, Khwaeng Khlong Toei, Khet Khlong Toei",Khlong Toei,5400000.0,,Bedrooms|Bathrooms|Internal area,1|1|63,Floors|Towers|Year built,23|1|1992,This apartment on Sukhumvit 6 with 1 bedroom is available on a mid-floor at Saranjai Mansion condominium near BTS Nana,"1 bedroom
1 bathroom
balcony
area: 63 sqm
mid-floor: 10+
facing direction: South
car parking slot
fully furnished – classic style
fully equipped kitchen
full set of electrical appliances including flat TV, refrigerator, washing machine, and microwave",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|False|False|True|False|False,marker marker-bts|marker marker-expressway|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway,Nana|Sukhumvit Toll Plaza|Asok|Phloen Chit|Phetchaburi Toll Plaza|Rama 4-2 Toll Plaza,270 m / 3 minutes by foot|820 m / 5 minutes by car|880 m / 13 minutes by car|920 m / 6 minutes by car|1.8 km / 13 minutes by car|3.1 km / 13 minutes by car,"86,923",0,7.11,4.35,-6.8
CitiSmart Sukhumvit 18,"Soi Sukhumvit 18, Khwaeng Khlong Toei, Khet Khlong Toei",Khlong Toei,9800000.0,,Bedrooms|Bathrooms|Internal area,2|2|73,Floors|Towers|Year built,21|1|2005,This 2-bedroom condo near Asoke BTS is available on a mid-floor at CitiSmart Sukhumvit 18 condominium,"2-bedroom
2-bathroom
balcony
area: 73 sqm
mid floor: 10+
facing direction: West
car parking slot
fully and nicely furnished
equipped kitchen
full set of electrical appliances: flat TV, refrigerator, washing machine, microwave
foreign freehold ownership quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|True|False|True,marker marker-bts|marker marker-mrt|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Asok|Sukhumvit|Phrom Phong|Sukhumvit Toll Plaza|Rama 4-1 Toll Plaza|Rama 4-2 Toll Plaza,390 m / 5 minutes by foot|530 m / 7 minutes by foot|980 m / 6 minutes by car|1.7 km / 8 minutes by car|3.1 km / 9 minutes by car|3.2 km / 13 minutes by car,"148,877",0,0.47,4.55,4.83
,,Khlong Toei,6698347.0,,Bedrooms|Bathrooms|Internal area,1|1|76.06,,,"59 Heritage Sukhumvit 59 condo for sale near BTS Thong Lo was built by Thai Factory Development and completed in 2009.
This Bangkok apartment comprises 2 towers (12 and 27 floors) having 226 apartments in total.
Facilities at 59 Heritage condo for sale in Bangkok
59 Heritage condominium has a great variety of facilities including","swimming pool
garden
gym/fitness club
sauna
security gate
CCTV
24/7 reception desk
parking area
Wi-Fi in the public area
on-site shop",,,,,,,,,,
KEYNE BY SANSIRI,"140 Sukhumvit Rd, Khlong Toei, Khet Khlong Toei",Khlong Toei,11310348.0,,Bedrooms|Bathrooms|Internal area,1|1|77.28,Floors|Towers|Project Area,"28|1|2,704 m2","Keyne by Sansiri Thonglor luxury condo for sale on Sukhumvit Road with direct access to BTS Thonglor was developed by Sansiri Public Company in 2013.
This luxury Bangkok condo for sale on Sukhumvit comprises a single building, having 208 apartments on 28 floors.
Sansiri is also known as a developer behind Baan Siri 24, Baan Siri Sukhumvit 10, and many other condominiums in Bangkok.
Facilities at Keyne by Sansiri Thonglor luxury condo for sale","direct access from BTS Thonglor
elevator
parking
24-hours security and 24/7 security guards and reception desk
key card with access to specific floor
CCTV
swimming pool
gym room
garden area
multi-purpose room
steam",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|False|False|True,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Thong Lo|Phrom Phong|Ekkamai|At Narong Toll Plaza|Tha Ruea 2 Toll Plaza|Tha Ruea 1 Toll Plaza,220 m / 3 minutes by foot|1000 m / 5 minutes by car|1.1 km / 6 minutes by car|2.8 km / 8 minutes by car|3.1 km / 9 minutes by car|3.3 km / 10 minutes by car,"208,822",0,-4.8,4.47,6.58
Liberty Park 2,"55/1-55/137 Soi Sukhumvit 11, Khwaeng Khlong Toei Nuea, Khet Watthana",Watthana,11200000.0,,Bedrooms|Bathrooms|Internal area,2|3|120,Floors|Towers|Year built,23|1|1998,This condo in Nana features a beautiful view from a high floor at Liberty Park 2 condominium on Sukhumvit 11,"good-sized living room
2-bedroom
3-bathroom
2 balconies
maids' quarter
facing direction: North-West with a beautiful view
high floor
separated and equipped kitchen
fully furnished
full set of electrical appliances
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|False|False|False|False|False,marker marker-bts|marker marker-expressway|marker marker-bts|marker marker-expressway|marker marker-mrt|marker marker-expressway,Nana|Sukhumvit Toll Plaza|Phloen Chit|Phetchaburi Toll Plaza|Phetchaburi|Asok 2 Toll Plaza,920 m / 12 minutes by car|1.2 km / 8 minutes by car|1.2 km / 9 minutes by car|1.3 km / 15 minutes by car|1.9 km / 10 minutes by car|2.5 km / 12 minutes by car,"71,199",0,5.31,5.16,-6.42
LIV@49,"9 Klang Alley, Khwaeng Khlong Tan Nuea, Khet Watthana",Khlong Toei,7000000.0,,Bedrooms|Bathrooms|Internal area,1|1|38.5,Floors|Towers|Project Area|Year built,"8|2|3,092 m2|2016","This condo on Sukhumvit 49 with 1 bedroom is available at Liv@49 condominium.
This very new apartment for sale Thong Lo - this 1-bedroom flat is fully furnished in Japanese modern style.","1 bedroom
1 bathroom
38.5 sqm
low floor - the building is low-rise
fixed parking slot
balcony
facing East
fully furnished
open kitchen
full set of electrical appliances",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|True|False,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Thong Lo|Phrom Phong|Ekkamai|At Narong Toll Plaza|Tha Ruea 2 Toll Plaza|Tha Ruea 1 Toll Plaza,700 m / 9 minutes by foot|990 m / 9 minutes by car|1.6 km / 8 minutes by car|3.3 km / 11 minutes by car|3.4 km / 13 minutes by car|3.5 km / 13 minutes by car,"180,473",0,-0.17,4.91,5.87
The Line Asoke - Ratchada,"QH47+78R, Din Daeng, Bangkok 10400",Huai Khwang,8900000.0,,Bedrooms|Bathrooms|Internal area,2|1|47.5,Floors|Towers|Year built,38|1|2019,This new 2-bedroom condo is available now in The Line ------Ratchada condominium,"2 bedroom
1 bathroom
47.5 sqm
balcony facing East
parking slot
Fully furnished
Fully equipped kitchen with electrical appliances
low floor - 10-",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|True|True|True,marker marker-mrt|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-mrt,Phraram Kao 9|Phra Ram 9|Asok 2 Toll Plaza|Asok 3 Toll Plaza|Asok 4 Toll Plaza|Phetchaburi,990 m / 14 minutes by car|1 km / 14 minutes by car|1.2 km / 14 minutes by car|1.4 km / 13 minutes by car|1.4 km / 14 minutes by car|1.6 km / 15 minutes by car,"180,368",0,-6.38,4.01,3.61
The Line Asoke - Ratchada,"QH47+78R, Din Daeng, Bangkok 10400",Huai Khwang,7000000.0,,Bedrooms|Bathrooms|Internal area,1|1|35,Floors|Towers|Year built,38|1|2019,This condo near MRT Rama 9 is available now in The Line ------Ratchada condominium.,"1-bedroom
1-bathroom
balcony
area: 35 sqm
mid-floor: 10+
car parking slot
fully furnished: modern style
fully equipped kitchen
full set of electrical appliances: flat TV, refrigerator, washing machine, microwave",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|True|True|True,marker marker-mrt|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-mrt,Phraram Kao 9|Phra Ram 9|Asok 2 Toll Plaza|Asok 3 Toll Plaza|Asok 4 Toll Plaza|Phetchaburi,990 m / 14 minutes by car|1 km / 14 minutes by car|1.2 km / 14 minutes by car|1.4 km / 13 minutes by car|1.4 km / 14 minutes by car|1.6 km / 15 minutes by car,"180,368",0,-6.38,4.01,3.61
