dev,address,district,sale_price,rent_price,internal_feature_keys,internal_feature_values,external_feature_keys,exteranal_feature_values,description,detail,amenity_keys,amenity_values,neighbor_cats,neighbor_names,neighbor_distances,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year
Condo One Thonglor,"Soi Ban Kluai Tai, Phra Khanong, Khlong Toei, Bangkok 10110",Khlong Toei,5500000.0,,Bedrooms|Bathrooms|Internal area,1|1|53,Floors|Towers|Project Area|Year built,"8|1|2,512 m2|2009","PropertyScout ID 882540
Check all listing details on our website https://propertyscout.co.th/en/88----","Fully furnished 1 bedroom, 1 bathroom condo for sale with a floorsize of 53
squaremeters, located on the 4th floor of the Condo One Thonglor Station
building, in the popular Khlong Toei district near BTS Thong Lor. Please contact
us to schedule a viewing.",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|False|False|False|False,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Thong Lo|Ekkamai|Phra Khanong|At Narong Toll Plaza|Tha Ruea 2 Toll Plaza|Tha Ruea 1 Toll Plaza,390 m / 5 minutes by foot|670 m / 8 minutes by foot|1.5 km / 7 minutes by car|2.1 km / 7 minutes by car|3.4 km / 9 minutes by car|3.6 km / 9 minutes by car,"107,375",0,-2.61,5.87,28.05
The Waterford Diamond,"PHGF+Q99, Sukhumvit 30/1 Alley, Khwaeng Khlong Tan, Khet Khlong Toei",Khlong Toei,12500000.0,40000.0,Bedrooms|Bathrooms|Internal area,3|2|144.4,Floors|Towers|Project Area|Year built,"46|1|3,320 m2|1999","PropertyScout ID 939345
Check all listing details on our website https://propertyscout.co.th/en/93----","Modern 3-bedroom 2-bathroom Condo unit, sized 144.4 sqm on the 19th Floor with
Breathtaking Views at The Waterford Diamond SuKhumvit 30/1 Condominium by BTS
Thong Lor.",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|True|False|False,marker marker-bts|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phrom Phong|Asok|Sukhumvit|Asok 1 Toll Plaza|Asok 4 Toll Plaza|Asok 3 Toll Plaza,1 km / 3 minutes by car|1.3 km / 7 minutes by car|1.3 km / 7 minutes by car|2.4 km / 8 minutes by car|2.5 km / 17 minutes by car|2.8 km / 15 minutes by car,"107,767",0,3.2,5.37,21.72
Eight Thonglor Residence,"162 Soi Thong Lo, Khwaeng Khlong Tan Nuea, Khet Watthana",Watthana,24000000.0,,Bedrooms|Bathrooms|Internal area,2|2|105.41,Floors|Towers|Project Area|Year built,"34|1|5,068 m2|2009","PropertyScout ID 949269
Check all listing details on our website https://propertyscout.co.th/en/94----","Fully furnished 2 bedrooms, 2 bathrooms condo for sale with a floor size of
105.41 sq.m. in the Watthana. Please contact us to schedule a viewing.",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|False|False|False,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Thong Lo|Ekkamai|Phrom Phong|Phatthanakan 1 Toll Plaza|At Narong Toll Plaza|Phra Khanong Toll Plaza,980 m / 4 minutes by car|1.7 km / 9 minutes by car|2 km / 8 minutes by car|3.1 km / 15 minutes by car|3.3 km / 11 minutes by car|4 km / 12 minutes by car,"205,344",0,-1.73,4.06,-1
WYNE Sukhumvit,"1681 Thanon Sukhum Vit, Khwaeng Phra Khanong Nuea, Khet Watthana",Khlong Toei,3600000.0,,Bedrooms|Bathrooms|Internal area,1|1|30,Floors|Towers|Project Area|Year built,"31|1|4,300 m2|2013","PropertyScout ID 592469
Check all listing details on our website https://propertyscout.co.th/en/59----","Luxury  1-bedroom 1-bathroom Condo unit, sized 30 sqm on the 17th Floor  with
Breathtaking Views at Wyne Sukhumvit by Sansiri by BTS Phra Khanong",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|False|False|True,marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-bts|marker marker-expressway|marker marker-expressway,Phra Khanong|On Nut|Phra Khanong Toll Plaza|Ekkamai|At Narong 2 Toll Plaza|At Narong 1 Toll Plaza,420 m / 6 minutes by foot|1.1 km / 11 minutes by car|1.3 km / 6 minutes by car|1.3 km / 6 minutes by car|2 km / 13 minutes by car|2.2 km / 14 minutes by car,"105,000",-17.87,-17.23,4.57,-18.86
,,Watthana,7900000.0,30000.0,Bedrooms|Bathrooms|Internal area,1|1|49,,,"PropertyScout ID 636808
Check all listing details on our website https://propertyscout.co.th/en/63----","Modern 1-bedroom 1-bathroom Condo unit, sized 49 sqm on the 8th Floor with
Breathtaking Views at Downtown 49  by BTS Thong Lor",,,,,,,,,,
,,Khlong San,3990000.0,,Bedrooms|Bathrooms|Internal area,1|1|32.1,,,"PropertyScout ID 941392
Check all listing details on our website https://propertyscout.co.th/en/94----","Modern 1-bedroom 1-bathroom Condo unit, sized 32.1 sqm on the 11th Floor with
Breathtaking Views at Chapter Charoennakhorn-Riverside by BTS Krung Thon Buri",,,,,,,,,,
Supalai River Place,"Soi Charoen Nakhon 39, Khwaeng Bang Lamphu Lang, Khet Khlong San",Bang Kho Laem,4600000.0,,Bedrooms|Bathrooms|Internal area,1|1|56,Floors|Towers|Project Area|Year built,"34|1|11,200 m2|2009","PropertyScout ID 683161
Check all listing details on our website https://propertyscout.co.th/en/68----","Luxury 1-bedroom 1-bathroom, sized 52.75 sqm on the 32th Floor with Breathtaking
Views at Supalai River Place by Khlong San District.",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|True|True|False,marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-bts|marker marker-bts,Wong Wian Yai|Sathon Toll Plaza|Chan Toll Plaza|Surawong Toll Plaza|Krung Thon Buri|Saphan Taksin,2.3 km / 6 minutes by car|3.1 km / 13 minutes by car|3.1 km / 14 minutes by car|3.2 km / 10 minutes by car|3.3 km / 7 minutes by car|3.5 km / 14 minutes by car,"84,510",0,-6.77,4.49,1.28
Diamond Tower,"Thanon Naradhiwas Rajanagarindra, Silom, Bang Rak, Bangkok 10500",Sathon,9700000.0,27000.0,Bedrooms|Bathrooms|Internal area,1|1|77,Floors|Towers|Project Area|Year built,"23|1|3,516 m2|1985","PropertyScout ID 515608
Check all listing details on our website https://propertyscout.co.th/en/51----","Fully furnished 1 bedroom, 1 bathroom condo for rent / sale with a floorsize of
77 squaremeters, located on the 12nd floor of the DIAMOND TOWER building, in the
popular Bang Rak district near BTS Chong Nonsi. Please contact us to schedule a
viewing.",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|True|False|True,marker marker-bts|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Chong Nonsi|Sala Daeng|Sam Yan|Sathon Toll Plaza|Surawong Toll Plaza|Saphan Sawang Toll Plaza,240 m / 3 minutes by foot|870 m / 6 minutes by car|1.4 km / 10 minutes by car|1.9 km / 7 minutes by car|2.1 km / 10 minutes by car|2.1 km / 10 minutes by car,"113,637",0,1.25,5.5,28.33
Supalai Premier @ Asoke,"Thanon Phetchaburi, Bang Kapi, Huai Khwang, Bangkok 10310",Watthana,7000000.0,,Bedrooms|Bathrooms|Internal area,1|1|50,Floors|Towers|Project Area|Year built,"38|1|7,394 m2|2014","PropertyScout ID 886929
Check all listing details on our website https://propertyscout.co.th/en/88----","Fully furnished 1 bedroom, 1 bathroom condo for sale with a floorsize of 50
squaremeters, located on the 19th floor of the Supalai Premier Asoke building,
in the popular Huai Khwang district near MRT Phetchaburi. Please contact us to
schedule a viewing.",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|True|False|True,marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-mrt|marker marker-mrt,Phetchaburi|Asok 3 Toll Plaza|Asok 4 Toll Plaza|Asok 1 Toll Plaza|Phraram Kao 9|Phra Ram 9,280 m / 4 minutes by foot|870 m / 10 minutes by car|870 m / 14 minutes by car|940 m / 3 minutes by car|1.2 km / 8 minutes by car|1.2 km / 8 minutes by car,"141,051",-4.25,-4.96,3.75,2.08
Noble Reveal,"เลขที่ 36 ซอย สุขุมวิท 63 (เอกมัย) Khwaeng Phra Khanong Nuea, Khet Watthana",Khlong Toei,12900000.0,30000.0,Bedrooms|Bathrooms|Internal area,2|2|74.86,Floors|Towers|Project Area|Year built,"27|1|3,324 m2|2011","PropertyScout ID 674440
Check all listing details on our website https://propertyscout.co.th/en/67----","Luxury 4-bedroom 4-bathroom Penthouse unit, sized 323 sqm on the 49th Floor with
Breathtaking Views at Millennium Residences by BTS Asok",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|True|False|False|False,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Ekkamai|Thong Lo|Phra Khanong|At Narong Toll Plaza|Phra Khanong Toll Plaza|At Narong 2 Toll Plaza,310 m / 4 minutes by foot|1.1 km / 3 minutes by car|1.1 km / 3 minutes by car|2.2 km / 8 minutes by car|2.6 km / 6 minutes by car|2.8 km / 12 minutes by car,"172,406",0,-0.26,4.38,-4.26
