dev,address,district,sale_price,rent_price,internal_feature_keys,internal_feature_values,external_feature_keys,exteranal_feature_values,description,detail,amenity_keys,amenity_values,neighbor_cats,neighbor_names,neighbor_distances,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year
The Waterford Diamond,"PHGF+Q99, Sukhumvit 30/1 Alley, Khwaeng Khlong Tan, Khet Khlong Toei",Khlong Toei,7000000.0,,Bedrooms|Bathrooms|Internal area,2|1|69,Floors|Towers|Project Area|Year built,"46|1|3,320 m2|1999",This sunset condo on a high floor is available now at The Waterford Diamond Sukhumvit condominium between BTS Phrom Phong and BTS Thong Lo.,"this Bangkok condo features a nice sunset view from a high floor
2-bedroom
1-bathroom
balcony
high floor: 15+
area: 69 sqm
facing direction: North-West
fully furnished
open and equipped kitchen
full set of electrical appliances
wall aircon
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|True|False|False,marker marker-bts|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phrom Phong|Asok|Sukhumvit|Asok 1 Toll Plaza|Asok 4 Toll Plaza|Asok 3 Toll Plaza,1 km / 3 minutes by car|1.3 km / 7 minutes by car|1.3 km / 7 minutes by car|2.4 km / 8 minutes by car|2.5 km / 17 minutes by car|2.8 km / 15 minutes by car,"107,767",0,3.2,5.37,21.72
Noble Form Thonglor,"816 สุขุมวิท Khwaeng Khlong Tan Nuea, Khet Watthana",Watthana,21556000.0,,Bedrooms|Bathrooms|Internal area,2|2|76.17,Floors|Towers|Year built,46|1|2024,This duplex condo in Thonglor is available in Noble Form Thonglor luxury condominium (under construction) in Bangkok CBD,"2 bedroom
2 bathroom
level 1: living room, kitchen, bedroom, and bathroom
level 2: bedroom with bathroom
3 balconies
2 levels:",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Gym,True|True|True|True|True|True,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-expressway,Thong Lo|Thong Lo|Ekkamai|Ekkamai|Phrom Phong|Phrom Phong|Phatthanakan 1 Toll Plaza|||||,1.6 km / 4 minutes by car|1.6 km / 4 minutes by car|2.2 km / 8 minutes by car|2.2 km / 8 minutes by car|2.4 km / 11 minutes by car|2.4 km / 11 minutes by car||||||,"227,139",0,-3.44,0,–
Baan Siri 31,"Soi Sawatdi, Khlong Tan Nuea, Vadhana, Bangkok 10110",Watthana,10500000.0,,Bedrooms|Bathrooms|Internal area,2|2|90.97,Floors|Towers|Project Area|Year built,"24|1|2,096 m2|2007",This Bangkok condo for sale on Sukhumvit 31 is available now at a good price in Baan Siri Sukhumvit 31 luxury condominium,"this Bangkok condo is well maintained by the owner
this condo is for sale with a rental tenant paying 33,000 Baht per month
2-bedroom
2-bathroom
maids' quarter
balcony
low floor: 10-
facing direction: North with a partially blocked view
fully furnished
fully equipped kitchen
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|False|False|True,marker marker-bts|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phrom Phong|Asok|Sukhumvit|Asok 3 Toll Plaza|Asok 4 Toll Plaza|Asok 1 Toll Plaza,1.1 km / 8 minutes by car|1.3 km / 8 minutes by car|1.4 km / 10 minutes by car|2.3 km / 17 minutes by car|2.3 km / 17 minutes by car|2.4 km / 11 minutes by car,"138,963",0,7.25,4.62,-4.12
Monterey Place,"464 Soi, Khwaeng Khlong Toei, Khet Khlong Toei",Khlong Toei,4300000.0,,Bedrooms|Bathrooms|Internal area,1|1|58,Floors|Towers|Year built,25|1|1995,This condo with a large balcony and a nice view is available now in the Monterey Place condominium on Sukhumvit 16 near MRT Queen Sirikit,"this Bangkok condo for sale features a large balcony with a quiet and nice view of Phrom Phong
1-bedroom
1-bathroom
large balcony
large kitchen
low floor: 10-
facing direction: North is the quiet side of the building and a nice view of Phrom Phong
fully furnished
fully equipped kitchen
full set of electrical appliances
foreign freehold ownership quota",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|False|False|False|True,marker marker-mrt|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-bts|marker marker-expressway,Queen Sirikit National Convention Centre|Khlong Toei|Rama 4-2 Toll Plaza|Rama 4-1 Toll Plaza|Phrom Phong|Tha Ruea 1 Toll Plaza,1.1 km / 8 minutes by car|1.3 km / 17 minutes by car|1.5 km / 17 minutes by car|1.5 km / 12 minutes by car|1.8 km / 10 minutes by car|2.1 km / 9 minutes by car,"90,260",0,-11.44,4.96,-12.85
Kallista Mansion,"64 Soi Chai Yot, Khwaeng Khlong Toei Nuea, Khet Watthana",Watthana,36000000.0,,Bedrooms|Bathrooms|Internal area,3|4|314.67,Floors|Towers|Year built,34|1|1997,This large condo on Sukhumvit 11 in Nana District is available now in the popular Kallista Mansion condominium,"large living area
3-bedroom
4-bathroom
maids' quarter
2 large balconies
stock room
2 fixed car parking lots
high floor: 25+
facing detection: North-East with a nice peaceful view of the canal and Bangkok
the separated kitchen is partly equipped
this condo is partly furnished
washing machine and microwave are included
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|False|False|False|False|True,marker marker-mrt|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway,Phetchaburi|Phetchaburi|Phetchaburi Toll Plaza|Phetchaburi Toll Plaza|Nana|Nana|Sukhumvit Toll Plaza|||||,910 m / 8 minutes by car|910 m / 8 minutes by car|940 m / 12 minutes by car|940 m / 12 minutes by car|1.2 km / 8 minutes by car|1.2 km / 8 minutes by car||||||,"130,159",15.85,18.84,1.91,-31.23
Downtown Forty Nine,"Soi Raruen Chit, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,8000000.0,,Bedrooms|Bathrooms|Internal area,2|2|55.16,Floors|Towers|Project Area|Year built,"8|2|2,888 m2|2013",This pet-friendly 2-bedroom condo with a greenery view is available now in Downtown 49 Sukhumvit 49 condominium in Bangkok CBD.,"this pet-friendly Bangkok condo features an unblocked sunset greenery view
this Bangkok apartment is beautifully decorated, no renovations are required
 2-bedroom
2-bathroom
balcony
area: 55.16 sqm
facing direction: West
low floor: low-rise Bangkok condominium
fully furnished: nicely decorated
fully equipped kitchen
full set of electrical appliances
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|False|False|False|False,marker marker-bts|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phrom Phong|Thong Lo|Sukhumvit|Asok 4 Toll Plaza|Asok 1 Toll Plaza|Rama 9 Toll Plaza,1.9 km / 9 minutes by car|2.2 km / 10 minutes by car|3 km / 17 minutes by car|4.1 km / 17 minutes by car|4.1 km / 17 minutes by car|4.6 km / 18 minutes by car,"167,071",0,9.83,4.7,10.29
All Season Mansion,"924 Soi Ruam Ruedi, Khwaeng Lumphini, Khet Pathum Wan",Pathum Wan,35000000.0,,Bedrooms|Bathrooms|Internal area,3|3|178,Floors|Towers|Project Area|Year built,"33|1|2,886 m2|1998",This large apartment on Wireless Road in Bangkok is available now in All Season Mansion near BTS Ploenchit,"this large condo is well maintained
3-bedroom
3-bathroom
maids' quarter with separate entrance
the balcony of a good size
high floor: 15+
facing direction: North-West with an unblocked view
fixed car parking slot
fully furnished
fully equipped kitchen
full set of electrical appliances
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|False|False|True,marker marker-bts|marker marker-expressway|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway,Phloen Chit|Sukhumvit Toll Plaza|Nana|Chit Lom|Phetchaburi Toll Plaza|Rama 4-2 Toll Plaza,590 m / 8 minutes by foot|660 m / 9 minutes by foot|1.2 km / 17 minutes by car|1.2 km / 10 minutes by car|1.5 km / 18 minutes by car|2.5 km / 8 minutes by car,"188,146",0,6.43,2.86,1.35
FYNN Sukhumvit 31,"71/7 ถนน สุขุมวิท Khwaeng Khlong Toei Nuea, Khet Watthana",Watthana,27900000.0,,Bedrooms|Bathrooms|Internal area,3|3|112.77,Floors|Towers|Year built,8|1|2019,This new luxury condo in Bangkok is available now in FYNN Sukhumvit 31 condominium near University in Asoke,"this very new condo features a modern luxury style
 large living room
high ceiling 2.65 m.
3-bedroom
3-bathroom
the balcony of a good size
area: 112.77 sqm
one of the top floors in a low-rise condominium (8 floors)
2 fixed car parking slots
open large kitchen with island - partly equipped
fully furnished - luxury modern style
foreign freehold quota available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Gym|Garden / BBQ,True|True|True|True|True|True|True,marker marker-mrt|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phetchaburi|Asok|Sukhumvit|Asok 1 Toll Plaza|Asok 4 Toll Plaza|Asok 3 Toll Plaza,1.2 km / 9 minutes by car|1.3 km / 7 minutes by car|1.4 km / 7 minutes by car|2 km / 11 minutes by car|2.1 km / 15 minutes by car|2.3 km / 18 minutes by car,"183,683",0,-0.2,4.77,11.62
The Waterford Diamond,"PHGF+Q99, Sukhumvit 30/1 Alley, Khwaeng Khlong Tan, Khet Khlong Toei",Khlong Toei,7700000.0,,Bedrooms|Bathrooms|Internal area,2|1|70,Floors|Towers|Project Area|Year built,"46|1|3,320 m2|1999",This renovated apartment in Sukhumvit Road on a high floor at The Waterford Diamond Tower is available now for sale,"this Bangkok condo features an amazing city and river view from a very high floor
this Sukhumvit condo was renovated and ceilings have been done higher
2-bedroom
1-bathroom
good-sized balcony
area: 70 sqm
very high floor: 35+
facing direction: South with an amazing view of Charpaya River
2 car parking slots
unfurnished: owner will take furniture out
this Bangkok condo was renovated, including a pipe system and air conditioning
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|True|False|False,marker marker-bts|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phrom Phong|Asok|Sukhumvit|Asok 1 Toll Plaza|Asok 4 Toll Plaza|Asok 3 Toll Plaza,1 km / 3 minutes by car|1.3 km / 7 minutes by car|1.3 km / 7 minutes by car|2.4 km / 8 minutes by car|2.5 km / 17 minutes by car|2.8 km / 15 minutes by car,"107,767",0,3.2,5.37,21.72
Kallista Mansion,"64 Soi Chai Yot, Khwaeng Khlong Toei Nuea, Khet Watthana",Watthana,33000000.0,,Bedrooms|Bathrooms|Internal area,3|3|314.67,Floors|Towers|Year built,34|1|1997,This large condo in Nana on Sukhumvit 11 is available now in the popular Kallista Mansion condominium,"large living area
3-bedroom
3-bathroom
maids' quarter
2 large balconies
stock room
2 car parking lots
high floor: 15+
facing detection: North-East with a nice peaceful view of the canal and Bangkok
the separated kitchen is fully fitted
this condo is partly furnished
refrigerator included
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|False|False|False|False|True,marker marker-mrt|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway,Phetchaburi|Phetchaburi|Phetchaburi Toll Plaza|Phetchaburi Toll Plaza|Nana|Nana|Sukhumvit Toll Plaza|||||,910 m / 8 minutes by car|910 m / 8 minutes by car|940 m / 12 minutes by car|940 m / 12 minutes by car|1.2 km / 8 minutes by car|1.2 km / 8 minutes by car||||||,"130,159",15.85,18.84,1.91,-31.23
