dev,address,district,sale_price,rent_price,internal_feature_keys,internal_feature_values,external_feature_keys,exteranal_feature_values,description,detail,amenity_keys,amenity_values,neighbor_cats,neighbor_names,neighbor_distances,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year
The Address Sukhumvit 28,"Bannasan, Khlong Tan, Khlong Toei, Bangkok 10110",Khlong Toei,15950000.0,,Bedrooms|Bathrooms|Internal area,2|2|70.22,Floors|Towers|Project Area|Year built,"31|1|3,200 m2|2011","Project : The Address Sukhumvit 28
Location area: Sukhumvit 28 , Sukhumvit , Khlong Tan , Khlong Toei , Bangkok 10110
GPS : https://goo.gl/maps/z1viwuNK5Ej1D----
Station : BTS-Phrom Phong
Listing ID : CX-20390
FOR SELL : 15,950,000 ฿","Property type : condo
No of floors : 31
Floor : 22
Usable area : 70.22 sqm
No. of Bedroom 2 Room
No. of Bathroom : 2 Room
Other :",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|False|True,marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-mrt|marker marker-expressway,Phrom Phong|Thong Lo|Tha Ruea 2 Toll Plaza|Tha Ruea 1 Toll Plaza|Queen Sirikit National Convention Centre|At Narong Toll Plaza,410 m / 5 minutes by foot|910 m / 7 minutes by car|2.7 km / 13 minutes by car|2.8 km / 13 minutes by car|2.9 km / 11 minutes by car|3.4 km / 14 minutes by car,"224,453",0,2.18,4.46,7.05
Magnolias Waterfront Residences,"215 Charoen Nakhon Rd, Khwaeng Khlong Ton Sai, Khet Khlong San",Khlong San,70000000.0,,Bedrooms|Bathrooms|Internal area,3|3|174,Floors|Towers|Project Area|Year built,"70|2|12,252 m2|2017",Looking to buy or rent a condo?,"Contact us now if you are looking for a real estate company that is:
• Honest and trustworthy
• Knowledgeable about the real estate market
• Responsive
• Confident with excellent communication skills
• An expert in purchasing and selling process
• A natural negotiator",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|False|False,marker marker-expressway|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-bts|marker marker-bts,Surawong Toll Plaza|Hua Lamphong|Saphan Sawang Toll Plaza|Hua Lamphong Toll Plaza|Krung Thon Buri|Saphan Taksin,1.4 km / 8 minutes by car|2 km / 12 minutes by car|2.1 km / 13 minutes by car|2.2 km / 13 minutes by car|2.6 km / 8 minutes by car|2.8 km / 12 minutes by car,"393,369",0,26.85,3.06,-4.02
Magnolias Waterfront Residences,"215 Charoen Nakhon Rd, Khwaeng Khlong Ton Sai, Khet Khlong San",Khlong San,58000000.0,,Bedrooms|Bathrooms|Internal area,3|3|144,Floors|Towers|Project Area|Year built,"70|2|12,252 m2|2017",Looking to buy or rent a condo?,"Contact us now if you are looking for a real estate company that is:
• Honest and trustworthy
• Knowledgeable about the real estate market
• Responsive
• Confident with excellent communication skills
• An expert in purchasing and selling process
• A natural negotiator",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|False|False,marker marker-expressway|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-bts|marker marker-bts,Surawong Toll Plaza|Hua Lamphong|Saphan Sawang Toll Plaza|Hua Lamphong Toll Plaza|Krung Thon Buri|Saphan Taksin,1.4 km / 8 minutes by car|2 km / 12 minutes by car|2.1 km / 13 minutes by car|2.2 km / 13 minutes by car|2.6 km / 8 minutes by car|2.8 km / 12 minutes by car,"393,369",0,26.85,3.06,-4.02
Nara 9 by Eastern Star,"651 Naradhiwas Rajanagarindra Rd, Khwaeng Thung Maha Mek, Khet Sathon",Sathon,9950000.0,,Bedrooms|Bathrooms|Internal area,2|2|66,Floors|Towers|Project Area|Year built,"40|1|4,804 m2|2016","Project : Nara 9
Location area: , Narathiwat , Thungmahamek , Sa Thon , Bangkok 10120
GPS : https://goo.gl/maps/PYXbLFdvkjtBo----
Station : BTS-Chong Nonsi
Listing ID : CX-05993
FOR SELL : 9,950,000 ฿","Property type : condo
No of floors : 40
Floor : 14
Usable area : 66 sqm
No. of Bedroom 2 Room
No. of Bathroom : 2 Room
Other :",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|False|False,marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-bts|marker marker-expressway|marker marker-expressway,Chong Nonsi|Surasak|Sathon Toll Plaza|Sala Daeng|Chan Toll Plaza|Surawong Toll Plaza,750 m / 9 minutes by foot|1.5 km / 8 minutes by car|1.7 km / 10 minutes by car|1.8 km / 13 minutes by car|2.4 km / 13 minutes by car|2.8 km / 16 minutes by car,"164,558",-2.68,-2.51,4.55,5.94
The Reserve Phahol - Pradipat,"243 Thanon Pradiphat, Khwaeng Samsen Nai, Khet Phaya Thai",Phaya Thai,7200000.0,,Bedrooms|Bathrooms|Internal area,2|1|45,Floors|Towers|Year built,29|1|2019,"Project : The Reserve Phahol - Pradipat
Location area: , Pradipat , Sam Sen Nai , Phaya Thai , Bangkok 10400
GPS : https://goo.gl/maps/CGQDnKxrd93n4----
Station : BTS-Saphan Khwai
Listing ID : CX-52840
FOR SELL : 7,200,000 ฿","Property type : condo
No of floors : 25
Floor : 12A
Usable area : 45 sqm
No. of Bedroom 2 Room
No. of Bathroom : 1 Room
Other :",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|False|False|False,marker marker-bts|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Saphan Khwai|Ari|Kamphaeng Phet|Yan Phahon Yothin Toll Plaza|Khlong Prapa 1 Toll Plaza|Din Daeng 1 Toll Plaza Don Mueang Toll Way,520 m / 7 minutes by foot|1.3 km / 5 minutes by car|1.3 km / 4 minutes by car|1.6 km / 6 minutes by car|1.8 km / 6 minutes by car|2.7 km / 12 minutes by car,"159,644",0,-15.81,4.03,2.49
Rhythm Asoke,"299 Rhythm Asoke1 Dindaeng Rd, Khwaeng Makkasan, Khet Ratchathewi",Huai Khwang,5700000.0,,Bedrooms|Bathrooms|Internal area,2|1|41.5,Floors|Towers|Project Area|Year built,"37|1|2,744 m2|2016","Project : RHYTHM Asoke
Location area: , Din Daeng , Makkasan , Rat Thewi , Bangkok 10400
GPS : https://goo.gl/maps/1QM4oNMo1JTT6----
Station : MRT-Phra Ram 9
Listing ID : CX-05779
FOR SELL : 5,700,000 ฿","Property type : condo
No of floors : 37
Floor : 10
Usable area : 41.5 sqm
No. of Bedroom 2 Room
No. of Bathroom : 1 Room
Other :",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|False|False|False,marker marker-expressway|marker marker-mrt|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-mrt,Asok 2 Toll Plaza|Phra Ram 9|Phetchaburi|Asok 4 Toll Plaza|Asok 3 Toll Plaza|Thailand Cultural Centre,150 m / 2 minutes by foot|830 m / 4 minutes by car|910 m / 6 minutes by car|990 m / 12 minutes by car|1.2 km / 12 minutes by car|1.8 km / 4 minutes by car,"149,723",0,-11,4.78,-1.32
Ideo Mobi Asoke,"19 Phetchaburi Rd, Khwaeng Bang Kapi, Khet Huai Khwang",Watthana,6816000.0,,Bedrooms|Bathrooms|Internal area,1|1|34.5,Floors|Towers|Year built,37|1|2018,"PropertyScout ID 786096
Check all listing details on our website https://propertyscout.co.th/en/78----","Modern 1-bedroom 1-bathroom Condo unit, sized 34.5 sqm on the 20th Floor with
Breathtaking Views at Ideo Mobi Asok by MRT Phetchaburi",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|True|True|True,marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-mrt|marker marker-mrt,Phetchaburi|Asok 1 Toll Plaza|Asok 4 Toll Plaza|Asok 3 Toll Plaza|Phraram Kao 9|Phra Ram 9,480 m / 7 minutes by foot|1.1 km / 4 minutes by car|1.1 km / 15 minutes by car|1.3 km / 11 minutes by car|1.4 km / 9 minutes by car|2.2 km / 9 minutes by car,"195,377",0,0.53,3.61,2.26
Park Origin Phromphong,"70 อาคาร 4 Sukhumvit 24 Alley, Khwaeng Khlong Tan, Khet Khlong Toei",Khlong Toei,10829700.0,,Bedrooms|Bathrooms|Internal area,2|1|52,Floors|Towers|Project Area,"51|2|8,328 m2","PropertyScout ID 882720
Check all listing details on our website https://propertyscout.co.th/en/88----","Fully furnished 2 bedrooms, 1 bathroom condo for sale with a floorsize of 52
squaremeters, located on the 20th floor of the Park 24 building, in the popular
Khlong Toei district near BTS Phrom Phong. Please contact us to schedule a
viewing.",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|True|True|True,marker marker-bts|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phrom Phong|Asok|Queen Sirikit National Convention Centre|Rama 4-1 Toll Plaza|Tha Ruea 2 Toll Plaza|Rama 4-2 Toll Plaza,1.4 km / 5 minutes by car|1.6 km / 5 minutes by car|1.6 km / 8 minutes by car|2.2 km / 10 minutes by car|2.2 km / 7 minutes by car|2.7 km / 14 minutes by car,"241,210",9.25,4.46,4.55,20.11
185 Rajadamri,"185/4-36 Ratchadamri Rd, Khwaeng Lumphini, Khet Pathum Wan",Pathum Wan,59000000.0,130000.0,Bedrooms|Bathrooms|Internal area,2|2|163,Floors|Towers|Project Area|Year built,"35|2|7,052 m2|2013",Looking to buy or rent a condo?,"Contact us now if you are looking for a real estate company that is:
• Honest and trustworthy
• Knowledgeable about the real estate market
• Responsive
• Confident with excellent communication skills
• An expert in purchasing and selling process
• A natural negotiator",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|False|False,marker marker-bts|marker marker-mrt|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Ratchadamri|Si Lom|Sala Daeng|Sukhumvit Toll Plaza|Rama 4-2 Toll Plaza|Phetchaburi Toll Plaza,470 m / 6 minutes by foot|650 m / 8 minutes by foot|1 km / 6 minutes by car|2.2 km / 7 minutes by car|2.4 km / 5 minutes by car|2.6 km / 15 minutes by car,"405,031",0,5.51,2.87,-0.21
Supalai Premier Place Asoke,"177/7 สุขุมวิท Khwaeng Khlong Tan Nuea, Khet Watthana",Watthana,8240000.0,,Bedrooms|Bathrooms|Internal area,2|2|79.45,Floors|Towers|Project Area|Year built,"30|1|4,092 m2|2006","PropertyScout ID 924801
Check all listing details on our website https://propertyscout.co.th/en/92----","Modern 2-bedroom 2-bathroom Penthouse unit, sized 79.45 sqm on the 30th Floor
with Breathtaking Views at Supalai Premier Place Asok by MRT Phetchaburi",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|False|False|False,marker marker-bts|marker marker-mrt|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phrom Phong|Phetchaburi|Sukhumvit|Asok 3 Toll Plaza|Asok 4 Toll Plaza|Asok 1 Toll Plaza,1.6 km / 7 minutes by car|1.8 km / 12 minutes by car|2.1 km / 15 minutes by car|2.3 km / 21 minutes by car|2.3 km / 20 minutes by car|2.4 km / 15 minutes by car,"99,812",0,-12.56,4.45,1.09
