dev,address,district,sale_price,rent_price,internal_feature_keys,internal_feature_values,external_feature_keys,exteranal_feature_values,description,detail,amenity_keys,amenity_values,neighbor_cats,neighbor_names,neighbor_distances,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year
Walden Asoke,"122-124 Soi Sukhumvit 23, Khwaeng Khlong Toei Nuea, Khet Watthana",Watthana,7655000.0,,Bedrooms|Bathrooms|Internal area,1|1|40.52,Floors|Towers|Year built,8|1|2020,This 1.5-bedroom new condo in Asoke is available now at a discounted price in Walden Asoke condominium located on Sukhumvit 23 near Srinakharinwirot University.,"this condo has an extra small that can be used as a study room if separated by a sliding glass wall
1  bedroom
1 bathroom
balcony
open kitchen
the condo comes fully fitted and has no furniture
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|True|False|False|True,marker marker-bts|marker marker-mrt|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Asok|Sukhumvit|Phrom Phong|Asok 3 Toll Plaza|Asok 4 Toll Plaza|Asok 1 Toll Plaza,840 m / 6 minutes by car|860 m / 9 minutes by car|1.6 km / 6 minutes by car|2.3 km / 16 minutes by car|2.3 km / 17 minutes by car|2.3 km / 12 minutes by car,"190,747",0,0,0,–
Siri Residence,"24 Soi Sukhumvit 24, Khwaeng Khlong Tan, Khet Khlong Toei",Khlong Toei,13500000.0,,Bedrooms|Bathrooms|Internal area,1|1|59.06,Floors|Towers|Project Area|Year built,"32|1|3,000 m2|2007",This 1-bedroom condoon Sukhumvit 24 is available in Siri Residence condominium near BTS Phrom Phong in Bangkok CBD,"1-bedroom
1-bathroom
good condition
high floor: 20+
facing direction: South
fully furnished
fully equipped kitchen
full set of electrical appliances
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|False|False|False,marker marker-bts|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phrom Phong|Thong Lo|Queen Sirikit National Convention Centre|Tha Ruea 2 Toll Plaza|Rama 4-2 Toll Plaza|Rama 4-1 Toll Plaza,370 m / 5 minutes by foot|1.6 km / 9 minutes by car|2.2 km / 11 minutes by car|2.3 km / 10 minutes by car|2.6 km / 18 minutes by car|2.6 km / 13 minutes by car,"202,083",0,11.21,3.53,0.68
La Vie En Rose Place,"20 Soi Sukhumvit 36, Khwaeng Khlong Tan, Khet Khlong Toei",Khlong Toei,14900000.0,,Bedrooms|Bathrooms|Internal area,2|2|95,Floors|Towers|Project Area|Year built,"7|2|4,804 m2|2007",This condo on Sukhumvit 36 near BTS Thonglor is available in La Vie en Rose Place popular condominium,"good-sized living room
2-bedroom
2-bathroom
balcony
low floor in low-rise building
pet-friendly condominium
facing direction: South-East
fully furnished
fully equipped kitchen
full set of electrical appliances
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|False|False|False|True,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Thong Lo|Ekkamai|Phrom Phong|At Narong Toll Plaza|Tha Ruea 2 Toll Plaza|Tha Ruea 1 Toll Plaza,490 m / 6 minutes by foot|1.4 km / 7 minutes by car|1.4 km / 5 minutes by car|2.4 km / 8 minutes by car|2.6 km / 10 minutes by car|2.8 km / 10 minutes by car,"123,529",0,1.1,4.77,3.37
Edge Sukhumvit 23,"6 Sukhumvit Road, Khlong Toei Nuea, Watthana",Khlong Toei,7500000.0,,Bedrooms|Bathrooms|Internal area,1|1|33.5,Floors|Towers|Project Area|Year built,"35|1|4,068 m2|2013",This apartment for sale near Sukhumvit MRT is available now in Edge Sukhumvit 23 luxury condominium in Asoke,"1-bedroom
1-bathroom
balcony
car parking slot
area: 33 sqm
fully furnished
mid floor: 10+
facing direction: East
the open kitchen is fully equipped
full electrical appliances: refrigerator, flat TV, washing machine, and microwave
foreign freehold quota available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|False|False|False|True,marker marker-bts|marker marker-mrt|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Asok|Sukhumvit|Nana|Sukhumvit Toll Plaza|Asok 4 Toll Plaza|Asok 1 Toll Plaza,420 m / 6 minutes by foot|430 m / 5 minutes by foot|1 km / 6 minutes by car|1.7 km / 10 minutes by car|2.2 km / 19 minutes by car|2.2 km / 12 minutes by car,"221,440",0,-2.99,4.34,1.14
Condolette Midst Rama 9,"Thanon Phra Ram 9 Frontage, Khwaeng Huai Khwang, Khet Huai Khwang",Huai Khwang,4654086.0,,Bedrooms|Bathrooms|Internal area,1|1|40.1,Floors|Towers|Year built,30|1|2015,"Condolette Midst Rama 9 condo for sale near MRT Rama 9 was completed in 2015.
It was developed by Pruksa Real Estate PCL, one of the best Thai developers. It’s located right on Rama 9 road near Asoke – Dindaeng Road and near MRT Rama 9.
This area is flourishing under the influence of MRT Rama 9 station and Makkasan Airport Link station. Rama 9 area is fast becoming a happening place that will soon be officially established as another CBD (Central Business District) of Bangkok.
Featuring a dynamic modern style, this condominium project is ideally placed between Asoke and Rama 9, just next to Central Grand Rama 9 trendy shopping mall, with convenient access to the MRT Subway and Airport Link.
Apartment types","studio, 1, 2 & 3 bedrooms",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|True|True|True,marker marker-expressway|marker marker-expressway|marker marker-mrt|marker marker-mrt|marker marker-expressway,Asok 3 Toll Plaza|Asok 4 Toll Plaza|Phetchaburi|Phra Ram 9|Asok 2 Toll Plaza,250 m / 3 minutes by foot|260 m / 3 minutes by foot|460 m / 6 minutes by foot|630 m / 9 minutes by foot|840 m / 8 minutes by car,"154,468",0,-8.7,4.22,-8.12
Rhythm Asoke,"299 Rhythm Asoke1 Dindaeng Rd, Khwaeng Makkasan, Khet Ratchathewi",Huai Khwang,5200000.0,,Bedrooms|Bathrooms|Internal area,1|1|28.11,Floors|Towers|Project Area|Year built,"37|1|2,744 m2|2016",This 1-bedroom new condo is available at Rhythm Asoke 2 condominium near MRT Rama 9,"1 bedroom
1 bathroom
28.22 sqm
High floor - 20+
Parking slot
Nice city view
Facing East
Fully furnished
Kitchen - partially equipped",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|False|False|False,marker marker-expressway|marker marker-mrt|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-mrt,Asok 2 Toll Plaza|Phra Ram 9|Phetchaburi|Asok 4 Toll Plaza|Asok 3 Toll Plaza|Thailand Cultural Centre,150 m / 2 minutes by foot|830 m / 4 minutes by car|910 m / 6 minutes by car|990 m / 12 minutes by car|1.2 km / 12 minutes by car|1.8 km / 4 minutes by car,"149,723",0,-11,4.78,-1.32
Lake Green,"93 Soi Sukhumvit 8, Khwaeng Khlong Toei, Khet Khlong Toei",Khlong Toei,17500000.0,,Bedrooms|Bathrooms|Internal area,2|2|138.7,Floors|Towers|Project Area|Year built,27|1|363 m2|1997,This condo with a lake view on Sukhumvit 8 is available on a high floor at Lake Green condominium near BTS Nana,"amazing view of the lake and Benjakitti park
2-bedroom
2-bathroom
large balcony with an amazing view of the lake in Benjakitti park
high-floor: 20 or higher
fixed parking slot
large area: 138.7 sqm
facing direction: South and East
fully furnished
fully equipped kitchen
full set of electrical appliances
foreign freehold ownership quota",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|False|True,marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-mrt|marker marker-expressway|marker marker-expressway,Nana|Asok|Sukhumvit Toll Plaza|Sukhumvit|Rama 4-2 Toll Plaza|Rama 4-1 Toll Plaza,700 m / 8 minutes by foot|1.2 km / 9 minutes by car|1.4 km / 8 minutes by car|1.5 km / 8 minutes by car|3.6 km / 16 minutes by car|3.6 km / 15 minutes by car,"105,833",0,-11.89,3.89,-8.29
Baan Sathorn Chaopraya,"516 Charoen Nakhon Rd, Khwaeng Khlong Ton Sai, Khet Khlong San",Khlong San,8908664.0,,Bedrooms|Bathrooms|Internal area,1|1|135.6,Floors|Towers|Project Area|Year built,"37|1|5,324 m2|2005","Baan Sathorn Chaopraya is a river-side condo for sale in Bangkok that was built in 2005.
This Bangkok condo for sale in Sathorn comprises 1 building, having 446 apartments on 37 floors.
Apartment types","Unit types: 1-6 bedroom
Unit sizes: 44-1,800 sqm",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|True|True|True,marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-bts|marker marker-expressway,Krung Thon Buri|Surasak|Sathon Toll Plaza|Surawong Toll Plaza|Saphan Taksin|Chan Toll Plaza,1.2 km / 5 minutes by car|1.7 km / 10 minutes by car|1.8 km / 15 minutes by car|1.8 km / 12 minutes by car|1.9 km / 15 minutes by car|2.5 km / 17 minutes by car,"102,699",0,2.58,4.32,-5.13
,,Huai Khwang,3500000.0,,Bedrooms|Bathrooms|Internal area,1|1|34,,,This condo for sale with a tenant in Rama 9 is available now in Lumpini Place Rama IX - Ratchada condominium,"condo with a tenant: 16,000 / month until July 2021
1-bedroom
1-bathroom
living room with a study place
balcony
area: 34 sqm
high floor: 20+
facing direction: East with an unblocked view
fully furnished: built-in
fully equipped kitchen
full set of electrical appliances: flat TV, refrigerator, washing machine, microwave
foreign freehold ownership quota",,,,,,,,,,
,,Watthana,7900000.0,,Bedrooms|Bathrooms|Internal area,2|2|66.17,,,This well-maintained condo on Sukhumvit 59 is available in 59 Heritage condominium near BTS Thong Lo in Bangkok CBD,"this condo is in a good condition
good-sized living room
2-bedroom
2-bathroom - has bathtub
2 balconies
high floor: 20+
facing direction:",,,,,,,,,,
