dev,address,district,sale_price,rent_price,internal_feature_keys,internal_feature_values,external_feature_keys,exteranal_feature_values,description,detail,amenity_keys,amenity_values,neighbor_cats,neighbor_names,neighbor_distances,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year
Siamese Exclusive Queens,"141 Soi Phai Singto, Khwaeng Khlong Toei, Khet Khlong Toei",Khlong Toei,13401574.0,,Bedrooms|Bathrooms|Internal area,"1|1|44,814",Floors|Towers,33|1,"Siamese Exclusive Queens luxury condo for sale in Bangkok was developed by Siamese Assets in 2019.
This luxury condominium near MRT Queen Sirikit comprises one building with 332 luxury apartments on 33 floors.
Facilities at this luxury Bangkok condo for sale
Every lifestyle need is met and exceeded. Every nuance and detail is carefully considered to truly enrich the quality of life:","elevator
parking
24-hours security
CCTV
rooftop infinity swimming pool
fitness/gym
garden
shop on-site",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|False|True|False|False,marker marker-mrt|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-bts|marker marker-expressway,Queen Sirikit National Convention Centre|Khlong Toei|Rama 4-1 Toll Plaza|Rama 4-2 Toll Plaza|Phrom Phong|Tha Ruea 1 Toll Plaza,1 km / 7 minutes by car|1.3 km / 15 minutes by car|1.4 km / 11 minutes by car|1.4 km / 15 minutes by car|2 km / 9 minutes by car|2 km / 8 minutes by car,"202,205",0,-8.42,4.21,-5.21
Supalai Place,"181/1 Sukhumvit Soi 39, Khwaeng Khlong Tan Nuea, Khet Watthana",Watthana,3700000.0,,Bedrooms|Bathrooms|Internal area,1|1|50,Floors|Towers|Year built,23|2|1994,This renovated condo in Prompong is available now in Supalai Place Sukhumvit 39 condominium in Bangkok CBD,"the condo was recently renovated
1-bedroom
1-bathroom: has a bathtub
balcony
large area: 50 sqm
fixed car parking slot
low floor: 10-
fully furnished
fully equipped kitchen
full set of electrical appliances
foreign freehold ownership quota available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|True|True|True,marker marker-bts|marker marker-mrt|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phrom Phong|Phetchaburi|Sukhumvit|Asok 3 Toll Plaza|Asok 4 Toll Plaza|Asok 1 Toll Plaza,1.6 km / 7 minutes by car|1.8 km / 12 minutes by car|2.1 km / 15 minutes by car|2.3 km / 21 minutes by car|2.3 km / 20 minutes by car|2.4 km / 15 minutes by car,"74,512",0,-1.07,5.49,-2.29
Mirage Sukhumvit 27,"Soi Praphatson, Khlong Tan Nuea, Vadhana, Bangkok 10110",Khlong Toei,6718478.0,,Bedrooms|Bathrooms|Internal area,1|1|59.43,Floors|Towers|Project Area|Year built,"8|1|1,740 m2|2014","Mirage Sukhumvit 27 condo for sale in Bangkok near BTS and MRT was built in 2014.
This Sukhumvit condo for sale comprises a single building, having 8 floors, and includes 246 apartments.
This condo for sale in Bangkok CBD features a reasonable property price for the very central yet quiet location in Bangkok's CBD.
Apartment types","unit types: 1- and 2-bedroom
unit sizes: 35 to 80 sqm",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|False|False|False|False,marker marker-bts|marker marker-mrt|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Asok|Sukhumvit|Phrom Phong|Sukhumvit Toll Plaza|Asok 1 Toll Plaza|Rama 4-2 Toll Plaza,630 m / 9 minutes by foot|750 m / 10 minutes by foot|850 m / 3 minutes by car|1.9 km / 10 minutes by car|2.6 km / 13 minutes by car|3.2 km / 16 minutes by car,"142,583",0,-2.85,4.74,-3.92
Edge Sukhumvit 23,"6 Sukhumvit Road, Khlong Toei Nuea, Watthana",Khlong Toei,7800000.0,,Bedrooms|Bathrooms|Internal area,1|1|34,Floors|Towers|Project Area|Year built,"35|1|4,068 m2|2013",This Bangkok condo with an unblocked view is available in Edge Sukhumvit 23 luxury condominium near BTS Asoke,"1 bedroom
1 bathroom
1 balcony
car parking slot
mid floor: 10+
area: 34 sqm
fully furnished
equipped kitchen
full set of electrical appliances
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|False|False|False|True,marker marker-bts|marker marker-mrt|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Asok|Sukhumvit|Nana|Sukhumvit Toll Plaza|Asok 4 Toll Plaza|Asok 1 Toll Plaza,420 m / 6 minutes by foot|430 m / 5 minutes by foot|1 km / 6 minutes by car|1.7 km / 10 minutes by car|2.2 km / 19 minutes by car|2.2 km / 12 minutes by car,"221,440",0,-2.99,4.34,1.14
Aequa Sukhumvit 49,"3/8 Soi Sukhumvit 49, Khwaeng Khlong Tan Nuea, Khet Watthana",Khlong Toei,12059304.0,,Bedrooms|Bathrooms|Internal area,1|1|82.14,Floors|Towers|Project Area|Year built,"28|1|2,416 m2|2012","Aequa Sukhumvit 49 Bangkok luxury condo for sale near BTS Thong Lo was built in 2012.
This high-rise Bangkok condo comprises a single building having 153 apartments on 28 floors.
Apartment types:","unit types: 1-3 bedroom
unit sizes: 55-189 sqm",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|False|True,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Thong Lo|Phrom Phong|Ekkamai|At Narong Toll Plaza|Tha Ruea 2 Toll Plaza|Tha Ruea 1 Toll Plaza,600 m / 8 minutes by foot|890 m / 4 minutes by car|1.5 km / 8 minutes by car|3.1 km / 10 minutes by car|3.2 km / 13 minutes by car|3.3 km / 12 minutes by car,"204,620",0,-3.61,4.52,-6.44
Moon Tower,"Soi Bun Chana, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,29726987.0,,Bedrooms|Bathrooms|Internal area,1|1|435.39,Floors|Towers|Year built,28|1|1995,"Moon Tower Sukhumvit 59 condo for sale in Bangkok CBD was built in 1995.
This Bangkok apartment comprises 1 building having 70 larger apartments on 28 floors.
Facilities at Moon Tower Sukhumvit 59 condo for sale in Bangkok
Moon Tower condominium has a great variety of facilities including","swimming pool
garden
gym/fitness club
sauna
basketball/squash hall
table tennis room
security gate
CCTV
24/7 reception desk
parking area
Wi-Fi in the public area",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|False|False|False|False|False,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Thong Lo|Ekkamai|Phrom Phong|At Narong Toll Plaza|Phra Khanong Toll Plaza|Tha Ruea 2 Toll Plaza,790 m / 10 minutes by foot|990 m / 7 minutes by car|2 km / 8 minutes by car|2.7 km / 10 minutes by car|3.4 km / 9 minutes by car|3.9 km / 12 minutes by car,"101,523",0,1.47,3.44,-20.71
Prasanmit Condominium,"8-10 Soi Sukhumvit 23, Khwaeng Khlong Toei Nuea, Khet Watthana",Khlong Toei,9000000.0,,Bedrooms|Bathrooms|Internal area,1|1|81.65,Floors|Towers|Year built,8|1|1985,"Prasanmit condominium Sukhumvit 23 is an apartment for sale located in the heart of Bangkok’s happening quarter. This Asoke condo was built in 1985.
This Asoke Condominium comprises one building having 51 apartments on 8 floors. Apartments range from 1-bedroom to 3-bedroom units.
Facilities at Prasanmit Condominium Sukhumvit 23
Facilities of this Asoke condominium include:","lobby with reception desk
elevator
key-card control
parking
24-hours security
CCTV cameras
swimming pool
fitness/gym
sauna",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|False|False|False|False|False,marker marker-bts|marker marker-mrt|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Asok|Sukhumvit|Nana|Sukhumvit Toll Plaza|Asok 4 Toll Plaza|Asok 1 Toll Plaza,390 m / 5 minutes by foot|410 m / 5 minutes by foot|1 km / 7 minutes by car|1.7 km / 11 minutes by car|2.1 km / 20 minutes by car|2.2 km / 14 minutes by car,,,,,
Le Premier 2,"Soi Bun Chana, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,14380848.0,,Bedrooms|Bathrooms|Internal area,1|1|213.52,Floors|Towers|Year built,21|1|1998,"Le Premier 2 Sukhumvit 59 condo for sale in Bangkok CBD near BTS Thonglor was built in 1998.
This Bangkok apartment comprises 1 building having 83 apartments on 21 floors.
Facilities at Le Premier 2 Sukhumvit 59 condo for sale in Bangkok
Le Premier 2 condominium has a great variety of facilities including","swimming pool
garden
gym/fitness club
tennis table
security gate
CCTV
24/7 reception desk
parking area
Wi-Fi in the public area",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|False|False|False|False|False,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Thong Lo|Ekkamai|Phra Khanong|At Narong Toll Plaza|Phra Khanong Toll Plaza|Tha Ruea 2 Toll Plaza,750 m / 9 minutes by foot|950 m / 7 minutes by car|1.7 km / 6 minutes by car|2.6 km / 10 minutes by car|3.3 km / 9 minutes by car|3.9 km / 12 minutes by car,"118,672",0,27.57,3.19,47.89
H Sukhumvit 43,"Soi Phrom Mit, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,11568000.0,,Bedrooms|Bathrooms|Internal area,1|1|91.35,Floors|Towers|Project Area|Year built,"32|1|3,080 m2|2014","H Sukhumvit 43 condo for sale near BTS Phrom Phong in Bangkok was built in 2014.
This luxury Bangkok condo for sale comprises a single building, having 288 apartments on 32 floors.",Type of apartments,Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|False|False|False|False|True,marker marker-bts|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phrom Phong|Thong Lo|Sukhumvit|Asok 4 Toll Plaza|Asok 1 Toll Plaza|At Narong Toll Plaza,830 m / 10 minutes by foot|1.5 km / 8 minutes by car|2.2 km / 14 minutes by car|3.6 km / 18 minutes by car|3.7 km / 16 minutes by car|4 km / 14 minutes by car,"195,125",0,0.74,4.67,-6.06
M Thonglor 10,"14 ถนน สุขุมวิท Khwaeng Khlong Tan Nuea, Khet Watthana",Watthana,5300000.0,,Bedrooms|Bathrooms|Internal area,1|1|32,Floors|Towers|Project Area|Year built,"22|1|1,679 m2|2016",This condo for sale in Thonglor 10 is available now in M Thonglor condominium,"this condo is for sale with the tenant
1-bedroom
1-bathroom
balcony
area: 32 sqm
low floor: 10- with a nice city view
fully furnished
fully equipped kitchen
full set of electrical appliances: flat TV, refrigerator, washing machine, microwave
pets-friendly condominium",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|True|True|True,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-expressway,Ekkamai|Ekkamai|Thong Lo|Thong Lo|Phra Khanong|Phra Khanong|Phatthanakan 1 Toll Plaza|||||,1.4 km / 8 minutes by car|1.4 km / 8 minutes by car|1.8 km / 5 minutes by car|1.8 km / 5 minutes by car|2.2 km / 5 minutes by car|2.2 km / 5 minutes by car||||||,"190,964",0,3.12,4.25,-11.86
