dev,address,district,sale_price,rent_price,internal_feature_keys,internal_feature_values,external_feature_keys,exteranal_feature_values,description,detail,amenity_keys,amenity_values,neighbor_cats,neighbor_names,neighbor_distances,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year
The Waterford Diamond,"PHGF+Q99, Sukhumvit 30/1 Alley, Khwaeng Khlong Tan, Khet Khlong Toei",Khlong Toei,4950000.0,,Bedrooms|Bathrooms|Internal area,1|1|51.65,Floors|Towers|Project Area|Year built,"46|1|3,320 m2|1999",This affordable features a nice view from a high floor at The Waterford Diamond condominium located on Sukhumvit Road in Bangkok CBD,"1 bedroom with a sliding door
1 bathroom
the balcony of a good size with a wardrobe
high floor
facing direction: East with a nice view of Bangkok
fully furnished
fully equipped kitchen
TV and refrigerator
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|True|False|False,marker marker-bts|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phrom Phong|Asok|Sukhumvit|Asok 1 Toll Plaza|Asok 4 Toll Plaza|Asok 3 Toll Plaza,1 km / 3 minutes by car|1.3 km / 7 minutes by car|1.3 km / 7 minutes by car|2.4 km / 8 minutes by car|2.5 km / 17 minutes by car|2.8 km / 15 minutes by car,"107,767",0,3.2,5.37,21.72
Supalai Premier @ Asoke,"Thanon Phetchaburi, Bang Kapi, Huai Khwang, Bangkok 10310",Watthana,6800000.0,,Bedrooms|Bathrooms|Internal area,1|1|50.5,Floors|Towers|Project Area|Year built,"38|1|7,394 m2|2014",This affordable condo on a high floor is available now in Supalai Premier @ Asoke,"1 bedroom
1 bathroom
1 balcony
1 parking place
Facing South - the best option for this building
Nice city view
Fully furnished
Full set of electrical appliances
Foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|True|False|True,marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-mrt|marker marker-mrt,Phetchaburi|Asok 3 Toll Plaza|Asok 4 Toll Plaza|Asok 1 Toll Plaza|Phraram Kao 9|Phra Ram 9,280 m / 4 minutes by foot|870 m / 10 minutes by car|870 m / 14 minutes by car|940 m / 3 minutes by car|1.2 km / 8 minutes by car|1.2 km / 8 minutes by car,"141,051",-4.25,-4.96,3.75,2.08
Chewathai Residence Asoke,"Thanon Asok-Din Daeng, Khwaeng Makkasan, Khet Ratchathewi",Huai Khwang,5466098.0,,Bedrooms|Bathrooms|Internal area,1|1|42.35,Floors|Towers|Year built,29|1|2017,"Chewathai Residence Asoke condo for sale in Bangkok near MRT Rama 9, MRT Phetchaburi, and Airport Rail Link as developed by Chewathai PCL in 2017 and includes 1 building having 315 apartments on 29 floors.
Chewathai Residence Asoke Bangkok condominium - whether you need an apartment for living near Bangkok business center Asoke or an interesting investment opportunity, this condominium is the best fit for you.",This Bangkok condo for sale features high ceilings of 360 cm in all apartments.,Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|True|True|True,marker marker-expressway|marker marker-mrt|marker marker-mrt|marker marker-mrt|marker marker-expressway|marker marker-expressway,Asok 2 Toll Plaza|Phraram Kao 9|Phra Ram 9|Phetchaburi|Asok 3 Toll Plaza|Asok 4 Toll Plaza,150 m / 2 minutes by foot|470 m / 6 minutes by foot|490 m / 7 minutes by foot|610 m / 8 minutes by foot|880 m / 12 minutes by car|890 m / 13 minutes by car,"172,233",0,5.21,4.2,-0.66
Vittorio,"10/5 ถนน สุขุมวิท 39 Khwaeng Khlong Tan Nuea, Khet Watthana",Khlong Toei,48001481.0,,Bedrooms|Bathrooms|Internal area,1|1|183.17,Floors|Towers|Year built,28|1|2017,"Vittorio Sukhumvit 39 Phrom Phong is a luxury condo for sale on Sukhumvit 39 in Bangkok near BTS Phrom Phong and Emquartier that was built by AP  (Thailand) PCL in 2018
Vittorio luxury condominium comprises a single building, having 88 luxury apartments on 28 floors.
The ultra-luxury condo for sale in Bangkok was built under the concept of ""Living in the Masterpiece"", most of all in every dimension. Aesthetically integrated into life perfectly.
Luxury apartment types","Vittorio Villa (2 Bedroom): 100-140 sq.m. (80 units)
Duplex Este (2 Bedroom): 167 sq.m. (6 units)
Palazzo Vittorio (Penthouse): 270-306 sq.m. (2 units)",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|False|False|False|False,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phrom Phong|Thong Lo|Asok|Rama 4-2 Toll Plaza|Rama 4-1 Toll Plaza|At Narong Toll Plaza,190 m / 2 minutes by foot|1.2 km / 6 minutes by car|1.5 km / 13 minutes by car|3 km / 21 minutes by car|3 km / 16 minutes by car|3.4 km / 12 minutes by car,"352,817",0,-0.39,3.54,-3.16
Omni Tower Sukhumvit Nana,"71 Sukhumvit 4, Khwaeng Khlong Toei, Khet Khlong Toei",Khlong Toei,4260684.0,,Bedrooms|Bathrooms|Internal area,1|1|115.45,Floors|Towers,34|1,"Omni Tower Sukhumvit Nana is a condo for sale in Bangkok located at Sukhumvit Soi 4 (soi Nana).
This Bangkok condo for sale comprises a single building, having 90 apartments on 34 floors.
Omni is a mix-use complex built in 1999 and includes a hotel, offices, retail shops, and condominium units.
Facilities of this Bangkok condo for sale in Soi Nana
Facilities of Omni Tower Sukhumvit Nana condo for sale in Bangkok include:","spacious reception desk
elevator with key-card control
parking
24-hour security with key-card entrance and exit
CCTV cameras
swimming pool
fitness/gym
sauna
wi-fi in public areas",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|False|False|True|False|True,marker marker-bts|marker marker-expressway|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway,Nana|Sukhumvit Toll Plaza|Phloen Chit|Asok|Phetchaburi Toll Plaza|Rama 4-2 Toll Plaza,450 m / 5 minutes by foot|740 m / 10 minutes by foot|840 m / 5 minutes by car|1.1 km / 15 minutes by car|1.7 km / 13 minutes by car|3 km / 12 minutes by car,"61,005",0,9.07,5.84,3.13
Q Asoke,"1638/1 Phetchaburi Rd, Khwaeng Makkasan, Khet Ratchathewi",Watthana,10000000.0,,Bedrooms|Bathrooms|Internal area,2|1|45.79,Floors|Towers|Project Area|Year built,"41|1|5,360 m2|2015",This condo in Asoke near Airport Link is available in luxury Q Asoke condominium connected to MRT Phetchaburi,"2-bedroom
1-bathroom
1 balcony facing North
45.79 sqm
partially furnished
on high floor 25+
1 parking slot
unit is very new - nobody lived so far",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|False|True|True,marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-mrt|marker marker-mrt,Phetchaburi|Asok 4 Toll Plaza|Asok 2 Toll Plaza|Asok 1 Toll Plaza|Phraram Kao 9|Phra Ram 9,98 m / 2 minutes by foot|710 m / 10 minutes by foot|720 m / 10 minutes by foot|780 m / 6 minutes by car|1.1 km / 13 minutes by car|1.1 km / 13 minutes by car,"202,758",0,0.46,3.73,-6.38
Taka Haus Ekamai 12,"37 Soi Charoen Mit, Khwaeng Khlong Tan Nuea, Khet Watthana",Watthana,10040846.0,,Bedrooms|Bathrooms|Internal area,1|1|78.8,Floors|Towers|Year built,8|2|2019,"Taka Haus Ekamai 12 condo for sale in Bangkok is a low-rise apartment project that was developed by Sansiri PCL in 2019.
Taka Haus comprises two buildings of 8 floors each. There are 269 apartments in this low-rise Bangkok condominium project in Ekkamai 12.
Apartment types","1-bedroom: 30-60 sqm
2-bedroom: 44 - 68 sqm",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|True|False|True|True,marker marker-bts|marker marker-expressway|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway,Ekkamai|Phatthanakan 1 Toll Plaza|Phra Khanong|Thong Lo|Phatthanakan 2 Toll Plaza|Phra Khanong Toll Plaza,1.8 km / 12 minutes by car|1.9 km / 8 minutes by car|2.2 km / 8 minutes by car|2.3 km / 8 minutes by car|2.4 km / 7 minutes by car|2.8 km / 10 minutes by car,"161,290",-15.46,-16.64,3.55,-21.93
Millennium Residence,"132 สุขุมวิท Khwaeng Khlong Toei, Khet Khlong Toei",Khlong Toei,21000000.0,,Bedrooms|Bathrooms|Internal area,2|3|126.85,Floors|Towers|Project Area|Year built,"51|4|20,424 m2|2009",This large 2-bedroom Bangkok condo is available in Millennium Residence luxury condominium on Sukhumvit 20,"this Bangkok condo features a nice pool view
2 bedrooms
3 bathrooms
1 fixed parking slot
1 balcony
facing West
nice city and pool view
126.85 sqm
lower floor - 15-
fully furnished
separated kitchen
refrigerator, washing machine, and microwave",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|True|True|True,marker marker-bts|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Asok|Phrom Phong|Queen Sirikit National Convention Centre|Sukhumvit Toll Plaza|Rama 4-1 Toll Plaza|Rama 4-2 Toll Plaza,1.2 km / 7 minutes by car|1.4 km / 11 minutes by car|1.6 km / 7 minutes by car|2.5 km / 16 minutes by car|2.6 km / 10 minutes by car|3.1 km / 14 minutes by car,"177,500",0,-3.84,3.86,-0.35
Belle Grand Rama 9,"131 Soi Rama 9 Soi 3, Khwaeng Huai Khwang, Khet Huai Khwang",Huai Khwang,11700535.0,,Bedrooms|Bathrooms|Internal area,"1|1|36,049",Floors|Towers|Project Area|Year built,"43|8|13,260 m2|2015","Belle Grand Rama 9 condo for sale in new Bangkok CBD was built in 2015.
Belle Grand Rama 9 is previously known as Belle Avenue Ratchada-Rama 9.
Featuring a dynamic modern style, this condominium project is ideally placed in Rama 9, just next to Central Plaza Grand Rama 9 trendy shopping mall, with convenient access to the MRT Subway. The Grand Rama 9 office building is also located on-premises.
Room types
1, 2, 3 & 5 bedrooms
Facilities of Belle Grand Rama 9 Bangkok condo for sale
Facilities of Belle Avenue Ratchada-Rama 9 include:","elevator
parking
24-hours security
CCTV
swimming pool
gym/fitness club
garden / BBQ
playground/kid's area
on-site shopping area with convenience stores and restaurants",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|True|False|False|False,marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-mrt|marker marker-mrt,Phra Ram 9|Asok 3 Toll Plaza|Asok 1 Toll Plaza|Asok 4 Toll Plaza|Thailand Cultural Centre|Phetchaburi,580 m / 7 minutes by foot|1.1 km / 11 minutes by car|1.5 km / 5 minutes by car|1.5 km / 12 minutes by car|1.5 km / 5 minutes by car|1.7 km / 6 minutes by car,"201,531",35.16,48.6,2.98,9.41
The Lakes,"Opposite Sukhumvit 16, Baimai Raroeng Asok, Khwaeng Khlong Toei, Khet Khlong Toei",Khlong Toei,16913728.0,,Bedrooms|Bathrooms|Internal area,1|1|126.87,Floors|Towers|Project Area,"36|1|2,760 m2","The Lakes Pet-friendly Bangkok Condo For Sale Near BTS Asoke and Terminal 21 was developed by Raimon Land PCL. Construction of The Lakes was completed in 2004.
Raimon Land is also the developer behind The Lofts Asoke, The Lofts Ekkamai, The Diplomat 39, and many other luxury condominiums in Bangkok
This Bangkok condominium comprises one building having 165 units on 36 floors.
This Bangkok condominium is strategically located on Ratchadapisek Rd. within a short walk from the Asoke BTS sky train and the Sukhumvit MRT station. Access to and from the Metropolitan Expressway system is within 1 km of the condominium.
The Lakes condo for sale allows pets.
Facilities at The Lakes Bangkok condo for sale","elevator
parking
24-hours security
24-hours reception desk
key card with access to the floor
CCTV
top-roof swimming pool
sauna
steam
top-roof lounge
top-roof park
gym/fitness
pets friendly",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|False|False|True,marker marker-bts|marker marker-mrt|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Asok|Sukhumvit|Nana|Sukhumvit Toll Plaza|Rama 4-1 Toll Plaza|Rama 4-2 Toll Plaza,390 m / 5 minutes by foot|590 m / 8 minutes by foot|1 km / 2 minutes by car|1.9 km / 13 minutes by car|2.5 km / 7 minutes by car|2.9 km / 11 minutes by car,"226,480",0,9.38,3.44,9.44
