dev,address,district,sale_price,rent_price,internal_feature_keys,internal_feature_values,external_feature_keys,exteranal_feature_values,description,detail,amenity_keys,amenity_values,neighbor_cats,neighbor_names,neighbor_distances,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year
Royce Private Residences,"61 Soi Sukhumvit 31, Khwaeng Khlong Toei Nuea, Khet Watthana",Watthana,28160506.0,,Bedrooms|Bathrooms|Internal area,1|1|202.32,Floors|Towers|Project Area|Year built,"39|2|6,024 m2|2012","Royce Private Residences Sukhumvit 31 luxury Bangkok condo for sale on Sukhumvit 31 was constructed in 2012 by Major Development PCL.
This luxury Bangkok condo for sale consists of 2 apartment buildings, while the tallest one has 39 floors.","There are 161 larger apartments in Royce Private Residences condo for sale
Royce Private Residences' luxury condo for sale in Bangkok is located in Asoke, in the heart of the Business Center in Bangkok, and still in the quieter part of Asoke. Located only 750 meters away from Asoke BTS and Sukhumvit MRT stations on Sukhumvit road, Royce Private Residences condominium offers convenience and comfort of life with easy access to the highway and a quick 30-minute drive to Suvarnabhumi International airport. It is surrounded by a variety of restaurants, bars, and shopping outlets in the Asoke area.
Apartment types:",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|True|False|True|True,marker marker-bts|marker marker-mrt|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Asok|Sukhumvit|Phetchaburi|Asok 3 Toll Plaza|Asok 4 Toll Plaza|Asok 1 Toll Plaza,1.1 km / 7 minutes by car|1.1 km / 10 minutes by car|1.4 km / 7 minutes by car|2.1 km / 16 minutes by car|2.1 km / 16 minutes by car|2.2 km / 10 minutes by car,"215,496",0,2.53,4.05,4.15
The Room Sukhumvit 69,"1579 Sukhumvit Road, Khwaeng Phra Khanong Nuea, Khet Watthana",Khlong Toei,7800000.0,,Bedrooms|Bathrooms|Internal area,1|1|44.68,Floors|Towers|Project Area|Year built,"27|1|5,206 m2|2014",This well-maintained condo near BTS Phra Khanong is available now in luxury The Room Sukhumvit 69 condominium on Sukhumvit Road in Bangkok CBD,"this condo property features a good-sized living room and custom furniture made of teak wood
1-bedroom
1-bathroom
ceilings: 170 cm
balcony
mid-floor: 10+
facing direction:",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|False|False|False,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phra Khanong|Ekkamai|On Nut|Phra Khanong Toll Plaza|At Narong 2 Toll Plaza|At Narong 1 Toll Plaza,190 m / 3 minutes by foot|1.1 km / 9 minutes by car|1.3 km / 7 minutes by car|1.4 km / 3 minutes by car|2.2 km / 16 minutes by car|2.4 km / 11 minutes by car,"185,714",6.91,0.12,5.54,31.64
Hyde Sukhumvit 13,"1/444 Soi Sukhumvit 13, Khwaeng Khlong Toei Nuea, Khet Watthana",Khlong Toei,18277746.0,,Bedrooms|Bathrooms|Internal area,1|1|132.27,Floors|Towers|Project Area,"40|3|3,918 m2",Hyde Sukhumvit 13 Nana luxury condo in Bangkok is a high-rise apartment project that was constructed in 2016 by Grande Asset Hotels & Properties.,"This Bangkok condominium near Nana BTS is a unique 40-story mixed-use luxury residential building coupled with a 21-story Hyatt Regency Bangkok Sukhumvit and a retail complex. Such a concept provides a unique quality of life for Bangkok downtown residents, giving them unique choices for living, dining, shopping, and entertaining literally right on their doorsteps.
Hyde Sukhumvit Bangkok condominium has direct access to BTS Nana station.
Facilities at Hyde Sukhumvit 13 Nana luxury Bangkok condo for sale
Hyde Sukhumvit 13 has a great variety of modern facilities including",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|True|True|True,marker marker-bts|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Nana|Asok|Sukhumvit|Sukhumvit Toll Plaza|Phetchaburi Toll Plaza|Asok 2 Toll Plaza,360 m / 5 minutes by foot|590 m / 7 minutes by foot|840 m / 4 minutes by car|1.1 km / 14 minutes by car|2 km / 10 minutes by car|2.4 km / 8 minutes by car,"204,488",0,1.03,3.96,3.53
KHUN by YOO inspired by Starck,"139 Soi Sukhumvit 55, Khwaeng Khlong Tan Nuea, Khet Watthana",Watthana,26942463.0,,Bedrooms|Bathrooms|Internal area,1|1|103.16,Floors|Towers|Year built,27|1|2020,"KHUN by YOO Thonglor luxury condo for sale in Bangkok near BTS Thong Lo was built by Sansiri PCL in 2020.
The brand new super-luxury condominium inspired by Starck is located on Thong Lo soi 12, the heart of Bangkok’s most celebrated neighborhood. KHUN by YOO is Sansiri's first branded condominium with international design company YOO and brings luxury, convenience, and extraordinary design to the most sought-after and vibrant areas of Bangkok. Khun is ready to welcome YOO to Thong Lo.
This luxury condominium comprises a single building with 148 luxurious apartments on 27 floors.
Room types","1-bedroom, 1-bathroom: 41.50 - 53.50 sqm
2-bedroom, 2-bathroom: 82 - 97.75 sqm
3-bedroom, 2-bathroom: 139.25 - 149.75 sqm
penthouses: 294 - 302.75 sqm",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|True|True|True,,,,"428,041",0,-11.55,3.76,-1.4
Walden Asoke,"122-124 Soi Sukhumvit 23, Khwaeng Khlong Toei Nuea, Khet Watthana",Watthana,13450000.0,,Bedrooms|Bathrooms|Internal area,2|2|73.25,Floors|Towers|Year built,8|1|2020,This new duplex condo on Sukhumvit 23 is available now in Walden Asoke low-rise condominium in Bangkok CBD.,"this luxury condo unit is a loft (MOFT) unit with a 2nd living room of 23.93 sqm located on the 2nd level
area of title deed id only for the 1st level
living room with high ceilings
2-bedroom
2-bathroom
balcony
facing direction: West
built-in wardrobes
low-floor - low-rise building
fully fitted - not furnished
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|True|False|False|True,marker marker-bts|marker marker-mrt|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Asok|Sukhumvit|Phrom Phong|Asok 3 Toll Plaza|Asok 4 Toll Plaza|Asok 1 Toll Plaza,840 m / 6 minutes by car|860 m / 9 minutes by car|1.6 km / 6 minutes by car|2.3 km / 16 minutes by car|2.3 km / 17 minutes by car|2.3 km / 12 minutes by car,"190,747",0,0,0,–
Le Nice Ekamai,"Soi Ekkamai, Phra Khanong Nuea, Vadhana, Bangkok 10110",Watthana,6000000.0,,Bedrooms|Bathrooms|Internal area,2|2|67,Floors|Towers|Project Area|Year built,"8|1|4,776 m2|2010",This Bangkok condo in Ekkamai for sale is available now in Le Nice condominium on Sukhumvit 63.,"this Bangkok apartment in Sukhumvit 63 (Ekkamai) is available for sale for a very good price
2-bedroom
2-bathroom: 1 - with bathtub
balcony
area: 64 sqm
low-rise building - low floor
facing direction: south
fixed car parking slot
fully furnished
fully equipped kitchen
full set of electrical appliances
foreign freehold quota is available for this Bangkok condo",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|True|False|False|False,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Ekkamai|Thong Lo|Phra Khanong|At Narong Toll Plaza|Phatthanakan 1 Toll Plaza|Phra Khanong Toll Plaza,770 m / 10 minutes by foot|1.4 km / 4 minutes by car|1.6 km / 5 minutes by car|2.6 km / 10 minutes by car|3 km / 11 minutes by car|3.2 km / 8 minutes by car,"109,475",0,-1.24,5.61,5.13
Siam Penthouse 1,"51 Sukhumvit Rd, Khwaeng Khlong Toei, Khet Khlong Toei",Khlong Toei,14500000.0,,Bedrooms|Bathrooms|Internal area,4|4|160,Floors|Towers|Year built,10|4|1982,This Bangkok apartment with large balconies and 4 bedrooms is available now in Siam Penthouse 1 Condominium near BTS Nana,"this Bangkok condo features 3 balconies: two of them are larger in size
this Bangkok apartment is a combined unit: that comprises 2 apartments
4-bedroom
4-bathroom
3-balconies
area: 160 sqm
2 fixed car parking slots
fully furnished and well-maintained by the owner
separated and fully equipped kitchen
full set of electrical appliances",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|False|True|True|True|False|True|True|False|False|False|False,marker marker-bts|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Nana|Asok|Sukhumvit|Sukhumvit Toll Plaza|Phetchaburi Toll Plaza|Rama 4-2 Toll Plaza,360 m / 4 minutes by foot|850 m / 10 minutes by car|1.2 km / 12 minutes by car|1.2 km / 11 minutes by car|2 km / 10 minutes by car|4.1 km / 9 minutes by car,"83,590",0,-4.48,4.39,12.09
The Nest Ploenchit,"Soi Nai Loet, Lumphini, Pathum Wan, Bangkok 10110",Watthana,5500000.0,,Bedrooms|Bathrooms|Internal area,1|1|44.77,Floors|Towers|Project Area|Year built,8|1|938 m2|2012,This cheap Bangkok condo near BTS Ploenchit is available for sale in The Nest Ploenchit condominium in Bangkok CBD,"this cheap Bangkok apartment is located in a low-rise condominium located only 400 m from BTS Ploenchit
1-bedroom
1-bathroom with separated bathtub and shower
balcony
area: 44.77 sqm
low floor: low-rise building
facing direction: Noth with a greenery view
fully furnished
fully equipped kitchen
full set of electrical appliances
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|False|False|False|False|False,marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-bts|marker marker-bts|marker marker-expressway,Phloen Chit|Sukhumvit Toll Plaza|Phetchaburi Toll Plaza|Nana|Chit Lom|Asok 2 Toll Plaza,480 m / 6 minutes by foot|530 m / 7 minutes by foot|630 m / 8 minutes by foot|1.2 km / 20 minutes by car|1.2 km / 17 minutes by car|2.8 km / 7 minutes by car,"147,445",0,2.51,4.74,-11.55
The Lofts Ekkamai,"1413 Sukhumvit Road, Phra Khanong Nuea, Watthana, Bangkok 10110",Khlong Toei,10020339.0,,Bedrooms|Bathrooms|Internal area,1|1|62.29,Floors|Towers|Project Area|Year built,"28|1|13,721 m2|2016","The Lofts Ekkamai Sukhumvit is a luxury Bangkok condo for sale that was developed by Raimon Land and completed in 2017.
Raimond Land is also known as the developer of The Lofts Asoke Sukhumvit 21, The Diplomat 39 Phrom Phong, and many other luxury condominiums in Bangkok.
This luxury Sukhumvit condominium comprises a single building, having 263 units on 28 floors.
Project Area: 13,721 sqm
Think of the Meatpacking District in Manhattan, Soho in London, or Omotesando in Tokyo. Think cool and fashionable. Think dynamic and unique.
Taking inspiration from the vibrant districts of capitals around the globe, The Lofts Ekkamai’s industrial attic rooms are a mix of smooth design, effortless functionality, and artistic beauty. With a warehouse-style inspiration, you’ll enjoy ample space with floor-to-ceiling glass illuminating your life, giving you an unobstructed window to the scintillating city skyline.
Spacious external living areas permit your own unique and spectacular view. Interiors crafted with exceptional materials ensure the life you lead is unique, comfortable, and hip
Apartment types",,Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|False|False|False,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Ekkamai|Phra Khanong|Thong Lo|Phra Khanong Toll Plaza|At Narong Toll Plaza|At Narong 2 Toll Plaza,330 m / 4 minutes by foot|550 m / 7 minutes by foot|1.2 km / 5 minutes by car|2.2 km / 5 minutes by car|2.2 km / 11 minutes by car|2.8 km / 17 minutes by car,"192,794",0,-0.23,4.43,1.86
The Prime 11,"20 Soi Sukhumvit 11, Khwaeng Khlong Toei Nuea, Khet Watthana",Watthana,11264249.0,,Bedrooms|Bathrooms|Internal area,1|1|127.78,Floors|Towers|Project Area|Year built,"32|1|2,736 m2|2009","The Prime 11 Sukhumvit 11 condo for sale in Nana was developed by Fragrant Property in 2009.
There are 212 apartments on 31 floors of this Bangkok condo for sale in Nana.
Loved by locals and tourists alike, Sukhumvit Soi 11 offers a great choice of places for dining, entertainment, and shopping - all within just a few minutes of walking distance. The Prime 11 condominium is located here.
The common areas are very nicely decorated and designed. The lobby is open 24 /7 with juristic staff serving residents. Condominium combines international expertise with Thai knowledge of creating a ""masterpiece condominium”.
Types of apartments","Studio (34-35 sq.m)
1 Bedroom (46 sq.m.)
2 Bedrooms (80-94.5 sq.m)
3 Bedrooms (124 sq.m)
Penthouse (221-353 sq.m)",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|True|True|True,marker marker-bts|marker marker-expressway|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway,Nana|Sukhumvit Toll Plaza|Phloen Chit|Sukhumvit|Phetchaburi Toll Plaza|Asok 2 Toll Plaza,520 m / 7 minutes by foot|1.2 km / 8 minutes by car|1.3 km / 8 minutes by car|1.3 km / 7 minutes by car|1.4 km / 15 minutes by car|2.1 km / 12 minutes by car,"116,051",0,-14.57,4.83,-5.66
