dev,address,district,sale_price,rent_price,internal_feature_keys,internal_feature_values,external_feature_keys,exteranal_feature_values,description,detail,amenity_keys,amenity_values,neighbor_cats,neighbor_names,neighbor_distances,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year
BEATNIQ Sukhumvit 32,"21-58 Sukhumvit Rd, Khwaeng Khlong Tan, Khet Khlong Toei",Khlong Toei,24900000.0,,Bedrooms|Bathrooms|Internal area,2|1|82.85,Floors|Towers|Year built,34|1|2018,This modern new condo near BTS Thonglor is available now in the luxury Beatniq Sukhumvit 32 condominium in Bangkok CBD,"this luxury condo is very well maintained - like a new
2-bedroom
1-bathroom
balcony
low floor
facing direction: East with an unblocked view of Bangkok
fully furnished: stylish modern
open and fully equipped kitchen
full set of electrical appliances",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|False|False|True,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Thong Lo|Phrom Phong|Ekkamai|At Narong Toll Plaza|Tha Ruea 2 Toll Plaza|Tha Ruea 1 Toll Plaza,500 m / 6 minutes by foot|800 m / 4 minutes by car|1.4 km / 8 minutes by car|3 km / 10 minutes by car|3.1 km / 13 minutes by car|3.2 km / 13 minutes by car,"311,573",0,9.72,4.38,16.6
The Emporio Place,"Soi Kasem, Khlong Tan, Khlong Toei, Bangkok 10110",Khlong Toei,7500000.0,,Bedrooms|Bathrooms|Internal area,1|1|48.4,Floors|Towers|Project Area|Year built,"42|3|9,048 m2|2010",This Sukhumvit 24 property is available now in The Emporio Place condominium in Phrom Phong,"this condo features a Japanese-style interior design
this condo is a corner unit
1-bedroom
1-bathroom
area: 48.4 sqm
low-floor: 10-
car parking slot
facing direction: North
fully furnished
open kitchen: fully equipped
full set of electrical appliances
foreign freehold ownership quota",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|True|True|True,marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-bts,Phrom Phong|Queen Sirikit National Convention Centre|Tha Ruea 2 Toll Plaza|Tha Ruea 1 Toll Plaza|Rama 4-1 Toll Plaza|Thong Lo,860 m / 4 minutes by car|1.6 km / 8 minutes by car|1.7 km / 7 minutes by car|1.8 km / 7 minutes by car|1.9 km / 10 minutes by car|2.1 km / 9 minutes by car,"193,647",0,3.75,4.23,6.23
Sukhumvit City Resort,"61 สุขุมวิท Khwaeng Khlong Toei Nuea, Khet Watthana",Watthana,4200000.0,,Bedrooms|Bathrooms|Internal area,1|1|47.2,Floors|Towers|Project Area|Year built,"26|1|2,436 m2|2006",This condo for sale in Sukhumvit 11 is available in Sukhumvit City Resort condominium in Nana in Bangkok,"this larger 1-bedroom condo is available for sale with a rental tenant
1-bedroom, 1-bathroom
47.2 sqm
High floor: 25+
fully furnished
fully equipped kitchen
full set of electrical appliances
foreign freehold ownership quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|True|False|False|True,marker marker-bts|marker marker-expressway|marker marker-bts|marker marker-expressway|marker marker-mrt|marker marker-expressway,Nana|Sukhumvit Toll Plaza|Phloen Chit|Phetchaburi Toll Plaza|Phetchaburi|Asok 2 Toll Plaza,920 m / 12 minutes by car|1.1 km / 8 minutes by car|1.2 km / 9 minutes by car|1.3 km / 15 minutes by car|1.9 km / 10 minutes by car|2.5 km / 12 minutes by car,"107,373",0,3.91,3.84,-14
Baan Ananda,"Soi Setthabut, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,37000000.0,,Bedrooms|Bathrooms|Internal area,3|4|272,Floors|Towers|Year built,7|1|2007,This 3-bedroom 3-balcony condo is available now in Baan Ananda luxury low-rise condominium on Sukhumvit 61 in Ekkamai,"luxury full-sized condo
2 living rooms
3 bedrooms
4 bathrooms
3 balconies
3 facing directions: South-East, South, and North
maid's room
area: 272 sqm
2 fixed parking slots
fully and nicely furnished
fully equipped kitchen
full set of electrical appliances
the owner plans to move back overseas and wants to sell fast
foreign freehold ownership quota",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|False|False|False|False|False,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Ekkamai|Thong Lo|Phra Khanong|At Narong Toll Plaza|Phra Khanong Toll Plaza|Phatthanakan 1 Toll Plaza,960 m / 8 minutes by car|1.2 km / 4 minutes by car|1.8 km / 6 minutes by car|2.8 km / 10 minutes by car|3.4 km / 10 minutes by car|4.4 km / 14 minutes by car,"142,732",0,-3.82,4.3,-2.29
Fullerton Sukhumvit,"43 Sukhumvit Rd, Khwaeng Khlong Tan Nuea, Khet Watthana",Khlong Toei,44616273.0,,Bedrooms|Bathrooms|Internal area,1|1|345.97,Towers,1,"Fullerton Sukhumvit Thonglor is a pet-friendly condo for sale in Bangkok near BTS Thong Lo that was developed by Major Development PCL in 2006.
This Bangkok condominium on Sukhumvit Road comprises one building, having 139 apartments on 37 floors.
This Bangkok condo is pet-friendly: allows small and medium pets.
Apartment types","2-bedroom: 95 - 170 sqm
3-bedroom: 130 - 300 sqm
4-bedroom: 160 320 sqm",,,,,,"174,480",0,3.36,4.18,3.58
LAKE AVENUE Sukhumvit 16,"1 Soi Sukhumvit 16, Khwaeng Khlong Toei, Khet Khlong Toei",Khlong Toei,7500000.0,,Bedrooms|Bathrooms|Internal area,1|2|90.2,Towers,1,This large apartment near BTS Asoke is available in Lake Avenue condominium on Sukhumvit 16 in Bangkok CBD,"large apartment
1-bedroom
2-bathroom
a very large balcony
large area: 90.2 sqm
low floor: 10-
car parking slot
fully furnished
open and fully equipped kitchen
full set of electrical appliances: flat TV, refrigerator, washing machine, microwave
foreign freehold ownership quota is available",,,marker marker-mrt|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Sukhumvit|Asok|Phrom Phong|Sukhumvit Toll Plaza|Rama 4-1 Toll Plaza|Rama 4-2 Toll Plaza,850 m / 6 minutes by car|860 m / 5 minutes by car|1.7 km / 8 minutes by car|2.2 km / 12 minutes by car|2.3 km / 7 minutes by car|2.8 km / 10 minutes by car,"107,356",0,6.62,4.25,-2.56
RHYTHM Ekkamai,"50/2 Soi Sukhumvit 63 Road, Khwaeng Phra Khanong Nuea, Khet Watthana",Watthana,8214368.0,,Bedrooms|Bathrooms|Internal area,1|1|51.76,Floors|Towers|Year built,32|1|2018,"Rhythm Ekkamai Sukhumvit 63 condo for sale in Bangkok near BTS was developed by AP (Thailand) PCL and completed in 2018.
AP Thailand is also known as the developer behind Rhythm Asoke, Citisamrt, and many other Bangkok condominiums.
The condominium comprises a single building, having 326 apartments on 32 floors.
Apartment types","studio: 30 sqm
1-bedroom: 35 sqm
2-bedroom: 70 sqm",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|False|False|True,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Ekkamai|Thong Lo|Phra Khanong|At Narong Toll Plaza|Phra Khanong Toll Plaza|At Narong 2 Toll Plaza,430 m / 6 minutes by foot|1.1 km / 3 minutes by car|1.2 km / 4 minutes by car|2.3 km / 9 minutes by car|2.8 km / 7 minutes by car|2.9 km / 16 minutes by car,"217,476",0,-0.09,4.51,-1.68
Supalai Oriental Sukhumvit 39,"153 Soi Phetchaburi 38/1, Khwaeng Khlong Tan Nuea, Khet Watthana",Watthana,11348563.0,,Bedrooms|Bathrooms|Internal area,1|1|101.41,Floors|Towers|Year built,35|4|2020,"Supalai Oriental Sukhumvit 39 condo for sale in Phrom Phong in Bangkok was built by Supalai PCL in 2020.
This high-rise high-end Bangkok condo for sale in Phrom Phong comprises 4 buildings having 1,046 apartments and 6 shops:","Tower A: 25 story
Tower B: 25 story
Tower C: 35 story
Tower D: 35 story
Parking slot and clubhouse: 8+1 story
Total project area: 10-1-29 Rais
Green area: more than 50%
Parking space: 100% coverage",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|False|False,marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-mrt|marker marker-mrt,Phetchaburi|Asok 3 Toll Plaza|Asok 4 Toll Plaza|Asok 1 Toll Plaza|Phra Ram 9|Sukhumvit,1.4 km / 5 minutes by car|1.9 km / 14 minutes by car|1.9 km / 13 minutes by car|2 km / 7 minutes by car|2.3 km / 13 minutes by car|2.3 km / 14 minutes by car,"151,411",0,22.68,4.72,16.67
Circle Rein Sukhumvit 12,"67 Soi Suk Chai, Khwaeng Khlong Toei, Khet Khlong Toei",Khlong Toei,7415683.0,,Bedrooms|Bathrooms|Internal area,1|1|61.38,Floors|Towers|Project Area|Year built,"8|1|1,712 m2|2016","Circle Rein Sukhumvit 12 condo for sale near BTS Asoke was built in 2018 by Fragrant Property PCL.
Circle Rein Sukhumvit 12 is a low-rise Bangkok apartment building (8-floors) located on Sukhumvit 12, close to BTS Asoke.
Circle Rein Sukhumvit 12 was built for ""Energy saving"" and ""environmental protection"". It also features multifunction furniture that can be used in various forms and meet the needs of living in the city.
Circle Rein Sukhumvit 12 in words ""Rein"" in German. Consequently, the concept of this project is focused on simple, modern, and balanced design, along with facilities within and outside the project.
Apartment types","1-bedroom: 30-46 sqm
2-bedroom: 66-75 sqm",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|False|False|False|False,marker marker-bts|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Asok|Nana|Sukhumvit|Sukhumvit Toll Plaza|Phetchaburi Toll Plaza|Rama 4-2 Toll Plaza,280 m / 3 minutes by foot|400 m / 5 minutes by foot|710 m / 9 minutes by foot|1.1 km / 5 minutes by car|2.1 km / 13 minutes by car|3.1 km / 13 minutes by car,"164,848",0,0.61,3.97,15.68
Le Raffine Sukhumvit 24,"53, 2 Sukhumvit 24 Alley, Khwaeng Khlong Tan, Khet Khlong Toei",Khlong Toei,41938916.0,,Bedrooms|Bathrooms|Internal area,1|1|424.77,Floors|Towers|Project Area|Year built,"30|1|3,200 m2|2005","Le Raffine Sukhumvit 24 condo for sale in Bangkok was built in 2005.
Le Raffine Sukhumvit 24 is a 30-story project with only 54 large apartments - luxury duplexes.
Developer: Le Raffine 24 Co., Ltd, also known as the developer behind Le Raffine Jambu Dvipa Sukhumvit 39 Luxury Condominium in Phrom Phong and Le Raffine Jambunuda Sukhumvit 31.
Each apartment features a private infinity swimming pool.
Facilities at Le Raffine Sukhumvit 24 condo for sale in Bangkok","security with CCTV and guards
keycard door access
parking
elevators
swimming pool
fitness/gym
sauna
garden
kids’ playground
meeting room
WiFi in the public area",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|False|False|False|False|True,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-bts|marker marker-mrt|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phrom Phong|Phrom Phong|Thong Lo|Thong Lo|Queen Sirikit National Convention Centre|Queen Sirikit National Convention Centre||||||,760 m / 3 minutes by car|760 m / 3 minutes by car|1.9 km / 7 minutes by car|1.9 km / 7 minutes by car|1.9 km / 8 minutes by car|1.9 km / 8 minutes by car||||||,"155,555",0,-7,2.71,-1.4
