dev,address,district,sale_price,rent_price,internal_feature_keys,internal_feature_values,external_feature_keys,exteranal_feature_values,description,detail,amenity_keys,amenity_values,neighbor_cats,neighbor_names,neighbor_distances,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year
MODE Sukhumvit 61,"Soi Setthabut, Khlong Toei Nuea, Vadhana, Bangkok 10110",Khlong Toei,9807319.0,,Bedrooms|Bathrooms|Internal area,1|1|71.9,Floors|Towers|Project Area|Year built,"8|2|3,108 m2|2013","Mode Sukhumvit 61 Ekkamai condo for sale in Bangkok was developed by Gaysorn Property PCL in 2013.
This Bangkok condo near BTS Ekkamai comprises two buildings, having 168 apartments on 8 floors.
Apartment types:","Unit types: 1-2 bedroom
Unit sizes: 43 - 109 sqm",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|False|False|True,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Ekkamai|Thong Lo|Phra Khanong|At Narong Toll Plaza|Phra Khanong Toll Plaza|Tha Ruea 2 Toll Plaza,490 m / 7 minutes by foot|760 m / 10 minutes by foot|1.3 km / 5 minutes by car|2.3 km / 9 minutes by car|2.9 km / 8 minutes by car|3.6 km / 11 minutes by car,"172,349",0,-2.07,5.26,3
Royal Castle Sukhumvit 39,"30 Soi Sukhumvit 39, Khlong Toei Nuea, Khet Watthana",Watthana,17000000.0,,Bedrooms|Bathrooms|Internal area,3|3|167,Towers,1,This 3-bedroom condo for sale in Prompong with 2 balconies is available for sale on a mid-floor at Royal Castle Sukhumvit 39 condominium,"large apartment with 2 balconies
3-bedroom
3-bathroom
large living room with a dining area
facing direction: North and East with a nice unblocked view
area: 167 sqm
fully furnished
full set of electrical appliances
foreign freehold ownership quota available",,,marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-bts|marker marker-bts|marker marker-bts,Bang Mueang Toll Plaza-Outbound 4|Bang Mueang Toll Plaza-Outbound 1|Bang Mueang Toll Plaza-Inbound 1|Bearing|Bang Na|Udom Suk,3.7 km / 9 minutes by car|4.1 km / 7 minutes by car|4.3 km / 7 minutes by car|7.6 km / 16 minutes by car|8.4 km / 17 minutes by car|9.9 km / 20 minutes by car,"150,376",44.03,46.45,4.2,54.25
Supalai Place,"181/1 Sukhumvit Soi 39, Khwaeng Khlong Tan Nuea, Khet Watthana",Watthana,7500000.0,,Bedrooms|Bathrooms|Internal area,2|2|111,Floors|Towers|Year built,23|2|1994,This condo with a 270-degree view of Prompong is available now in Supalai Place Sukhumvit 39 condominium,"good-sized living room
good sized balcony with a view of Prompong and a pool
2-bedroom
2-bathroom
low floor: 10-
facing direction: 270-degree
fully furnished
open and fully equipped kitchen
complete set of electrical appliances
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|True|True|True,marker marker-bts|marker marker-mrt|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phrom Phong|Phetchaburi|Sukhumvit|Asok 3 Toll Plaza|Asok 4 Toll Plaza|Asok 1 Toll Plaza,1.6 km / 7 minutes by car|1.8 km / 12 minutes by car|2.1 km / 15 minutes by car|2.3 km / 21 minutes by car|2.3 km / 20 minutes by car|2.4 km / 15 minutes by car,"74,512",0,-1.07,5.49,-2.29
Circle Condominium,"1674 Phetchaburi 36 Alley, Thanon Phetchaburi, Khet Ratchathewi",Watthana,3800000.0,,Bedrooms|Bathrooms|Internal area,1|1|35,Floors|Towers|Project Area,"43|2|8,012 m2",This affordable Bangkok condo in Nana Phetchaburi is available now in Circle Condominium,"studio apartment
1-bathroom
1 balcony
1 parking slot
area: 35 sqm
fully furnished
equipped kitchen
high floor: 20+
facing direction: North with a view of the Makkasan green area
electrical appliances",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|True|False|True,marker marker-expressway|marker marker-mrt|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-bts,Phetchaburi Toll Plaza|Phetchaburi|Nana|Sukhumvit Toll Plaza|Asok 2 Toll Plaza|Phloen Chit,680 m / 9 minutes by foot|920 m / 3 minutes by car|1.4 km / 7 minutes by car|1.5 km / 7 minutes by car|1.5 km / 3 minutes by car|1.5 km / 4 minutes by car,"111,804",0,-1.77,4.51,-3.89
Ivy Thonglor,"Soi Thong Lo, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,7500000.0,,Bedrooms|Bathrooms|Internal area,1|1|43,Floors|Towers|Project Area|Year built,"24|1|5,456 m2|2010",This well-maintained condo in Thonglor is available in the IVY Thonglor condominium on Sukhumvit 55,"this condo is well-maintained by the owner
good-sized living room
1-bedroom
1-bathroom
balcony
low floor: 10-
facing direction: East with an unblocked nice city view
fully furnished
open and equipped kitchen
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|False|True,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Thong Lo|Ekkamai|Phrom Phong|Ramkhamhaeng Toll Plaza|Rama 9-1 Toll Plaza Chalong Rat|Rama 9 Toll Plaza,1.7 km / 9 minutes by car|2.4 km / 14 minutes by car|2.4 km / 11 minutes by car|2.9 km / 19 minutes by car|2.9 km / 13 minutes by car|3.2 km / 11 minutes by car,"177,606",0,-1.83,4.4,-3.84
Ivy Thonglor,"Soi Thong Lo, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,6500000.0,,Bedrooms|Bathrooms|Internal area,1|1|43,Floors|Towers|Project Area|Year built,"24|1|5,456 m2|2010",This condo in Thonglor with an unblocked view is available in the IVY Thonglor condominium on Sukhumvit 55,"good-sized living room
1 bedroom with a 180-degree view from tall windows
1 bathroom
balcony
mid-floor: 10+
facing direction: North with a nice unblocked view of Bangkok city
fully furnished
open equipped kitchen
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|False|True,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Thong Lo|Ekkamai|Phrom Phong|Ramkhamhaeng Toll Plaza|Rama 9-1 Toll Plaza Chalong Rat|Rama 9 Toll Plaza,1.7 km / 9 minutes by car|2.4 km / 14 minutes by car|2.4 km / 11 minutes by car|2.9 km / 19 minutes by car|2.9 km / 13 minutes by car|3.2 km / 11 minutes by car,"177,606",0,-1.83,4.4,-3.84
Siamese Exclusive Sukhumvit 31,"31-39 Soi Sukhumvit 31, Khwaeng Khlong Toei Nuea, Khet Watthana",Watthana,19220000.0,,Bedrooms|Bathrooms|Internal area,2|2|94.64,Floors|Towers|Project Area|Year built,"21|1|2,800 m2|2017",This brand-new 2-bedroom condo is available now in luxury condominium Siamese Exclusive Sukhumvit 31,"brand new luxury Bangkok property: directly from the developer
2-bedroom
2 bathroom
balcony
facing direction: West with an amazing view of the Asoke area
high floor: 15+
private lift
car parking slot
fully fitted: not furnished
foreign freehold ownership quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|False|False|True|False|False,marker marker-bts|marker marker-mrt|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Asok|Sukhumvit|Phrom Phong|Sukhumvit Toll Plaza|Asok 4 Toll Plaza|Asok 1 Toll Plaza,850 m / 5 minutes by car|980 m / 9 minutes by car|1.1 km / 4 minutes by car|2.2 km / 18 minutes by car|2.4 km / 19 minutes by car|2.5 km / 12 minutes by car,"201,632",0,-3.28,4.49,3.71
Wind Sukhumvit 23,"82 Soi Prasan Mit, Khwaeng Khlong Toei Nuea, Khet Watthana",Watthana,10401526.0,,Bedrooms|Bathrooms|Internal area,1|1|106.75,Floors|Towers|Project Area|Year built,"22|1|3,116 m2|2009",Wind Sukhumvit 23 Asoke is a condo for sale in Bangkok that was developed by Major Development Public Company and completed in 2009.,Wind Sukhumvit 23 is a high-rise single building with 22 stories and 220 spacious condos for rent and sale.,Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|False|False,marker marker-mrt|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Sukhumvit|Asok|Nana|Asok 3 Toll Plaza|Asok 4 Toll Plaza|Asok 1 Toll Plaza,560 m / 7 minutes by foot|820 m / 5 minutes by car|1.3 km / 7 minutes by car|1.9 km / 16 minutes by car|1.9 km / 19 minutes by car|2 km / 13 minutes by car,"146,024",0,-2.74,4.54,8.22
,,Huai Khwang,5000000.0,,Bedrooms|Bathrooms|Internal area,1|1|44,,,"This condo in Rama 9 on a low floor is available now. This 1 bedroom apartment is located on a low floor in Lumpini Place Rama 9.  This Rama 9 flat is fully furnished with premium furniture and accessories.
The corner unit with nice decoration in the modern style. Located on a low floor with an unblocked view","1 bedroom
1 bathroom
44 sqm
corner unit on the low floor (10-)
fixed parking slot
balcony
facing North
fully furnished
separated kitchen
electrical appliances: refrigerator, washing machine, microwave
foreign freehold quota is available",,,,,,,,,,
Villa Asoke,"1596 Phetchaburi Rd, Khwaeng Makkasan, Khet Ratchathewi",Watthana,11200000.0,,Bedrooms|Bathrooms|Internal area,2|2|80.77,Floors|Towers|Project Area|Year built,"42|1|6,860 m2|2013",This 2-bedroom apartment in Bangkok CBD is available now in the popular Villa Asoke condominium,"this nice 2-bedroom Bangkok condo is well maintained
area: 80.77 sqm
2 bedroom
2 bathroom
2 parking slots: 1 is fixed
1 balcony
facing direction: North-West
partially furnished
high floor: 20+
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|False|False,marker marker-mrt|marker marker-expressway|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-bts,Phetchaburi|Asok 2 Toll Plaza|Phra Ram 9|Asok 1 Toll Plaza|Asok 4 Toll Plaza|Nana,210 m / 3 minutes by foot|1.1 km / 5 minutes by car|1.8 km / 10 minutes by car|2 km / 10 minutes by car|2 km / 16 minutes by car|2 km / 8 minutes by car,"145,719",0,9.57,4.03,1.24
