dev,address,district,sale_price,rent_price,internal_feature_keys,internal_feature_values,external_feature_keys,exteranal_feature_values,description,detail,amenity_keys,amenity_values,neighbor_cats,neighbor_names,neighbor_distances,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year
MUNIQ Langsuan,"Soi Ton Son, Khwaeng Lumphini, Khet Pathum Wan",Pathum Wan,28435133.0,,Bedrooms|Bathrooms|Internal area,1|1|115.58,Floors|Towers|Year built,28|1|2021,"Muniq Langsuan Lumpini luxury Bangkok condo for sale was built in 2021 by Major Development PCL.
This luxury Bangkok condo for sale near Lumpini Park comprises a single building having 163 apartments on 28 floors.
The interior design is informed by the architecture, with airy ceilings in white. stepping into the building, you are charmed by a sense of sophistication, smartly accented by a selection of contemporary furniture. You simply will not find anything like it; this feeling of luxury with elements reminiscent of a new romance is in full bloom, resulting in an extraordinary living environment like no other.
Apartment types:","1-bedroom: 50 - 80 sqm
2-bedroom: 80 - 152 sqm
3-bedroom: 123 - 176 sqm
collection: 82 - 278 sqm",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|False|False|False|False,marker marker-bts|marker marker-mrt|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Ratchadamri|Si Lom|Lumphini|Rama 4-2 Toll Plaza|Sukhumvit Toll Plaza|Phetchaburi Toll Plaza,1.2 km / 7 minutes by car|1.2 km / 6 minutes by car|1.2 km / 4 minutes by car|2.1 km / 6 minutes by car|2.1 km / 8 minutes by car|2.2 km / 14 minutes by car,"399,490",0,22.12,3.62,8.66
The Seed Musee,"โทร. 1739 :ซอยสุขุมวิท 26 แขวงคลองตัน Khwaeng Khlong Tan, Khet Khlong Toei",Khlong Toei,5452861.0,,Bedrooms|Bathrooms|Internal area,1|1|54.07,Floors|Towers|Project Area|Year built,"8|1|2,700 m2|2009","The Seed Musee Sukhumvit 26 is a condo for sale in Bangkok CBD that was built in 2009 by Pruksa Real Estate.
Boutique concept condominium at Sukhumvit 26 that combines forward-thinking with Creative Art.
This condominium comprises 1 building having 136 apartments on 8 floors.
Apartment types:","Studio: 33 – 37 sqm
1-bedroom 43 – 55 sqm
2-bedroom 65 – 67 sqm",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|True|True|True,marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-mrt|marker marker-expressway|marker marker-expressway,Phrom Phong|Thong Lo|Tha Ruea 2 Toll Plaza|Queen Sirikit National Convention Centre|Tha Ruea 1 Toll Plaza|At Narong Toll Plaza,730 m / 6 minutes by car|1.5 km / 7 minutes by car|2.5 km / 8 minutes by car|2.6 km / 10 minutes by car|2.7 km / 9 minutes by car|3.2 km / 10 minutes by car,"138,227",7.49,4.48,5.29,15.56
Rhythm Sukhumvit 42,"Condo Rhythm Sukhumvit 42, Khwaeng Phra Khanong, Khet Khlong Toei",Khlong Toei,8997062.0,,Bedrooms|Bathrooms|Internal area,1|1|63.62,Floors|Towers|Project Area|Year built,"36|1|5,048 m2|2016","Rhythm Sukhumvit 42 Ekkamai condo for sale in Bangkok was developed by AP (Thailand) Public Company in 2016.
This Bangkok condo for sale comprises a single building, having 407 units on 36 floors.
Apartment types","unit types: 1 - 2 bedrooms
Unit sizes: 27 - 80 sqm",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|True|False|True,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-expressway,Ekkamai|Ekkamai|Thong Lo|Phra Khanong|Thong Lo|Phra Khanong|At Narong Toll Plaza|||||,180 m / 2 minutes by foot|270 m / 4 minutes by foot|1.1 km / 3 minutes by car|1.1 km / 3 minutes by car|1.1 km / 4 minutes by car|1.1 km / 3 minutes by car||||||,"200,880",0,0.47,4.44,1.23
NOBLE STATE 39,"35 Soi Sukhumvit 39, Khlong Tan, Khet Watthana",Watthana,7717000.0,,Bedrooms|Bathrooms|Internal area,1|1|29.81,Floors|Towers,36|2,This small luxury condo in Prompong is a new unit available now in Noble State 39 condominium on Sukhumvit 39,"1-bedroom
1-bathroom
2 small balconies
high ceilings - 3 m
high floor
fully fitted
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|False|True,marker marker-bts|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phrom Phong|Asok|Sukhumvit|Asok 3 Toll Plaza|Asok 1 Toll Plaza|Asok 4 Toll Plaza,900 m / 5 minutes by car|1.9 km / 8 minutes by car|1.9 km / 9 minutes by car|2.8 km / 17 minutes by car|3 km / 10 minutes by car|3 km / 16 minutes by car,"218,191",0,-5.41,0,–
Royal Castle Sukhumvit 39,"30 Soi Sukhumvit 39, Khlong Toei Nuea, Khet Watthana",Watthana,15112847.0,,Bedrooms|Bathrooms|Internal area,1|1|241.39,Towers,1,"Royal Castle Sukhumvit 39 condo for sale in Bangkok in Phrom Phong was developed by Tulip Group in 1993.
This Bangkok condo for sale in Phrom Phong comprises a single building, having 146 units on 24 floors.
Facilities at this Bangkok condo for sale in Sukhumvit 39","elevator
underground parking
24-hour security and 24/7 security guards and reception desk
key card with access to specific floor
CCTV
swimming pool
gym room
garden
playground/kids' area
sauna",,,marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-bts|marker marker-bts|marker marker-bts,Bang Mueang Toll Plaza-Outbound 4|Bang Mueang Toll Plaza-Outbound 1|Bang Mueang Toll Plaza-Inbound 1|Bearing|Bang Na|Udom Suk,3.7 km / 9 minutes by car|4.1 km / 7 minutes by car|4.3 km / 7 minutes by car|7.6 km / 16 minutes by car|8.4 km / 17 minutes by car|9.9 km / 20 minutes by car,"150,376",44.03,46.45,4.2,54.25
Noble Ambience Sukhumvit 42,"31 Soi Sukhumvit 42, Khwaeng Phra Khanong, Khet Khlong Toei",Khlong Toei,6012734.0,,Bedrooms|Bathrooms|Internal area,1|1|44.44,Towers,1,"Noble Ambience Sukhumvit 42 Bangkok condo for sale near BTS Ekkamai was developed by Noble Development PCL in 2021.
This Bangkok low-rise condominium comprises two buildings of 8 floors each, having 258 apartments in total.
Apartment types","unit types: 1 - 2 bedrooms
Unit sizes: 26 - 61 sqm",,,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Ekkamai|Thong Lo|Phra Khanong|At Narong Toll Plaza|At Narong 2 Toll Plaza|Phra Khanong Toll Plaza,390 m / 5 minutes by foot|1.2 km / 6 minutes by car|1.3 km / 5 minutes by car|1.7 km / 8 minutes by car|2.4 km / 15 minutes by car|2.9 km / 9 minutes by car,"187,177",0,7.68,3.37,-3.14
NOBLE STATE 39,"35 Soi Sukhumvit 39, Khlong Tan, Khet Watthana",Watthana,7135000.0,,Bedrooms|Bathrooms|Internal area,1|1|29.81,Floors|Towers,36|2,This small luxury condo in Prompong is a new unit available now in Noble State 39 condominium on Sukhumvit 39,"1-bedroom
1-bathroom
2 small balconies
high ceilings - 3 m
mid-floor
fully fitted
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|False|True,marker marker-bts|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phrom Phong|Asok|Sukhumvit|Asok 3 Toll Plaza|Asok 1 Toll Plaza|Asok 4 Toll Plaza,900 m / 5 minutes by car|1.9 km / 8 minutes by car|1.9 km / 9 minutes by car|2.8 km / 17 minutes by car|3 km / 10 minutes by car|3 km / 16 minutes by car,"218,191",0,-5.41,0,–
NOBLE STATE 39,"35 Soi Sukhumvit 39, Khlong Tan, Khet Watthana",Watthana,8079000.0,,Bedrooms|Bathrooms|Internal area,1|1|29.81,Floors|Towers,36|2,This new small condo on a top floor is a new unit available now in Noble State 39 condominium on Sukhumvit 39,"1-bedroom
1-bathroom
2 small balconies
high ceilings - 3 m
top floor
fully fitted
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|False|True,marker marker-bts|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phrom Phong|Asok|Sukhumvit|Asok 3 Toll Plaza|Asok 1 Toll Plaza|Asok 4 Toll Plaza,900 m / 5 minutes by car|1.9 km / 8 minutes by car|1.9 km / 9 minutes by car|2.8 km / 17 minutes by car|3 km / 10 minutes by car|3 km / 16 minutes by car,"218,191",0,-5.41,0,–
MUNIQ Langsuan,"Soi Ton Son, Khwaeng Lumphini, Khet Pathum Wan",Pathum Wan,50000000.0,,Bedrooms|Bathrooms|Internal area,2|2|113,Floors|Towers|Year built,28|1|2021,This luxury condo near Lumouni Park is available now in Muniq Langsuan luxury condominium in Bangkok CBD,"this condo is a new property - nobody lived
this condo features amazing park and city views from 2 balconies
large living room
2-bedroom
2-bathroom
fully fitted - not furnished
walk-in closet
serious inquiries only, please",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|False|False|False|False,marker marker-bts|marker marker-mrt|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Ratchadamri|Si Lom|Lumphini|Rama 4-2 Toll Plaza|Sukhumvit Toll Plaza|Phetchaburi Toll Plaza,1.2 km / 7 minutes by car|1.2 km / 6 minutes by car|1.2 km / 4 minutes by car|2.1 km / 6 minutes by car|2.1 km / 8 minutes by car|2.2 km / 14 minutes by car,"399,490",0,22.12,3.62,8.66
Baan Prompong,"Soi Phop Mit, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,10995609.0,,Bedrooms|Bathrooms|Internal area,1|1|185.11,Floors|Towers|Year built,22|1|1992,"Baan Prompong Bangkok condo for sale on Sukhumvit 39 is a high-rise residential complex that was constructed in 1992
This Bangkok condo for sale in Phrom Phong comprises 1 building having 98 apartments on 22 floors.
This condo for sale in Bangkok is very well maintained. It was recently renovated: lobby and swimming pool.
Facilities at this Bangkok condo for sale in Sukhumvit 39","swimming pool
sauna
garden
fully equipped gym/fitness club
kids playground
security gate
CCTV
24/7 reception desk
parking area",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|False|False|True|True,marker marker-bts|marker marker-mrt|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phrom Phong|Phetchaburi|Sukhumvit|Asok 3 Toll Plaza|Asok 4 Toll Plaza|Asok 1 Toll Plaza,1.6 km / 8 minutes by car|1.7 km / 4 minutes by car|2 km / 13 minutes by car|2.2 km / 13 minutes by car|2.3 km / 13 minutes by car|2.3 km / 7 minutes by car,"95,431",0,23.52,3.99,-9.43
