dev,address,district,sale_price,rent_price,internal_feature_keys,internal_feature_values,external_feature_keys,exteranal_feature_values,description,detail,amenity_keys,amenity_values,neighbor_cats,neighbor_names,neighbor_distances,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year
Bright Sukhumvit 24,"85 Soi Sukhumvit 24, Khwaeng Khlong Tan, Khet Khlong Toei",Khlong Toei,16750000.0,,Bedrooms|Bathrooms|Internal area,1|1|73.85,Floors|Towers|Project Area|Year built,"36|2|7,569 m2|2011",This luxury apartment on Sukhumvit 24 with 1 bedroom on a low floor is available now in Bright Sukhumvit 24,"this condo is like new - nobody lived yet
1-bedroom
1-bathroom
balcony
low floor: 10-
facing direction: East
fixed car parking slot
fully furnished: luxury furniture, especially the dining table
open & equipped kitchen
full set of electrical appliances
foreign freehold ownership quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|False|True,marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-bts|marker marker-expressway,Phrom Phong|Queen Sirikit National Convention Centre|Tha Ruea 2 Toll Plaza|Tha Ruea 1 Toll Plaza|Thong Lo|Rama 4-1 Toll Plaza,850 m / 4 minutes by car|1.7 km / 9 minutes by car|1.8 km / 8 minutes by car|1.9 km / 9 minutes by car|2 km / 10 minutes by car|2.1 km / 12 minutes by car,"202,173",0,1.5,3.93,2.64
Beverly 33,"Soi Daeng Udom, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,9300000.0,,Bedrooms|Bathrooms|Internal area,2|2|67,Floors|Towers|Project Area|Year built,"8|1|1,232 m2|2012",This 2-bedroom condo on Sukhumvit 33 is located in a popular Beverly 33 condominium in Bangkok CBD,"this condominium offers legal rental services for owners - a good investment opportunity
this condo is well-maintained by an owner
2 bedroom
2 bathroom
the balcony of a good size
low floor - low-rise building
fully furnished and well-maintained
fully equipped kitchen
full set of electrical appliances",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|False|False|False|False|False,marker marker-bts|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phrom Phong|Asok|Sukhumvit|Asok 3 Toll Plaza|Asok 4 Toll Plaza|Asok 1 Toll Plaza,660 m / 8 minutes by foot|1.2 km / 9 minutes by car|1.4 km / 12 minutes by car|2.8 km / 19 minutes by car|2.8 km / 19 minutes by car|2.9 km / 12 minutes by car,"163,696",0,7.34,4.65,33.68
The Trendy Condominium,"Soi Saeng Chan, Khlong Tan Nuea, Vadhana, Bangkok 10110",Khlong Toei,5996565.0,,Bedrooms|Bathrooms|Internal area,1|1|78.07,Floors|Towers|Project Area|Year built,"17|1|9,860 m2|2008","The Trendy Sukhumvit 13 Nana is a condo for sale in Bangkok CBD that was built by Grande Asset Hotel & Properties in 2008.
The Trendy condo for sale is a part of The Trendy mix-use complex that includes a shopping mall, condominium, and offices.","Project Area: 6-0-65 Rai
No. of Buildings: 1  building
No. of Units: 530 condos
No. of Levels: 17  floors
No. of Parking Lots: 600 Cars",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|False|False|False|True|True,marker marker-bts|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Nana|Asok|Sukhumvit|Sukhumvit Toll Plaza|Phetchaburi Toll Plaza|Asok 2 Toll Plaza,350 m / 4 minutes by foot|580 m / 7 minutes by foot|900 m / 4 minutes by car|1 km / 11 minutes by car|1.9 km / 13 minutes by car|2.5 km / 10 minutes by car,"99,169",0,-2.3,4.59,-5.96
Ideo Mobi Asoke,"19 Phetchaburi Rd, Khwaeng Bang Kapi, Khet Huai Khwang",Watthana,13500000.0,,Bedrooms|Bathrooms|Internal area,2|2|61.79,Floors|Towers|Year built,37|1|2018,A Bangkok apartment near University is available now in Ideo Mobi Asoke condominium,"this Bangkok apartment is a new condo
this new Bangkok condo is a corner unit
nice living room and dining area
2-bedroom: master bedroom features a curved window with a nice city view
2-bathroom: one of them has a bathtub
area: 61.79 sqm
mid-floor: 10+
facing direction: West & North with nice views of Bangkok
2 parking slots
fully furnished
fully equipped kitchen
full set of electrical appliances
foreign freehold ownership quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|True|True|True,marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-mrt|marker marker-mrt,Phetchaburi|Asok 1 Toll Plaza|Asok 4 Toll Plaza|Asok 3 Toll Plaza|Phraram Kao 9|Phra Ram 9,480 m / 7 minutes by foot|1.1 km / 4 minutes by car|1.1 km / 15 minutes by car|1.3 km / 11 minutes by car|1.4 km / 9 minutes by car|2.2 km / 9 minutes by car,"195,377",0,0.53,3.61,2.26
The XXXIX by Sansiri,"Sukhumvit 39, Khlong Tan Nuea, Watthana, Bangkok 10110",Watthana,23950000.0,,Bedrooms|Bathrooms|Internal area,2|2|81.58,Floors|Towers|Project Area|Year built,"32|1|3,096 m2|2015",This luxury condo in Phrom Phong is available now in The XXXIX by Sansiri condominium on Sukhumvit 39 near Emquartier trendy shopping mall,"this condo is a corner unit
this condo is a new property - nobody lived before
2-bedroom
2-bathroom
balcony
low floor: 10-
facing direction: North-East with a nice unblocked view
open and fully equipped kitchen
fully furnished
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|False|True,marker marker-bts|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phrom Phong|Asok|Sukhumvit|Rama 4-1 Toll Plaza|Rama 4-2 Toll Plaza|Asok 1 Toll Plaza,410 m / 5 minutes by foot|1.7 km / 9 minutes by car|1.8 km / 12 minutes by car|3.2 km / 15 minutes by car|3.3 km / 20 minutes by car|3.5 km / 15 minutes by car,"314,149",0,1.12,4.09,8.4
The Emporio Place,"Soi Kasem, Khlong Tan, Khlong Toei, Bangkok 10110",Khlong Toei,18000000.0,,Bedrooms|Bathrooms|Internal area,1|1|90,Floors|Towers|Project Area|Year built,"42|3|9,048 m2|2010",This duplex condo in Sukhumvit 24 is available now in The Emporio Place luxury condominium in Phrom Phong,"this condo is a duplex condo - the living room is located on one floor and a bedroom and bathroom are located on a higher floor
the condo has a unique artistic decoration
1-bedroom
1-bathroom
2 balconies
area: 90 sqm
mid-floor: 15+
fixed car parking slot
facing direction: North
fully furnished
large open kitchen: fully equipped
full set of electrical appliances
foreign freehold ownership quota",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|True|True|True,marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-bts,Phrom Phong|Queen Sirikit National Convention Centre|Tha Ruea 2 Toll Plaza|Tha Ruea 1 Toll Plaza|Rama 4-1 Toll Plaza|Thong Lo,860 m / 4 minutes by car|1.6 km / 8 minutes by car|1.7 km / 7 minutes by car|1.8 km / 7 minutes by car|1.9 km / 10 minutes by car|2.1 km / 9 minutes by car,"193,647",0,3.75,4.23,6.23
Supalai Premier Place Asoke,"177/7 สุขุมวิท Khwaeng Khlong Tan Nuea, Khet Watthana",Watthana,8226949.0,,Bedrooms|Bathrooms|Internal area,1|1|117.62,Floors|Towers|Project Area|Year built,"30|1|4,092 m2|2006",Supalai Premier Place Asoke Bangkok condo for sale near Srinakharinwirot University is located between Asoke BTS / Sukhumvit MRT and Petchaburi MRT right on Sukhumvit 21 (Asoke Road),"This Bangkok condominium in Asoke was built by Supalai Public Company in 2008.
This Bangkok condo near Srinakharinwirot University comprises a single building having 285 apartments on 30 floors.
Apartment types in this Bangkok condo near Srinakharinwirot University",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|False|False|False,marker marker-bts|marker marker-mrt|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phrom Phong|Phetchaburi|Sukhumvit|Asok 3 Toll Plaza|Asok 4 Toll Plaza|Asok 1 Toll Plaza,1.6 km / 7 minutes by car|1.8 km / 12 minutes by car|2.1 km / 15 minutes by car|2.3 km / 21 minutes by car|2.3 km / 20 minutes by car|2.4 km / 15 minutes by car,"99,812",0,-12.56,4.45,1.09
The ESSE Asoke,"48/1 Thanon Asok Montri, Khwaeng Khlong Toei Nuea, Khet Watthana",Watthana,10490000.0,,Bedrooms|Bathrooms|Internal area,1|1|37,Floors|Towers|Project Area|Year built,"55|1|3,674 m2|2018",This condo on the high floor in Asoke is available now in a new luxury condominium The Esse Asoke on Sukhumvit 21,"1-bedroom: Queen-size bed
1-bathroom
area: 37 sqm
high floor: 25+
facing direction: East towards Asoke Road
car parking slot
fully furnished: modern style
fully equipped kitchen
full set of electrical appliances: flat TV, refrigerator, washing machine, microwave
foreign freehold ownership quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|False|True,marker marker-mrt|marker marker-mrt|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Sukhumvit|Phetchaburi|Asok|Asok 4 Toll Plaza|Asok 2 Toll Plaza|Asok 1 Toll Plaza,540 m / 7 minutes by foot|630 m / 8 minutes by foot|890 m / 4 minutes by car|1.3 km / 17 minutes by car|1.3 km / 5 minutes by car|1.4 km / 6 minutes by car,"259,459",-8.57,-5.98,4.3,3.68
Beverly 33,"Soi Daeng Udom, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,6900000.0,,Bedrooms|Bathrooms|Internal area,1|1|49,Floors|Towers|Project Area|Year built,"8|1|1,232 m2|2012",This well-maintained apartment on Sukhumvit 33 is located in a popular Beverly 33 condominium in Bangkok CBD,"this condominium offers legal rental services for owners - a good investment opportunity
1 bedroom
1 bathroom of a good size
the balcony of a good size
facing direction: East with an unblocked view of Bangkok
low floor - low-rise building
fully furnished and well-maintained
fully equipped kitchen
full set of electrical appliances",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|False|False|False|False|False,marker marker-bts|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phrom Phong|Asok|Sukhumvit|Asok 3 Toll Plaza|Asok 4 Toll Plaza|Asok 1 Toll Plaza,660 m / 8 minutes by foot|1.2 km / 9 minutes by car|1.4 km / 12 minutes by car|2.8 km / 19 minutes by car|2.8 km / 19 minutes by car|2.9 km / 12 minutes by car,"163,696",0,7.34,4.65,33.68
The Master Centrium Asoke - Sukhumvit,"Sukhumvit 21 Soi 1, Khwaeng Khlong Toei Nuea, Khet Watthana",Watthana,16000000.0,,Bedrooms|Bathrooms|Internal area,3|3|157,Floors|Towers|Project Area|Year built,"27|1|1,920 m2|2007",This apartment with a large balcony is available on a high floor at The Master Centrium Asoke-Sukhumvit,"this apartment was divided by the owner into 2 separated units (2-bedroom and 1 bedroom): one title deed, can be combined into 1 unit again
3-bedroom
3-bathroom
large balcony
area: 157 sqm
high floor (20+): nice greenery view
private lift
fixed parking slot
furnished
foreign freehold ownership quota is available for this condo in Asoke",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|False|False|True|False|True,marker marker-mrt|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Sukhumvit|Asok|Nana|Sukhumvit Toll Plaza|Asok 2 Toll Plaza|Asok 1 Toll Plaza,340 m / 4 minutes by foot|690 m / 9 minutes by foot|870 m / 8 minutes by car|1.6 km / 12 minutes by car|1.7 km / 6 minutes by car|1.8 km / 8 minutes by car,"118,751",0,2.33,4.23,-13.43
