dev,address,district,sale_price,rent_price,internal_feature_keys,internal_feature_values,external_feature_keys,exteranal_feature_values,description,detail,amenity_keys,amenity_values,neighbor_cats,neighbor_names,neighbor_distances,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year
Life Asoke,"46 Dindaeng Rd, Khwaeng Bang Kapi, Khet Huai Khwang",Watthana,5290000.0,,Bedrooms|Bathrooms|Internal area,1|1|35,Floors|Towers|Project Area|Year built,"34|1|10,740 m2|2018",This new affordable condo in Asoke is available now in Life Asoke condominium on a low floor:,"1 bedroom
1 bathroom
1 balcony
low-floor: 10-
35 sqm
facing North
not furnished
1 parking slot",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|False|False|False|False|False,marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-mrt|marker marker-mrt,Phetchaburi|Asok 1 Toll Plaza|Asok 4 Toll Plaza|Asok 3 Toll Plaza|Phra Ram 9|Sukhumvit,330 m / 5 minutes by foot|660 m / 8 minutes by foot|690 m / 8 minutes by foot|1.3 km / 9 minutes by car|1.3 km / 8 minutes by car|1.5 km / 9 minutes by car,"161,932",-4.79,-2.36,3.98,-5.79
Urbana Sukhumvit 15,"1/9 ซอยรามคำแหง 105/1(อัสสกาญจน์) หัวหมาก บางกะปิ, แขวง หัวหมาก เขตบางกะปิ",Bang Kapi,11932288.0,,Bedrooms|Bathrooms|Internal area,1|1|150.83,Floors|Towers|Project Area|Year built,"8|1|1,956 m2|2004","Urbana Sukhumvit 15 Asoke Nana condo for sale In Bangkok in Asoke near NIST School was built in 2004 by Urbana Estate.
This low-rise Bangkok condo for sale comprises a single building, having 51 large apartments on 8 floors.
Urbana Sukhumvit 15 is popular among people working in Sukhumvit and Asoke area.
Facilities of Urbana Sukhumvit 15 Asoke Nana condo for sale in Bangkok","lobby
elevator
parking
24-hours security and 24/7 security guards and reception desk
key card with access to specific floor
CCTV
swimming pool
gym/fitness room
sauna",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|False|False|False|False|False,marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-mrt|marker marker-bts|marker marker-bts,Srinagarindra Toll Plaza|Pracha Uthit Toll Plaza|Thap Chang Toll Plaza-Inbound|Huai Khwang|Phra Khanong|On Nut,6.7 km / 11 minutes by car|6.7 km / 18 minutes by car|6.8 km / 12 minutes by car|10 km / 22 minutes by car|11 km / 24 minutes by car|11 km / 26 minutes by car,"107,143",0,8.65,3.96,7.6
MUNIQ Langsuan,"Soi Ton Son, Khwaeng Lumphini, Khet Pathum Wan",Pathum Wan,125000000.0,,Bedrooms|Bathrooms|Internal area,4|3|254.5,Floors|Towers|Year built,28|1|2021,This penthouse near Lumpini Park is available now in Muniq Langsuan luxury condominium in Bangkok CBD.,"this luxury condo is a new property - nobody lived
large living room with a balcony
4-bedroom
3-bathroom
very high floor - one of the top floors
amazing views of Lumpini Park and Bangkok
fully fitted - not furnished
fully equipped kitchen
serious inquiries only, please",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|False|False|False|False,marker marker-bts|marker marker-mrt|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Ratchadamri|Si Lom|Lumphini|Rama 4-2 Toll Plaza|Sukhumvit Toll Plaza|Phetchaburi Toll Plaza,1.2 km / 7 minutes by car|1.2 km / 6 minutes by car|1.2 km / 4 minutes by car|2.1 km / 6 minutes by car|2.1 km / 8 minutes by car|2.2 km / 14 minutes by car,"399,490",0,22.12,3.62,8.66
Baan Siri 24,"Soi Kasem, Khlong Tan, Khlong Toei, Bangkok 10110",Khlong Toei,19636087.0,,Bedrooms|Bathrooms|Internal area,1|1|18.57,Floors|Towers|Project Area|Year built,"34|1|3,256 m2|2007","Baan Siri 24 Phrom Phong condo for sale in Bangkok on Sukhumvit 24 near BTS Phrom Phong was built in 2007.
Baan Siri Twenty-Four is a 34-story condo with 185 apartments.
Developer: Sansiri PCL, also known as the developer behind Siri Residence Condominium, Baan Siri 31 Condominium, The Monument Thong Lo Luxury Condominium, and many others.
Facilities at Baan Siri 24 Phrom Phong condo for sale on Sukhumvit 24","security with CCTV and guards
keycard door access
parking
elevators
swimming pool
fitness/gym
sauna
garden
kids’ playground
meeting room
WiFi in the public area",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|False|False|True,marker marker-bts|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phrom Phong|Thong Lo|Queen Sirikit National Convention Centre|Tha Ruea 2 Toll Plaza|Tha Ruea 1 Toll Plaza|Rama 4-1 Toll Plaza,580 m / 7 minutes by foot|1.6 km / 8 minutes by car|2 km / 10 minutes by car|2 km / 8 minutes by car|2.2 km / 9 minutes by car|2.3 km / 12 minutes by car,"180,328",0,-2.21,3.85,18.16
Walden Thonglor 8,"238 สุขุมวิท Khwaeng Khlong Tan Nuea, Khet Watthana",Watthana,12558811.0,,Bedrooms|Bathrooms|Internal area,1|1|54.72,Floors|Towers,8|1,"Walden Thonglor 8 condo for sale near BTS Thong Lo is planned to be launched by Habitat Group at the end of 2022 or early 2023.
Walden Thonglor 8, a singular luxury low-rise project that comes with a deep tradition to offer the utmost privacy surrounded by the beauty of nature, while bringing about a further evolution with an added touch of flair.","Project area: 1-0-2 Rai (1,611 sq.m.)
117 apartments in 1 residential building of 8 Storey plus parking basement
2.60 - 3.45 m. height from floor to ceiling
2 Passenger elevators
71 Lots of Automatic parking
Home Automation",,,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Thong Lo|Ekkamai|Phrom Phong|Phatthanakan 1 Toll Plaza|At Narong Toll Plaza|Phra Khanong Toll Plaza,1.2 km / 4 minutes by car|1.9 km / 9 minutes by car|2.3 km / 13 minutes by car|3.2 km / 12 minutes by car|3.6 km / 12 minutes by car|4.1 km / 12 minutes by car,"247,386",0,0,0,–
Icon II,"413/5 ซอย สุขุมวิท 55 Khwaeng Khlong Tan Nuea, Khet Watthana",Watthana,24698688.0,,Bedrooms|Bathrooms|Internal area,1|1|285.75,Floors|Towers,8|1,"Icon II Thonglor Sukhumvit 55 condo for sale in Bangkok is a low-rise condominium that was built in 1993.
This Bangkok condominium comprises 1 building having 24 larger apartments on 8 floors.
Harmony Living at Icon II Thonglor Sukhumvit 55 Bangkok condo for sale
Located in Sukhumvit soi 55, only 5 minutes drive from BTS Thong Lo, the location offers residents superior commuting convenience for both leisure and business.
Surrounded by the vibrant neighborhood of Little Tokyo, and a stone’s throw from Thong Lo, the development covers an array of amenities ranging from hospitals, International schools, supermarkets, and a variety of cafes and restaurants.
Landscaped especially for residents who wish to escape the buzz and bustle of city life, the development has put careful consideration into the selection of trees, plants, and other green elements featured in the development. The highlight of the pristine landscape is the common courtyard at the center of the development.
Apartment types",,Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|False|False|False|False|False,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Thong Lo|Phrom Phong|Ekkamai|Ramkhamhaeng Toll Plaza|Rama 9-1 Toll Plaza Chalong Rat|Rama 9 Toll Plaza,1.8 km / 7 minutes by car|2.3 km / 11 minutes by car|2.5 km / 12 minutes by car|2.9 km / 21 minutes by car|2.9 km / 15 minutes by car|3 km / 14 minutes by car,"114,817",0,6.07,3.74,15.11
The Met,"Thanon Sathon Tai, Khwaeng Thung Maha Mek, Khet Sathon",Sathon,35000000.0,,Bedrooms|Bathrooms|Internal area,3|3|193.04,Floors|Towers|Project Area|Year built,"66|1|11,360 m2|2009",This luxury condo in Sathorn on a high floor is available in The Met condominium in Bangkok CBD,"this luxury condo is located on a very high floor: 50+
3-bedroom
3-bathroom
balcony
area: 193.04 sqm
bathtub
fully furnished
fully equipped kitchen
full set of electrical appliances",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|False|True,marker marker-bts|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Chong Nonsi|Sala Daeng|Si Lom|Sathon Toll Plaza|Rama 4-2 Toll Plaza|Surawong Toll Plaza,660 m / 8 minutes by foot|1 km / 9 minutes by car|1.4 km / 8 minutes by car|1.9 km / 5 minutes by car|2.1 km / 8 minutes by car|2.7 km / 11 minutes by car,"163,158",-9.2,-8.23,3.87,-9.15
The Met,"Thanon Sathon Tai, Khwaeng Thung Maha Mek, Khet Sathon",Sathon,35250000.0,,Bedrooms|Bathrooms|Internal area,3|3|194.18,Floors|Towers|Project Area|Year built,"66|1|11,360 m2|2009",This luxury apartment in Sathorn on a high floor is available now in The Met condominium in Bangkok CBD,"this luxury condo is located on a very high floor: 50+
3-bedroom
3-bathroom
balcony
area: 194.18 sqm
bathtub
fully furnished
fully equipped kitchen
full set of electrical appliances",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|False|True,marker marker-bts|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Chong Nonsi|Sala Daeng|Si Lom|Sathon Toll Plaza|Rama 4-2 Toll Plaza|Surawong Toll Plaza,660 m / 8 minutes by foot|1 km / 9 minutes by car|1.4 km / 8 minutes by car|1.9 km / 5 minutes by car|2.1 km / 8 minutes by car|2.7 km / 11 minutes by car,"163,158",-9.2,-8.23,3.87,-9.15
TC Green Rama 9,สถานีพระราม 9 Khwaeng Din Daeng,Huai Khwang,3404189.0,,Bedrooms|Bathrooms|Internal area,1|1|47.61,Towers,1,"TC Green Rama 9 Bangkok condo for sale in Bangkok was developed by Tiancheng International Property and completed in 2014.
This Bangkok condominium is located in Rama IX with convenient access to the highway to Suvarnabhumi International Airport and to Bangkok Central Business District.","Project Type: 4 towers, 32 floors
Project Area: 25,600 m2
Total Units: 1,900 Units",,,marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-bts|marker marker-bts|marker marker-bts,Bang Mueang Toll Plaza-Outbound 4|Bang Mueang Toll Plaza-Outbound 1|Bang Mueang Toll Plaza-Inbound 1|Bearing|Bang Na|Udom Suk,3.7 km / 9 minutes by car|4.1 km / 7 minutes by car|4.3 km / 7 minutes by car|7.6 km / 16 minutes by car|8.4 km / 17 minutes by car|9.9 km / 20 minutes by car,"86,581",0,-3.92,5.06,2.82
Mahogany Tower,"Mahogany Tower, Khwaeng Khlong Tan, Khet Khlong Toei",Khlong Toei,42651197.0,,Bedrooms|Bathrooms|Internal area,1|1|386.47,Floors|Towers|Year built,36|1|1994,"Mahogany Tower Sukhumvit 24 condo for sale in Bangkok is a high-rise apartment building that is located in the heart of Bangkok Central Business District in Phrom Phong.
It was built in 1994.
Mahogany Tower Bangkok condominium comprises a single tower of 58 apartments on 36 floors.
Facilities at Mahogany Tower Sukhumvit 24 condo for sale in Bangkok","outdoor swimming pool
garden
gym/fitness club
tennis court
kids' playground
security gate
CCTV
24/7 reception desk
parking area",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|False|False,marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-bts,Phrom Phong|Queen Sirikit National Convention Centre|Tha Ruea 2 Toll Plaza|Tha Ruea 1 Toll Plaza|Rama 4-1 Toll Plaza|Thong Lo,1 km / 4 minutes by car|1.6 km / 8 minutes by car|1.7 km / 7 minutes by car|1.8 km / 7 minutes by car|2 km / 10 minutes by car|2.1 km / 10 minutes by car,"130,145",0,4.13,3.61,2.89
