dev,address,district,sale_price,rent_price,internal_feature_keys,internal_feature_values,external_feature_keys,exteranal_feature_values,description,detail,amenity_keys,amenity_values,neighbor_cats,neighbor_names,neighbor_distances,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year
The River,"753 Charoen Nakhon, Khlong Ton Sai, Khlong San, Bangkok 10600",Khlong San,75000000.0,220000.0,Bedrooms|Bathrooms|Internal area,4|5|231,Floors|Towers|Project Area|Year built,"74|2|20,564 m2|2010","PropertyScout ID 803892
Check all listing details on our website https://propertyscout.co.th/en/80----","Modern 4-bedroom 5-bathroom Condo unit, sized  sqm on the 11th Floor with
Breathtaking Views at The River Condominium by BTS Asok",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|True|True|True,marker marker-expressway|marker marker-bts|marker marker-expressway|marker marker-bts|marker marker-bts|marker marker-expressway,Surawong Toll Plaza|Surasak|Sathon Toll Plaza|Krung Thon Buri|Saphan Taksin|Chan Toll Plaza,1.5 km / 6 minutes by car|1.6 km / 5 minutes by car|1.7 km / 9 minutes by car|1.8 km / 5 minutes by car|2 km / 10 minutes by car|2.5 km / 12 minutes by car,"286,344",27.79,28.01,2.22,-10.79
The Tempo Phaholyothin,"Soi Kanchana Khom, Samsen Nai, Phaya Thai, Bangkok 10400",Phaya Thai,7000000.0,,Bedrooms|Bathrooms|Internal area,2|2|65.7,Floors|Towers|Project Area|Year built,"8|1|1,216 m2|2011","PropertyScout ID 899367
Check all listing details on our website https://propertyscout.co.th/en/89----","Modern 2-bedroom 2-bathroom Condo unit, sized 65.7 sqm on the 6th Floor with
Breathtaking Views at The Tempo by BTS Ari",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|False|False|False|False|False,marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-bts|marker marker-expressway|marker marker-expressway,Sanam Pao|Ari|Din Daeng 2 Toll Plaza|Victory Monument|Din Daeng Toll Plaza|Din Daeng 1 Toll Plaza Si Rat,590 m / 7 minutes by foot|730 m / 10 minutes by foot|1.7 km / 8 minutes by car|1.9 km / 6 minutes by car|2.8 km / 8 minutes by car|3 km / 16 minutes by car,"117,089",0,8.03,4.38,-17.73
Life @ Sathorn 10,"Soi Suksavithaya, Khwaeng Silom, Khet Bang Rak",Sathon,5390000.0,22000.0,Bedrooms|Bathrooms|Internal area,1|1|40,Floors|Towers|Project Area|Year built,"27|1|2,228 m2|2010","PropertyScout ID 881726
Check all listing details on our website https://propertyscout.co.th/en/88----","Fully furnished 1 bedroom, 1 bathroom condo for rent / sale with a floorsize of
40 squaremeters, located on the 7th floor of the Life Sathorn 10 building, in
the popular Bang Rak district near BTS Chong Nonsi. Please contact us to
schedule a viewing.",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|False|False,marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-bts|marker marker-expressway|marker marker-expressway,Chong Nonsi|Surasak|Sathon Toll Plaza|Sala Daeng|Surawong Toll Plaza|Saphan Sawang Toll Plaza,660 m / 8 minutes by foot|880 m / 7 minutes by car|1.3 km / 6 minutes by car|1.3 km / 7 minutes by car|1.9 km / 10 minutes by car|2.2 km / 11 minutes by car,"134,448",0,0.57,4.13,1.98
The Seed Memories Siam,"Soi Kasem San 2, Wang Mai, Pathum Wan, Bangkok 10330",Pathum Wan,7200000.0,,Bedrooms|Bathrooms|Internal area,1|1|51.51,Floors|Towers|Project Area|Year built,"8|2|5,268 m2|2011","PropertyScout ID 950925
Check all listing details on our website https://propertyscout.co.th/en/95----","Fully furnished 1 bedroom, 1 bathroom condo for sale with a floor size of 51.51
sq.m. in the Pathum Wan. Please contact us to schedule a viewing.",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|True|False|False|False,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,National Stadium|Siam|Ratchathewi|Uruphong Toll Plaza|Yommarat Toll Plaza|Hua Lamphong Toll Plaza,210 m / 3 minutes by foot|830 m / 6 minutes by car|1.1 km / 4 minutes by car|2 km / 11 minutes by car|2 km / 10 minutes by car|2.1 km / 13 minutes by car,"166,074",0,0.96,4.23,8.94
The Legend Saladaeng,"Thanon Sala Daeng, Silom, Bang Rak, Bangkok 10500",Sathon,16000000.0,,Bedrooms|Bathrooms|Internal area,2|2|144,Floors|Towers|Project Area|Year built,14|1|4 m2|2005,"PropertyScout ID 515607
Check all listing details on our website https://propertyscout.co.th/en/51----","Fully furnished 2 bedrooms, 2 bathrooms condo for sale with a floorsize of 144
squaremeters, located on the 5th floor of the The Legend Saladaeng building, in
the popular Bang Rak district near MRT Silom. Please contact us to schedule a
viewing.",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|False|True|False|False|False|False,marker marker-mrt|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Si Lom|Sala Daeng|Lumphini|Rama 4-2 Toll Plaza|Rama 4-1 Toll Plaza|Saphan Sawang Toll Plaza,820 m / 5 minutes by car|880 m / 7 minutes by car|940 m / 4 minutes by car|1.8 km / 6 minutes by car|1.9 km / 7 minutes by car|2.5 km / 6 minutes by car,"203,389",0,-4.46,3.58,3.06
Athenee Residence,"9 Soi Ruam Ruedi, Khwaeng Lumphini, Khet Pathum Wan",Pathum Wan,66900000.0,,Bedrooms|Bathrooms|Internal area,3|3|223,Floors|Towers|Project Area|Year built,"41|1|6,780 m2|2008",Looking to buy or rent a condo?,"Contact us now if you are looking for a real estate company that is:
• Honest and trustworthy
• Knowledgeable about the real estate market
• Responsive
• Confident with excellent communication skills
• An expert in purchasing and selling process
• A natural negotiator",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|True|False,marker marker-bts|marker marker-expressway|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway,Phloen Chit|Sukhumvit Toll Plaza|Nana|Chit Lom|Phetchaburi Toll Plaza|Rama 4-2 Toll Plaza,320 m / 4 minutes by foot|320 m / 4 minutes by foot|890 m / 15 minutes by car|1 km / 13 minutes by car|1.3 km / 11 minutes by car|2.7 km / 8 minutes by car,"257,848",0,-8.25,3.09,2.47
Eight Thonglor Residence,"162 Soi Thong Lo, Khwaeng Khlong Tan Nuea, Khet Watthana",Watthana,17072000.0,50000.0,Bedrooms|Bathrooms|Internal area,2|1|71,Floors|Towers|Project Area|Year built,"34|1|5,068 m2|2009","PropertyScout ID 467498
Check all listing details on our website https://propertyscout.co.th/en/46----","Modern 2-bedroom 2-bathroom condominium from the 11th floor of The Eight
Thonglor building, in the Watthana district, close to BTS Thong Lor, perfect for
an urban lifestyle.",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|False|False|False,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Thong Lo|Ekkamai|Phrom Phong|Phatthanakan 1 Toll Plaza|At Narong Toll Plaza|Phra Khanong Toll Plaza,980 m / 4 minutes by car|1.7 km / 9 minutes by car|2 km / 8 minutes by car|3.1 km / 15 minutes by car|3.3 km / 11 minutes by car|4 km / 12 minutes by car,"205,344",0,-1.73,4.06,-1
Kraam Sukhumvit 26,"30 Soi Sukhumvit 26, Khwaeng Khlong Tan, Khet Khlong Toei",Khlong Toei,55850000.0,,Bedrooms|Bathrooms|Internal area,2|2|174.3,Floors|Towers|Project Area|Year built,"29|1|3,164 m2|2019","Direction South
Fully-Fitted","KRAAM is more than a condominium. Designed with the functionality and efficiency of a house,
it brings out the essence of household living in a neighborhood held in high esteem for decades.
KRAAM offers a complete living experience, curated for family life and providing future generations with a place to call home.",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|False|False|False,marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-mrt|marker marker-expressway,Phrom Phong|Thong Lo|Tha Ruea 2 Toll Plaza|Tha Ruea 1 Toll Plaza|Queen Sirikit National Convention Centre|At Narong Toll Plaza,560 m / 7 minutes by foot|1.4 km / 8 minutes by car|2.1 km / 11 minutes by car|2.2 km / 11 minutes by car|2.4 km / 12 minutes by car|2.8 km / 11 minutes by car,"308,869",0,2.47,3,-19.81
Rhythm Rangnam,"2 Soi Rang Nam, Khwaeng Thanon Phaya Thai, Khet Ratchathewi",Ratchathewi,5700000.0,17000.0,Bedrooms|Bathrooms|Internal area,1|1|28.42,Floors|Towers|Project Area|Year built,"27|1|3,172 m2|2018","PropertyScout ID 937079
Check all listing details on our website https://propertyscout.co.th/en/93----","Modern 1-bedroom 1-bathroom Condo unit, sized 28.42 sqm on the 16th Floor with
Breathtaking Views at RHYTHM Rang Nam by BTS Victory Monument",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|False|False|False|False,marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-bts|marker marker-expressway,Victory Monument|Phaya Thai|Phahon Yothin 1 Toll Plaza|Phahon Yothin 2 Toll Plaza|Ratchathewi|Uruphong Toll Plaza,210 m / 3 minutes by foot|760 m / 10 minutes by foot|780 m / 6 minutes by car|1.1 km / 6 minutes by car|1.2 km / 6 minutes by car|1.7 km / 6 minutes by car,"223,270",0,5.92,3.53,-7.33
Onyx Phaholyothin,"1505/64 Phahonyothin Rd, Khwaeng Samsen Nai, Khet Phaya Thai",Phaya Thai,9500000.0,35000.0,Bedrooms|Bathrooms|Internal area,2|2|60,Floors|Towers|Project Area|Year built,"26|1|5,908 m2|2013","PropertyScout ID 414260
Check all listing details on our website https://propertyscout.co.th/en/41----","Luxury 2-bedrooms 2-bathrooms, sized 60 sqm on the 10th Floor with Breathtaking
Views at Onyx by Sansiri by BTS Saphan Khwai.",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|False|False|False|True,marker marker-bts|marker marker-mrt|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Saphan Khwai|Kamphaeng Phet|Mo Chit|Yan Phahon Yothin Toll Plaza|Khlong Prapa 1 Toll Plaza|Sutthisan Toll Plaza,240 m / 3 minutes by foot|1 km / 3 minutes by car|1.3 km / 9 minutes by car|1.9 km / 5 minutes by car|2.1 km / 9 minutes by car|2.2 km / 7 minutes by car,"143,426",0,-0.32,3.97,-4.04
,,Phaya Thai,8900000.0,,Bedrooms|Bathrooms|Internal area,3|3|247,,,"PropertyScout ID 888979
Check all listing details on our website https://propertyscout.co.th/en/88----","Fully furnished 3 bedrooms, 3 bathrooms condo for sale with a floorsize of 247
squaremeters, located on the 10th floor of the Family Condo building, in the
popular Phaya Thai district near BTS Saphan Khwai. Please contact us to schedule
a viewing.",,,,,,,,,,
Rhythm Rangnam,"2 Soi Rang Nam, Khwaeng Thanon Phaya Thai, Khet Ratchathewi",Ratchathewi,12500000.0,40000.0,Bedrooms|Bathrooms|Internal area,2|2|56,Floors|Towers|Project Area|Year built,"27|1|3,172 m2|2018","PropertyScout ID 928053
Check all listing details on our website https://propertyscout.co.th/en/92----","Modern 2-bedrooms 2-bathrooms condominium on the 11th floor of The RHYTHM
Rangnam building, in the international Ratchathewi district, close to BTS
Victory Monument, perfect for an urban lifestyle.",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|False|False|False|False,marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-bts|marker marker-expressway,Victory Monument|Phaya Thai|Phahon Yothin 1 Toll Plaza|Phahon Yothin 2 Toll Plaza|Ratchathewi|Uruphong Toll Plaza,210 m / 3 minutes by foot|760 m / 10 minutes by foot|780 m / 6 minutes by car|1.1 km / 6 minutes by car|1.2 km / 6 minutes by car|1.7 km / 6 minutes by car,"223,270",0,5.92,3.53,-7.33
