dev,address,district,sale_price,rent_price,internal_feature_keys,internal_feature_values,external_feature_keys,exteranal_feature_values,description,detail,amenity_keys,amenity_values,neighbor_cats,neighbor_names,neighbor_distances,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year
The Prime 11,"20 Soi Sukhumvit 11, Khwaeng Khlong Toei Nuea, Khet Watthana",Watthana,9500000.0,,Bedrooms|Bathrooms|Internal area,2|2|87.5,Floors|Towers|Project Area|Year built,"32|1|2,736 m2|2009",This Sukhumvit property of 2-bedroom is available now on a high floor in The Prime 11 in Sukhumvit 11,"this condo in Sukhumvit 11 features a nice layout: bedrooms are located on the opposite sides
2-bedroom
2-bathroom
balcony
tiles in the living room and wood flooring in the bedroom
high floor: 20+
facing direction: North
unfurnished - furniture can be sold for an extra price
fully equipped kitchen
full set of electrical appliances",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|True|True|True,marker marker-bts|marker marker-expressway|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway,Nana|Sukhumvit Toll Plaza|Phloen Chit|Sukhumvit|Phetchaburi Toll Plaza|Asok 2 Toll Plaza,520 m / 7 minutes by foot|1.2 km / 8 minutes by car|1.3 km / 8 minutes by car|1.3 km / 7 minutes by car|1.4 km / 15 minutes by car|2.1 km / 12 minutes by car,"116,051",0,-14.57,4.83,-5.66
Royal Castle Sukhumvit 39,"30 Soi Sukhumvit 39, Khlong Toei Nuea, Khet Watthana",Watthana,13500000.0,,Bedrooms|Bathrooms|Internal area,3|3|152,Towers,1,This 3-bedroom condo for sale in Prompong with 2 balconies and a nice view is available in Roayl Castle Sukhumvit 39 condominium,"large apartment with 2 balconies: nice city view toward North
3-bedroom
3-bathroom
large living room with a dining area
2 balconies
facing direction: North
separated kitchen
area: 152 sqm
fully furnished
full set of electrical appliances
foreign freehold ownership quota available
the best deal for a 3-bedroom condo in this condominium",,,marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-bts|marker marker-bts|marker marker-bts,Bang Mueang Toll Plaza-Outbound 4|Bang Mueang Toll Plaza-Outbound 1|Bang Mueang Toll Plaza-Inbound 1|Bearing|Bang Na|Udom Suk,3.7 km / 9 minutes by car|4.1 km / 7 minutes by car|4.3 km / 7 minutes by car|7.6 km / 16 minutes by car|8.4 km / 17 minutes by car|9.9 km / 20 minutes by car,"150,376",44.03,46.45,4.2,54.25
Mirage Sukhumvit 27,"Soi Praphatson, Khlong Tan Nuea, Vadhana, Bangkok 10110",Khlong Toei,8500000.0,,Bedrooms|Bathrooms|Internal area,2|2|63.5,Floors|Towers|Project Area|Year built,"8|1|1,740 m2|2014","This condo for sale on Sukhumvit 27 in Mirage 27 projects is available now. This nicely decorated apartment features premium furniture - in modern style. The condo is available for the best price in the Sukhumvit area.
Very private and peaceful location for relaxation and near Sukhumvit road - next to luxury hotels.","2 bedrooms, 2 bathrooms
63.50 sqm
1 balcony
1 fixed car parking place
low-rise building
facing North and South
fully furnished
open kitchen
full set of electrical appliances, including flat TV, refrigerator, washing machine, microwave",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|False|False|False|False,marker marker-bts|marker marker-mrt|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Asok|Sukhumvit|Phrom Phong|Sukhumvit Toll Plaza|Asok 1 Toll Plaza|Rama 4-2 Toll Plaza,630 m / 9 minutes by foot|750 m / 10 minutes by foot|850 m / 3 minutes by car|1.9 km / 10 minutes by car|2.6 km / 13 minutes by car|3.2 km / 16 minutes by car,"142,583",0,-2.85,4.74,-3.92
Prime Mansion One,"191/5 Soi Sukhumvit 31, Khwaeng Khlong Toei Nuea, Khet Watthana",Watthana,22000000.0,,Bedrooms|Bathrooms|Internal area,4|4|250,Floors|Towers|Year built,7|1|1999,This large Bangkok apartment with 3 bedrooms near Srinakharinwirot University is available now in Prime Mansion One condo in Asoke on Sukhumvit 31,"this large Bangkok condo features a nice greenery view, a large living area, and a large balcony
3-bedroom
4-bathroom
3 balconies
maids' quarter
area: 250 sqm
2 car parking slots
mid-floor: 10+
facing direction: North
fully furnished
opened and fully equipped kitchen
full set of electrical appliances
foreign freehold ownership quota is available for this large Bangkok condo for sale with a tenant",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym,True|True|True|True|True|True|True,marker marker-mrt|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-bts|marker marker-expressway,Phetchaburi|Sukhumvit|Asok 1 Toll Plaza|Asok 4 Toll Plaza|Asok|Asok 3 Toll Plaza,650 m / 8 minutes by foot|1.3 km / 8 minutes by car|1.4 km / 14 minutes by car|1.4 km / 19 minutes by car|1.5 km / 7 minutes by car|1.6 km / 19 minutes by car,"97,333",0,15.53,3.92,-11.91
Circle 2 Living Prototype,"1545 New Petchaburi Rd, Khwaeng Makkasan, Khet Ratchathewi",Watthana,12500000.0,,Bedrooms|Bathrooms|Internal area,2|2|87.02,Floors|Towers|Year built,53|1|2014,This luxury 2-bedroom condo in Bangkok on a high floor is available now in Circle 2 Living Prototype,"this luxury Bangkok condo is for sale with a rental tenant - an investment opportunity
2-bedroom
2-bathroom
area: 87.02 sqm
high floor: 20+
facing East with a nice city view
fully furnished
equipped kitchen
electrical appliances
2 parking slots - 1 of them is fixed
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym,True|True|True|True|True|True|True,marker marker-expressway|marker marker-mrt|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-bts,Phetchaburi Toll Plaza|Phetchaburi|Nana|Asok 2 Toll Plaza|Sukhumvit Toll Plaza|Phloen Chit,680 m / 9 minutes by foot|840 m / 2 minutes by car|1.4 km / 8 minutes by car|1.4 km / 3 minutes by car|1.5 km / 7 minutes by car|1.5 km / 6 minutes by car,"177,205",0,0.94,3.45,-7.1
Bright Sukhumvit 24,"85 Soi Sukhumvit 24, Khwaeng Khlong Tan, Khet Khlong Toei",Khlong Toei,21493747.0,,Bedrooms|Bathrooms|Internal area,1|1|153.87,Floors|Towers|Project Area|Year built,"36|2|7,569 m2|2011","Bright Sukhumvit 24 Phrom Phong luxury Bangkok condo for sale in Bangkok is located only a short walk from BTS Phrom Phong and Emporium shopping center.
This Bangkok apartment complex was developed in 2011 by Albright Holdings Co., Ltd.  This Bangkok condominium has two towers of 36 floors each. There are a total of 292 luxury apartments and 411 car spaces in two towers.
Apartment types","1-bedroom: 66-74 Sqm
2-bedroom: 87-91 Sqm
3-bedroom duplex: 157-189 Sqm
penthouses: 524-542 Sqm",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|False|True,marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-bts|marker marker-expressway,Phrom Phong|Queen Sirikit National Convention Centre|Tha Ruea 2 Toll Plaza|Tha Ruea 1 Toll Plaza|Thong Lo|Rama 4-1 Toll Plaza,850 m / 4 minutes by car|1.7 km / 9 minutes by car|1.8 km / 8 minutes by car|1.9 km / 9 minutes by car|2 km / 10 minutes by car|2.1 km / 12 minutes by car,"202,173",0,1.5,3.93,2.64
The Emporio Place,"Soi Kasem, Khlong Tan, Khlong Toei, Bangkok 10110",Khlong Toei,19934780.0,,Bedrooms|Bathrooms|Internal area,1|1|182.23,Floors|Towers|Project Area|Year built,"42|3|9,048 m2|2010",The Emporio Place Sukhumvit 24 luxury condo for sale in Bangkok consists of 3 residential buildings:,"North - 35 stories
East - 42 stories
South - 12 stories",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|True|True|True,marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-bts,Phrom Phong|Queen Sirikit National Convention Centre|Tha Ruea 2 Toll Plaza|Tha Ruea 1 Toll Plaza|Rama 4-1 Toll Plaza|Thong Lo,860 m / 4 minutes by car|1.6 km / 8 minutes by car|1.7 km / 7 minutes by car|1.8 km / 7 minutes by car|1.9 km / 10 minutes by car|2.1 km / 9 minutes by car,"193,647",0,3.75,4.23,6.23
Belle Grand Rama 9,"131 Soi Rama 9 Soi 3, Khwaeng Huai Khwang, Khet Huai Khwang",Huai Khwang,6700000.0,,Bedrooms|Bathrooms|Internal area,1|1|48,Floors|Towers|Project Area|Year built,"43|8|13,260 m2|2015","This 1-bedroom condo in Rama 9 is available in Belle Grand condo in Bangkok.
This 1-Bedroom Condo Sale Belle Grand Rama 9 features a bugger size (48 sqm) and is located on a mid-floor of Belle Grand Rama 9 - right in the midst of Grand Rama 9 and Grand Central Rama 9 in Bangkok's new Central Business District.","1-bedroom
1-bathroom
48 sqm
balcony with a nice view
mid-floor (10+)
facing North
1 parking slot
fully furnished
open and fully equipped kitchen
full electrical appliances including refrigerator, washing machine, TV, and microwave",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|True|False|False|False,marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-mrt|marker marker-mrt,Phra Ram 9|Asok 3 Toll Plaza|Asok 1 Toll Plaza|Asok 4 Toll Plaza|Thailand Cultural Centre|Phetchaburi,580 m / 7 minutes by foot|1.1 km / 11 minutes by car|1.5 km / 5 minutes by car|1.5 km / 12 minutes by car|1.5 km / 5 minutes by car|1.7 km / 6 minutes by car,"201,531",35.16,48.6,2.98,9.41
Mano Tower,"Soi Phrom Phong, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,16500000.0,,Bedrooms|Bathrooms|Internal area,3|3|220,Floors|Towers|Year built,17|1|1990,This large Bangkok apartment on Sukhumvit 39 is available now in Mano Tower,"this large Bangkok apartment is pet-friendly
very big living room
high ceilings: 3.35 m
this large condo requires renovation
3-bedrooms plus a small prayer room
3-bathroom
3 balconies: in the living room, in the master bedroom, in the kitchen
walk-in closets
low floor: 10- with a nice unblocked view
facing direction: South and West
2 fixed car parking slots
partly furnished
separated kitchen
some electrical appliances
foreign freehold quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|False|False|False|False,marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-mrt|marker marker-bts,Phetchaburi|Asok 3 Toll Plaza|Asok 4 Toll Plaza|Asok 1 Toll Plaza|Sukhumvit|Asok,1.5 km / 4 minutes by car|2.1 km / 13 minutes by car|2.1 km / 13 minutes by car|2.1 km / 6 minutes by car|2.2 km / 13 minutes by car|2.2 km / 9 minutes by car,"70,130",0,0,3.27,0
Baan Prompong,"Soi Phop Mit, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,14500000.0,,Bedrooms|Bathrooms|Internal area,2|3|147.27,Floors|Towers|Year built,22|1|1992,This beautiful Sukhumvit condo is available now in Baan Prompong Sukhumvit 39,"this condo is a corner unit with a long balcony featuring a beautiful view
this apartment is very nicely decorated and equipped
2-bedroom
3 bathroom
storage/service room
2 balconies
low floor: 10-
facing directions: North and West with unblocked amazing city view
fully furnished and decorated: beautiful design
open and fully equipped kitchen
full set of electrical appliances including 2 large flat TVs, refrigerator, washing machine, microwave
the smart home system includes remote control using a mobile app and a hidden web camera
foreign freehold ownership quota",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|False|False|True|True,marker marker-bts|marker marker-mrt|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phrom Phong|Phetchaburi|Sukhumvit|Asok 3 Toll Plaza|Asok 4 Toll Plaza|Asok 1 Toll Plaza,1.6 km / 8 minutes by car|1.7 km / 4 minutes by car|2 km / 13 minutes by car|2.2 km / 13 minutes by car|2.3 km / 13 minutes by car|2.3 km / 7 minutes by car,"95,431",0,23.52,3.99,-9.43
