dev,district,sale_price,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year,bedrooms,bathrooms,internal_area,floors,towers,year_built,has_elevator,has_parking,has_security,has_cctv,has_pool,has_sauna,has_gym,has_garden_bbq,has_playground,has_shop_on_premise,has_restaurant_on_premise,has_wifi,city_train_distance,express_way_distance,close_city_train,close_express_way
The Muse,Bang Na,4600000.0,73176.0,0.0,-4.86,5.31,10.58,1.0,1.0,61.0,7.0,1.0,2008.0,1,1,1,1,1,0,1,0,0,0,0,0,520.0,1400.0,1,0
NS Tower Central City Bangna,Bang Na,5500000.0,64325.0,0.0,2.84,5.65,-10.62,2.0,2.0,113.0,33.0,1.0,2016.0,1,1,1,1,1,1,1,1,0,0,0,1,3200.0,3800.0,0,0
NS Tower Central City Bangna,Bang Na,7900000.0,64325.0,0.0,2.84,5.65,-10.62,2.0,2.0,115.0,33.0,1.0,2016.0,1,1,1,1,1,1,1,1,0,0,0,1,3200.0,3800.0,0,0
The Muse,Bang Na,3990000.0,73176.0,0.0,-4.86,5.31,10.58,1.0,,61.0,7.0,1.0,2008.0,1,1,1,1,1,0,1,0,0,0,0,0,520.0,1400.0,1,0
Elio Del Ray,Bang Na,3399000.0,71473.0,0.0,-18.18,5.44,-11.48,1.0,1.0,35.0,8.0,8.0,2014.0,1,1,1,1,1,0,1,1,1,0,0,0,830.0,860.0,1,1
The Coast Bangkok,Bang Na,18500000.0,111028.0,0.0,-8.33,4.27,-3.66,3.0,,148.09,39.0,2.0,2012.0,1,1,1,1,1,0,1,1,0,1,0,1,680.0,840.0,1,1
IDEO Mobi Sukhumvit 66,Bang Na,8900000.0,163916.0,0.0,8.36,4.77,9.6,2.0,1.0,52.0,28.0,1.0,2018.0,1,1,1,1,1,0,1,1,1,0,0,1,250.0,1600.0,1,0
IDEO Mobi Sukhumvit 66,Bang Na,9600000.0,163916.0,0.0,8.36,4.77,9.6,2.0,1.0,52.0,28.0,1.0,2018.0,1,1,1,1,1,0,1,1,1,0,0,1,250.0,1600.0,1,0
Whizdom Essence,Bang Na,6040000.0,164016.0,0.0,-10.56,4.27,1.57,1.0,,,50.0,1.0,2019.0,1,1,1,1,1,1,1,1,1,1,1,1,400.0,1700.0,1,0
My Condo Sukhumvit 103,Bang Na,1275000.0,49607.0,0.0,-11.91,5.68,-9.96,,1.0,25.0,8.0,2.0,2009.0,1,1,1,1,0,0,1,1,0,1,0,0,1700.0,3000.0,0,0
IDEO O2,Bang Na,2850000.0,106841.0,0.0,-0.03,4.63,-7.83,,1.0,27.0,34.0,3.0,2018.0,1,1,1,1,1,0,1,1,1,1,1,1,890.0,760.0,1,1
NS Tower Central City Bangna,Bang Na,8500000.0,64325.0,0.0,2.84,5.65,-10.62,2.0,2.0,115.0,33.0,1.0,2016.0,1,1,1,1,1,1,1,1,0,0,0,1,3200.0,3800.0,0,0
Central City East Tower,Bang Na,20000000.0,47826.0,0.0,1.69,6.5,3.6,4.0,3.0,236.0,31.0,1.0,2001.0,1,1,1,1,1,1,1,0,0,0,0,0,4000.0,4200.0,0,0
Elio Condo,Bang Na,2690000.0,76276.0,0.0,14.64,5.55,-10.18,1.0,1.0,30.2,8.0,4.0,2014.0,1,1,1,1,1,0,1,1,1,0,0,0,770.0,1600.0,1,0
NS Tower Central City Bangna,Bang Na,11900000.0,64325.0,0.0,2.84,5.65,-10.62,3.0,,229.0,33.0,1.0,2016.0,1,1,1,1,1,1,1,1,0,0,0,1,3200.0,3800.0,0,0
Ideo Mobi Sukhumvit East Point,Bang Na,2790000.0,124035.0,0.0,0.0,4.74,14.22,1.0,,27.0,32.0,2.0,2020.0,1,1,1,1,1,0,1,1,0,0,0,1,470.0,1700.0,1,0
Abstracts Sukhumvit 66/1,Bang Na,4950000.0,89532.0,0.0,0.34,3.51,-9.03,2.0,2.0,51.0,5.0,2.0,2011.0,1,1,1,1,1,0,1,1,0,0,0,0,380.0,1400.0,1,0
The Muse,Bang Na,4600000.0,73176.0,0.0,-4.86,5.31,10.58,1.0,1.0,61.0,7.0,1.0,2008.0,1,1,1,1,1,0,1,0,0,0,0,0,520.0,1400.0,1,0
The Muse,Bang Na,3990000.0,73176.0,0.0,-4.86,5.31,10.58,1.0,1.0,61.0,7.0,1.0,2008.0,1,1,1,1,1,0,1,0,0,0,0,0,520.0,1400.0,1,0
The Coast Bangkok,Bang Na,4100000.0,111028.0,0.0,-8.33,4.27,-3.66,1.0,,35.0,39.0,2.0,2012.0,1,1,1,1,1,0,1,1,0,1,0,1,680.0,840.0,1,1
Ideo Mix Sukhumvit 103,Bang Na,3200000.0,96101.0,-10.98,-4.32,4.84,-6.05,1.0,,32.0,21.0,2.0,2010.0,1,1,1,1,1,0,1,1,0,1,0,0,300.0,1600.0,1,0
Elio Del Ray,Bang Na,4831000.0,71473.0,0.0,-18.18,5.44,-11.48,1.0,1.0,41.5,8.0,8.0,2014.0,1,1,1,1,1,0,1,1,1,0,0,0,830.0,860.0,1,1
IDEO O2,Bang Na,2450000.0,106841.0,0.0,-0.03,4.63,-7.83,,,27.0,34.0,3.0,2018.0,1,1,1,1,1,0,1,1,1,1,1,1,890.0,760.0,1,1
NS Tower Central City Bangna,Bang Na,7900000.0,64325.0,0.0,2.84,5.65,-10.62,2.0,2.0,115.0,33.0,1.0,2016.0,1,1,1,1,1,1,1,1,0,0,0,1,3200.0,3800.0,0,0
Pause Sukhumvit 103,Bang Na,4890000.0,94004.0,0.0,-9.35,4.6,-18.55,2.0,2.0,44.73,8.0,2.0,2017.0,1,1,1,1,1,0,1,1,0,0,0,1,810.0,2100.0,1,0
IDEO O2,Bang Na,2490000.0,106841.0,0.0,-0.03,4.63,-7.83,,1.0,32.0,34.0,3.0,2018.0,1,1,1,1,1,0,1,1,1,1,1,1,890.0,760.0,1,1
NS Tower Central City Bangna,Bang Na,3650000.0,64325.0,0.0,2.84,5.65,-10.62,1.0,1.0,72.0,33.0,1.0,2016.0,1,1,1,1,1,1,1,1,0,0,0,1,3200.0,3800.0,0,0
NS Tower Central City Bangna,Bang Na,7750000.0,64325.0,0.0,2.84,5.65,-10.62,2.0,2.0,100.0,33.0,1.0,2016.0,1,1,1,1,1,1,1,1,0,0,0,1,3200.0,3800.0,0,0
A Pool Condo Bangna,Bang Na,1800000.0,56311.0,-1.3,-6.76,5.69,-2.55,1.0,,26.44,8.0,2.0,2014.0,1,1,1,1,1,0,1,1,0,0,0,1,,,0,0
